iter	Passed	Remaining
0	1418	566174
1	2602	517966
2	3728	493430
3	4884	483563
4	5905	466553
5	7038	462184
6	8153	457776
7	9273	454388
8	10278	446538
9	11222	437680
10	12497	441961
11	13567	438688
12	14696	437501
13	15731	433727
14	16904	433873
15	17978	431492
16	19019	428495
17	19971	423832
18	20886	418830
19	21969	417414
20	22862	412614
21	23930	411163
22	24927	408599
23	25936	406345
24	26762	401441
25	27788	399728
26	28867	398797
27	29894	397163
28	30894	395239
29	31802	392228
30	32635	388461
31	33790	388590
32	34722	386151
33	35778	385147
34	36601	381704
35	37632	380510
36	38676	379447
37	39637	377603
38	40652	376292
39	41607	374464
40	42559	372655
41	43549	371207
42	44622	370473
43	45550	368547
44	46652	368037
45	47604	366349
46	48581	364880
47	49613	363831
48	50628	362664
49	51642	361494
50	52718	360758
51	53676	359222
52	54724	358292
53	55655	356606
54	56655	355384
55	57749	354746
56	58647	352913
57	59707	352066
58	60723	350960
59	61637	349277
60	62678	348328
61	63569	346557
62	64694	346064
63	65669	344762
64	66785	344201
65	67678	342495
66	68799	341942
67	69629	339956
68	70705	339180
69	71525	337193
70	72664	336714
71	73624	335398
72	74511	333768
73	75347	331935
74	76438	331235
75	77354	329773
76	78382	328798
77	79333	327505
78	80335	326426
79	81299	325199
80	82286	324068
81	83325	323142
82	84392	322320
83	85338	321034
84	86294	319799
85	87142	318172
86	88286	317629
87	89434	317087
88	90352	315727
89	91521	315241
90	92468	313985
91	93560	313222
92	94516	312005
93	95446	310710
94	96552	309985
95	97501	308753
96	98463	307572
97	99529	306714
98	100750	306323
99	101923	305770
100	102944	304756
101	103761	303146
102	104693	301884
103	105583	300506
104	106340	298765
105	107246	297458
106	108203	296294
107	108969	294620
108	109848	293265
109	110965	292544
110	111836	291177
111	112932	290399
112	113734	288865
113	114701	287759
114	115590	286464
115	116470	285152
116	117314	283759
117	118236	282565
118	119094	281223
119	119968	279925
120	120839	278630
121	121606	277103
122	122451	275763
123	123351	274557
124	124199	273238
125	125104	272052
126	125829	270482
127	126661	269155
128	127490	267829
129	128254	266373
130	129085	265069
131	129956	263850
132	130788	262559
133	131562	261160
134	132466	260026
135	133200	258565
136	134138	257507
137	135033	256367
138	135937	255250
139	136767	253996
140	137519	252606
141	138306	251289
142	139217	250201
143	139983	248859
144	140834	247673
145	141645	246424
146	142518	245287
147	143268	243944
148	143993	242566
149	144785	241308
150	145676	240220
151	146451	238947
152	147284	237773
153	148166	236682
154	149010	235533
155	149865	234404
156	150757	233337
157	151718	232379
158	152532	231197
159	153357	230036
160	154210	228920
161	155028	227758
162	155750	226459
163	156447	225132
164	157244	223954
165	157845	222504
166	158630	221322
167	159383	220100
168	160094	218827
169	160900	217688
170	161562	216361
171	162269	215101
172	163058	213955
173	163724	212653
174	164504	211505
175	165256	210326
176	165948	209076
177	166689	207893
178	167380	206653
179	168063	205410
180	168705	204124
181	169519	203050
182	170254	201886
183	171080	200833
184	171871	199742
185	172560	198537
186	173225	197310
187	173915	196117
188	174586	194908
189	175358	193817
190	176030	192619
191	176870	191609
192	177464	190337
193	178212	189236
194	178903	188078
195	179596	186926
196	180250	185740
197	181205	184865
198	181927	183755
199	182632	182632
200	183430	181604
201	184135	180488
202	184890	179425
203	185589	178311
204	186424	177330
205	187161	176259
206	187859	175154
207	188659	174147
208	189444	173128
209	190132	172024
210	190976	171064
211	191737	170031
212	192511	169012
213	193286	167996
214	194017	166945
215	194953	166071
216	195579	164935
217	196406	163972
218	196870	162710
219	197669	161729
220	198256	160578
221	198924	159497
222	199422	158286
223	199981	157128
224	200676	156081
225	201310	154991
226	201942	153903
227	202580	152823
228	203260	151779
229	203863	150681
230	204521	149628
231	205146	148554
232	205675	147415
233	206321	146364
234	206942	145299
235	207534	144218
236	208189	143185
237	208919	142205
238	209600	141195
239	210221	140147
240	210931	139162
241	211560	138126
242	212201	137101
243	212839	136077
244	213507	135076
245	214188	134085
246	214761	133030
247	215381	132008
248	216001	130988
249	216677	130006
250	217289	128988
251	217920	127984
252	218596	127010
253	219231	126014
254	219803	124986
255	220367	123956
256	221037	122989
257	221671	122005
258	222330	121037
