Model,micro_recall,macro_recall,confusion_matrix
1,0.6122,0.6976,"[[852, 416, 71], [2, 137, 13], [42, 554, 744]]"
2,0.6122,0.6976,"[[852, 416, 71], [2, 137, 13], [42, 554, 744]]"
3,0.6097,0.6978,"[[878, 415, 46], [1, 138, 13], [66, 564, 710]]"
4,0.7022,0.7397,"[[1071, 194, 74], [11, 126, 15], [75, 474, 791]]"
5,0.7273,0.7418,"[[1116, 164, 59], [14, 118, 20], [79, 436, 825]]"
6,0.7273,0.7418,"[[1116, 164, 59], [14, 118, 20], [79, 436, 825]]"
7,0.7277,0.7304,"[[1120, 159, 60], [17, 112, 23], [80, 432, 828]]"
8,0.7337,0.7327,"[[1126, 144, 69], [19, 111, 22], [85, 415, 840]]"
9,0.7361,0.7305,"[[1125, 142, 72], [20, 109, 23], [86, 404, 850]]"
10,0.7609,0.7577,"[[1127, 131, 81], [18, 114, 20], [86, 341, 913]]"
11,0.7637,0.7597,"[[1129, 126, 84], [18, 114, 20], [90, 331, 919]]"
12,0.7718,0.7576,"[[1134, 119, 86], [20, 110, 22], [93, 306, 941]]"
13,0.7813,0.7565,"[[1137, 116, 86], [20, 106, 26], [95, 276, 969]]"
14,0.7806,0.7580,"[[1141, 116, 82], [18, 107, 27], [96, 282, 962]]"
15,0.7937,0.7789,"[[1147, 101, 91], [15, 113, 24], [96, 257, 987]]"
16,0.7927,0.7742,"[[1144, 105, 90], [16, 111, 25], [99, 252, 989]]"
17,0.7912,0.7752,"[[1146, 96, 97], [12, 112, 28], [97, 261, 982]]"
18,0.7912,0.7752,"[[1146, 96, 97], [12, 112, 28], [97, 261, 982]]"
19,0.7923,0.7779,"[[1147, 101, 91], [11, 113, 28], [98, 259, 983]]"
20,0.7905,0.7514,"[[1140, 98, 101], [16, 100, 36], [100, 242, 998]]"
21,0.7902,0.7414,"[[1144, 94, 101], [20, 95, 37], [100, 242, 998]]"
22,0.7881,0.7360,"[[1143, 90, 106], [21, 93, 38], [101, 244, 995]]"
23,0.7881,0.7360,"[[1143, 90, 106], [21, 93, 38], [101, 244, 995]]"
24,0.7877,0.7319,"[[1142, 94, 103], [23, 91, 38], [102, 241, 997]]"
25,0.7987,0.7474,"[[1145, 87, 107], [21, 95, 36], [93, 226, 1021]]"
26,0.7997,0.7423,"[[1148, 85, 106], [20, 92, 40], [93, 223, 1024]]"
27,0.8001,0.7522,"[[1155, 77, 107], [15, 97, 40], [99, 228, 1013]]"
28,0.8040,0.7550,"[[1154, 77, 108], [16, 97, 39], [91, 224, 1025]]"
29,0.8050,0.7654,"[[1155, 75, 109], [14, 102, 36], [94, 224, 1022]]"
30,0.8068,0.7667,"[[1156, 75, 108], [14, 102, 36], [97, 217, 1026]]"
31,0.8075,0.7672,"[[1156, 73, 110], [14, 102, 36], [93, 219, 1028]]"
32,0.8075,0.7672,"[[1156, 73, 110], [14, 102, 36], [93, 219, 1028]]"
33,0.8191,0.7890,"[[1159, 73, 107], [13, 109, 30], [94, 195, 1051]]"
34,0.8213,0.7847,"[[1163, 73, 103], [13, 106, 33], [101, 183, 1056]]"
35,0.8216,0.7810,"[[1165, 70, 104], [12, 104, 36], [100, 183, 1057]]"
36,0.8223,0.7776,"[[1167, 66, 106], [13, 102, 37], [99, 182, 1059]]"
37,0.8280,0.7991,"[[1168, 65, 106], [10, 111, 31], [100, 175, 1065]]"
38,0.8266,0.7962,"[[1168, 65, 106], [11, 110, 31], [100, 178, 1062]]"
39,0.8280,0.7952,"[[1168, 66, 105], [10, 109, 33], [101, 172, 1067]]"
40,0.8269,0.7925,"[[1167, 65, 107], [11, 108, 33], [99, 175, 1066]]"
41,0.8262,0.7940,"[[1167, 65, 107], [10, 109, 33], [100, 177, 1063]]"
42,0.8262,0.7940,"[[1167, 65, 107], [10, 109, 33], [100, 177, 1063]]"
43,0.8262,0.7881,"[[1166, 64, 109], [12, 106, 34], [98, 175, 1067]]"
44,0.8255,0.7857,"[[1164, 65, 110], [13, 105, 34], [99, 173, 1068]]"
45,0.8280,0.7894,"[[1167, 66, 106], [13, 106, 33], [99, 170, 1071]]"
46,0.8273,0.7869,"[[1164, 67, 108], [13, 105, 34], [96, 171, 1073]]"
47,0.8280,0.7874,"[[1166, 65, 108], [15, 105, 32], [101, 166, 1073]]"
48,0.8280,0.7874,"[[1166, 65, 108], [15, 105, 32], [101, 166, 1073]]"
49,0.8287,0.7879,"[[1168, 65, 106], [13, 105, 34], [99, 168, 1073]]"
50,0.8287,0.7879,"[[1168, 65, 106], [13, 105, 34], [99, 168, 1073]]"
51,0.8269,0.7420,"[[1167, 60, 112], [16, 82, 54], [93, 155, 1092]]"
52,0.8184,0.6991,"[[1168, 59, 112], [16, 63, 73], [97, 157, 1086]]"
53,0.8248,0.7249,"[[1170, 58, 111], [15, 74, 63], [95, 154, 1091]]"
54,0.8103,0.6700,"[[1168, 60, 111], [21, 51, 80], [99, 166, 1075]]"
55,0.8121,0.6713,"[[1170, 62, 107], [21, 51, 80], [97, 165, 1078]]"
56,0.8131,0.6740,"[[1168, 59, 112], [21, 52, 79], [98, 160, 1082]]"
57,0.8138,0.6783,"[[1169, 60, 110], [21, 54, 77], [101, 158, 1081]]"
58,0.8121,0.6596,"[[1169, 57, 113], [20, 45, 87], [95, 160, 1085]]"
59,0.8121,0.6596,"[[1169, 57, 113], [20, 45, 87], [95, 160, 1085]]"
60,0.8121,0.6596,"[[1169, 57, 113], [20, 45, 87], [95, 160, 1085]]"
61,0.8124,0.6598,"[[1170, 57, 112], [21, 45, 86], [94, 161, 1085]]"
62,0.8156,0.6718,"[[1168, 54, 117], [20, 50, 82], [93, 156, 1091]]"
63,0.8135,0.6664,"[[1170, 58, 111], [22, 48, 82], [94, 161, 1085]]"
64,0.8177,0.6752,"[[1170, 56, 113], [22, 51, 79], [94, 152, 1094]]"
65,0.8153,0.6696,"[[1171, 58, 110], [20, 49, 83], [95, 157, 1088]]"
66,0.8156,0.6738,"[[1170, 58, 111], [22, 51, 79], [95, 157, 1088]]"
67,0.8156,0.6738,"[[1170, 58, 111], [22, 51, 79], [95, 157, 1088]]"
68,0.8156,0.6738,"[[1170, 58, 111], [22, 51, 79], [95, 157, 1088]]"
69,0.8075,0.6447,"[[1167, 61, 111], [23, 39, 90], [99, 161, 1080]]"
70,0.8075,0.6447,"[[1167, 61, 111], [23, 39, 90], [99, 161, 1080]]"
71,0.8114,0.6474,"[[1168, 58, 113], [22, 39, 91], [92, 158, 1090]]"
72,0.8135,0.6528,"[[1170, 57, 112], [24, 41, 87], [95, 153, 1092]]"
73,0.8124,0.6637,"[[1170, 53, 116], [19, 47, 86], [99, 158, 1083]]"
74,0.8138,0.6745,"[[1169, 53, 117], [20, 52, 80], [98, 159, 1083]]"
75,0.8135,0.6859,"[[1165, 56, 118], [18, 58, 76], [94, 166, 1080]]"
76,0.8262,0.7454,"[[1166, 58, 115], [10, 84, 58], [96, 155, 1089]]"
77,0.8269,0.7517,"[[1164, 58, 117], [11, 87, 54], [95, 155, 1090]]"
78,0.8269,0.7517,"[[1164, 58, 117], [11, 87, 54], [95, 155, 1090]]"
79,0.8269,0.7575,"[[1166, 61, 112], [10, 90, 52], [96, 159, 1085]]"
80,0.8237,0.7397,"[[1166, 53, 120], [12, 82, 58], [96, 160, 1084]]"
81,0.8237,0.7378,"[[1170, 54, 115], [13, 81, 58], [98, 161, 1081]]"
82,0.8237,0.7378,"[[1170, 54, 115], [13, 81, 58], [98, 161, 1081]]"
83,0.8340,0.7936,"[[1165, 54, 120], [9, 106, 37], [99, 151, 1090]]"
84,0.8347,0.7902,"[[1171, 52, 116], [10, 104, 38], [101, 151, 1088]]"
85,0.8322,0.7671,"[[1170, 53, 116], [10, 93, 49], [101, 146, 1093]]"
86,0.8301,0.7559,"[[1168, 57, 114], [11, 88, 53], [101, 145, 1094]]"
87,0.8301,0.7559,"[[1171, 53, 115], [10, 88, 54], [100, 149, 1091]]"
88,0.8319,0.7649,"[[1169, 51, 119], [11, 92, 49], [100, 146, 1094]]"
89,0.8319,0.7649,"[[1169, 51, 119], [11, 92, 49], [100, 146, 1094]]"
90,0.8326,0.7615,"[[1168, 55, 116], [11, 90, 51], [100, 141, 1099]]"
91,0.8396,0.7898,"[[1175, 51, 113], [9, 102, 41], [98, 142, 1100]]"
92,0.8396,0.7898,"[[1175, 51, 113], [9, 102, 41], [98, 142, 1100]]"
93,0.8396,0.7976,"[[1174, 49, 116], [10, 106, 36], [100, 143, 1097]]"
94,0.8382,0.7811,"[[1174, 50, 115], [11, 98, 43], [97, 142, 1101]]"
95,0.8410,0.7850,"[[1171, 51, 117], [10, 99, 43], [99, 130, 1111]]"
96,0.8410,0.7850,"[[1171, 51, 117], [10, 99, 43], [99, 130, 1111]]"
97,0.8372,0.7842,"[[1171, 49, 119], [11, 100, 41], [100, 141, 1099]]"
98,0.8396,0.7840,"[[1172, 47, 120], [11, 99, 42], [99, 135, 1106]]"
99,0.8396,0.7840,"[[1172, 47, 120], [11, 99, 42], [99, 135, 1106]]"
100,0.8400,0.7978,"[[1174, 49, 116], [10, 106, 36], [101, 141, 1098]]"
101,0.8439,0.8084,"[[1176, 52, 111], [9, 110, 33], [103, 134, 1103]]"
102,0.8425,0.7976,"[[1176, 57, 106], [11, 105, 36], [102, 134, 1104]]"
103,0.8442,0.8028,"[[1175, 53, 111], [9, 107, 36], [101, 131, 1108]]"
104,0.8449,0.8033,"[[1176, 51, 112], [10, 107, 35], [102, 129, 1109]]"
105,0.8485,0.8077,"[[1176, 52, 111], [10, 108, 34], [103, 119, 1118]]"
106,0.8478,0.8111,"[[1176, 53, 110], [10, 110, 32], [101, 125, 1114]]"
107,0.8453,0.8074,"[[1173, 52, 114], [10, 109, 33], [100, 129, 1111]]"
108,0.8471,0.8067,"[[1174, 54, 111], [10, 108, 34], [100, 124, 1116]]"
109,0.8478,0.8111,"[[1176, 51, 112], [10, 110, 32], [99, 127, 1114]]"
110,0.8488,0.8041,"[[1178, 54, 107], [11, 106, 35], [106, 115, 1119]]"
111,0.8499,0.8068,"[[1178, 52, 109], [10, 107, 35], [103, 116, 1121]]"
112,0.8478,0.8072,"[[1175, 56, 108], [10, 108, 34], [106, 117, 1117]]"
113,0.8506,0.8053,"[[1177, 52, 110], [11, 106, 35], [105, 110, 1125]]"
114,0.8531,0.8090,"[[1178, 52, 109], [11, 107, 34], [106, 104, 1130]]"
115,0.8531,0.8090,"[[1178, 52, 109], [11, 107, 34], [106, 104, 1130]]"
116,0.8516,0.8041,"[[1177, 49, 113], [11, 105, 36], [103, 108, 1129]]"
117,0.8538,0.8056,"[[1176, 50, 113], [11, 105, 36], [105, 99, 1136]]"
118,0.8552,0.8105,"[[1176, 51, 112], [11, 107, 34], [106, 96, 1138]]"
119,0.8555,0.8088,"[[1176, 50, 113], [11, 106, 35], [105, 95, 1140]]"
120,0.8534,0.8073,"[[1177, 51, 111], [11, 106, 35], [107, 100, 1133]]"
121,0.8534,0.8054,"[[1175, 50, 114], [11, 105, 36], [108, 96, 1136]]"
122,0.8523,0.8066,"[[1173, 48, 118], [11, 106, 35], [104, 102, 1134]]"
123,0.8523,0.8066,"[[1173, 48, 118], [11, 106, 35], [104, 102, 1134]]"
124,0.8559,0.8071,"[[1178, 46, 115], [11, 105, 36], [107, 93, 1140]]"
125,0.8587,0.8130,"[[1176, 46, 117], [11, 107, 34], [106, 86, 1148]]"
126,0.8566,0.8057,"[[1173, 44, 122], [11, 104, 37], [108, 84, 1148]]"
127,0.8555,0.8088,"[[1177, 44, 118], [11, 106, 35], [106, 95, 1139]]"
128,0.8545,0.8042,"[[1180, 41, 118], [11, 104, 37], [106, 99, 1135]]"
129,0.8513,0.8000,"[[1177, 43, 119], [12, 103, 37], [108, 102, 1130]]"
130,0.8538,0.8017,"[[1179, 42, 118], [11, 103, 38], [106, 99, 1135]]"
131,0.8555,0.7991,"[[1182, 45, 112], [11, 101, 40], [104, 97, 1139]]"
132,0.8520,0.7908,"[[1178, 41, 120], [11, 98, 43], [106, 98, 1136]]"
133,0.8541,0.7942,"[[1182, 44, 113], [11, 99, 42], [103, 100, 1137]]"
134,0.8548,0.7966,"[[1183, 46, 110], [12, 100, 40], [110, 93, 1137]]"
135,0.8531,0.7934,"[[1182, 43, 114], [11, 99, 42], [107, 99, 1134]]"
136,0.8531,0.7934,"[[1182, 43, 114], [11, 99, 42], [107, 99, 1134]]"
137,0.8516,0.7944,"[[1180, 44, 115], [10, 100, 42], [111, 98, 1131]]"
138,0.8538,0.7920,"[[1180, 43, 116], [11, 98, 43], [108, 93, 1139]]"
139,0.8538,0.7920,"[[1180, 43, 116], [11, 98, 43], [108, 93, 1139]]"
140,0.8478,0.7819,"[[1178, 46, 115], [12, 95, 45], [108, 105, 1127]]"
141,0.8488,0.7846,"[[1177, 45, 117], [12, 96, 44], [106, 104, 1130]]"
142,0.8485,0.7824,"[[1177, 46, 116], [11, 95, 46], [107, 103, 1130]]"
143,0.8534,0.7937,"[[1177, 45, 117], [11, 99, 42], [106, 94, 1140]]"
144,0.8555,0.7971,"[[1177, 44, 118], [11, 100, 41], [103, 92, 1145]]"
145,0.8555,0.7971,"[[1177, 44, 118], [11, 100, 41], [103, 92, 1145]]"
146,0.8552,0.7949,"[[1182, 41, 116], [10, 99, 43], [105, 95, 1140]]"
147,0.8545,0.7886,"[[1180, 42, 117], [11, 96, 45], [105, 92, 1143]]"
148,0.8534,0.7840,"[[1181, 43, 115], [11, 94, 47], [106, 93, 1141]]"
149,0.8545,0.7867,"[[1183, 42, 114], [11, 95, 46], [105, 94, 1141]]"
150,0.8513,0.7825,"[[1178, 42, 119], [11, 94, 47], [108, 94, 1138]]"
151,0.8548,0.7889,"[[1178, 40, 121], [12, 96, 44], [105, 89, 1146]]"
152,0.8559,0.7857,"[[1179, 39, 121], [11, 94, 47], [103, 87, 1150]]"
153,0.8576,0.7908,"[[1180, 40, 119], [12, 96, 44], [101, 87, 1152]]"
154,0.8569,0.7903,"[[1181, 39, 119], [10, 96, 46], [103, 88, 1149]]"
155,0.8548,0.7908,"[[1178, 39, 122], [10, 97, 45], [105, 90, 1145]]"
156,0.8538,0.7842,"[[1176, 44, 119], [13, 94, 45], [104, 89, 1147]]"
157,0.8541,0.7922,"[[1177, 39, 123], [11, 98, 43], [104, 93, 1143]]"
158,0.8562,0.7918,"[[1178, 38, 123], [10, 97, 45], [105, 86, 1149]]"
159,0.8555,0.7894,"[[1181, 38, 120], [10, 96, 46], [106, 89, 1145]]"
160,0.8538,0.7881,"[[1179, 37, 123], [12, 96, 44], [107, 91, 1142]]"
161,0.8534,0.7859,"[[1180, 40, 119], [11, 95, 46], [109, 90, 1141]]"
162,0.8562,0.7957,"[[1181, 38, 120], [10, 99, 43], [107, 89, 1144]]"
163,0.8555,0.7991,"[[1176, 38, 125], [9, 101, 42], [105, 90, 1145]]"
164,0.8534,0.7956,"[[1177, 36, 126], [10, 100, 42], [109, 92, 1139]]"
165,0.8555,0.7971,"[[1179, 39, 121], [11, 100, 41], [110, 87, 1143]]"
166,0.8538,0.7901,"[[1178, 37, 124], [10, 97, 45], [106, 92, 1142]]"
167,0.8555,0.7894,"[[1180, 40, 119], [11, 96, 45], [105, 89, 1146]]"
168,0.8562,0.7937,"[[1178, 35, 126], [10, 98, 44], [108, 84, 1148]]"
169,0.8562,0.7918,"[[1180, 38, 121], [10, 97, 45], [108, 85, 1147]]"
170,0.8569,0.7962,"[[1181, 37, 121], [10, 99, 43], [109, 85, 1146]]"
171,0.8538,0.7901,"[[1181, 37, 121], [10, 97, 45], [111, 90, 1139]]"
172,0.8587,0.8013,"[[1180, 42, 117], [10, 101, 41], [103, 87, 1150]]"
173,0.8541,0.7981,"[[1175, 42, 122], [10, 101, 41], [106, 92, 1142]]"
174,0.8541,0.7961,"[[1177, 43, 119], [10, 100, 42], [109, 90, 1141]]"
175,0.8545,0.8003,"[[1174, 43, 122], [10, 102, 40], [104, 93, 1143]]"
176,0.8573,0.8042,"[[1178, 44, 117], [10, 103, 39], [104, 90, 1146]]"
177,0.8541,0.8000,"[[1176, 41, 122], [10, 102, 40], [108, 92, 1140]]"
178,0.8541,0.8000,"[[1176, 41, 122], [10, 102, 40], [108, 92, 1140]]"
179,0.8545,0.8003,"[[1177, 39, 123], [10, 102, 40], [108, 92, 1140]]"
180,0.8531,0.8012,"[[1174, 43, 122], [10, 103, 39], [108, 94, 1138]]"
181,0.8531,0.7973,"[[1176, 40, 123], [10, 101, 41], [108, 94, 1138]]"
182,0.8545,0.8022,"[[1174, 38, 127], [10, 103, 39], [106, 92, 1142]]"
183,0.8566,0.8057,"[[1177, 39, 123], [11, 104, 37], [104, 92, 1144]]"
184,0.8555,0.8030,"[[1176, 42, 121], [11, 103, 38], [106, 91, 1143]]"
185,0.8573,0.8100,"[[1177, 40, 122], [9, 106, 37], [107, 89, 1144]]"
186,0.8531,0.7973,"[[1175, 38, 126], [10, 101, 41], [107, 94, 1139]]"
187,0.8545,0.7983,"[[1175, 38, 126], [10, 101, 41], [106, 91, 1143]]"
