Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
414,1,1.75,1.0,1.0,4.0,1.0
472,2,3.25,2.0,2.0,7.0,2.0
420,3,4.0,3.0,4.0,5.0,4.0
457,4,5.25,5.0,4.0,8.0,4.0
400,5,6.25,6.0,4.0,11.0,4.0
454,6,7.5,8.0,8.0,6.0,8.0
392,7,8.75,4.0,3.0,25.0,3.0
458,8,9.5,7.0,4.0,23.0,4.0
445,9,10.0,9.0,8.0,15.0,8.0
484,10,11.75,10.0,8.0,21.0,8.0
430,11,13.5,14.0,15.0,10.0,15.0
446,12,13.5,15.0,15.0,9.0,15.0
494,13,13.5,11.0,8.0,27.0,8.0
410,14,14.25,15.0,15.0,12.0,15.0
487,15,15.25,13.0,8.0,32.0,8.0
496,16,15.5,12.0,8.0,34.0,8.0
455,17,15.75,17.0,15.0,16.0,15.0
471,18,16.5,19.0,15.0,17.0,15.0
492,19,20.25,20.0,15.0,31.0,15.0
451,20,21.0,21.0,15.0,33.0,15.0
464,21,21.25,18.0,8.0,51.0,8.0
434,22,23.25,22.0,15.0,41.0,15.0
428,23,23.75,24.0,26.0,19.0,26.0
490,24,24.0,26.0,26.0,18.0,26.0
390,25,24.75,23.0,15.0,46.0,15.0
432,26,26.5,30.0,26.0,24.0,26.0
412,27,26.5,28.0,26.0,26.0,26.0
413,28,27.75,29.0,26.0,30.0,26.0
403,29,28.0,31.0,26.0,29.0,26.0
486,30,29.5,27.0,15.0,61.0,15.0
497,31,29.5,25.0,15.0,63.0,15.0
310,32,30.5,33.0,26.0,37.0,26.0
476,33,31.0,32.0,26.0,40.0,26.0
488,34,32.0,34.0,26.0,42.0,26.0
419,35,32.75,35.0,26.0,44.0,26.0
439,36,34.25,36.0,26.0,49.0,26.0
427,37,35.0,38.0,41.0,20.0,41.0
433,38,35.5,36.0,26.0,54.0,26.0
394,39,36.25,41.0,41.0,22.0,41.0
391,40,39.25,39.0,26.0,66.0,26.0
450,41,39.75,40.0,26.0,67.0,26.0
411,42,40.0,43.0,41.0,35.0,41.0
435,43,41.0,44.0,41.0,38.0,41.0
444,44,42.25,42.0,26.0,75.0,26.0
393,45,43.25,46.0,41.0,45.0,41.0
418,46,43.75,45.0,41.0,48.0,41.0
436,47,44.0,47.0,41.0,47.0,41.0
452,48,45.75,48.0,41.0,53.0,41.0
371,49,46.0,52.0,41.0,50.0,41.0
421,50,46.75,49.0,41.0,56.0,41.0
467,51,48.75,51.0,41.0,62.0,41.0
438,52,49.0,49.0,41.0,65.0,41.0
461,53,52.0,53.0,41.0,73.0,41.0
401,54,52.0,56.0,58.0,36.0,58.0
437,55,53.25,58.0,58.0,39.0,58.0
493,56,53.5,55.0,41.0,77.0,41.0
443,57,54.5,59.0,58.0,43.0,58.0
442,58,55.5,54.0,41.0,86.0,41.0
485,59,56.0,57.0,41.0,85.0,41.0
404,60,58.0,61.0,58.0,55.0,58.0
480,61,58.25,60.0,58.0,57.0,58.0
416,62,60.25,65.0,58.0,60.0,58.0
483,63,60.25,66.0,58.0,59.0,58.0
422,64,60.5,62.0,58.0,64.0,58.0
408,65,62.0,68.0,76.0,28.0,76.0
469,66,62.0,63.0,41.0,103.0,41.0
426,67,62.75,67.0,58.0,68.0,58.0
447,68,62.75,64.0,58.0,71.0,58.0
302,69,64.75,69.0,58.0,74.0,58.0
498,70,66.5,71.0,58.0,79.0,58.0
466,71,68.75,72.0,58.0,87.0,58.0
399,72,69.5,70.0,58.0,92.0,58.0
459,73,71.0,73.0,58.0,95.0,58.0
366,74,71.5,76.0,58.0,94.0,58.0
415,75,71.75,77.0,76.0,58.0,76.0
308,76,73.25,75.0,58.0,102.0,58.0
491,77,75.75,74.0,58.0,113.0,58.0
456,78,76.5,78.0,76.0,76.0,76.0
474,79,77.5,80.0,76.0,78.0,76.0
395,80,78.25,80.0,76.0,81.0,76.0
460,81,78.5,80.0,76.0,82.0,76.0
425,82,80.0,79.0,76.0,89.0,76.0
448,83,81.0,84.0,76.0,88.0,76.0
305,84,81.5,83.0,76.0,91.0,76.0
475,85,81.75,85.0,76.0,90.0,76.0
424,86,83.0,88.0,96.0,52.0,96.0
441,87,83.5,86.0,76.0,96.0,76.0
449,88,84.0,87.0,76.0,97.0,76.0
376,89,87.25,89.0,76.0,108.0,76.0
406,90,88.0,91.0,96.0,69.0,96.0
320,91,89.0,94.0,96.0,70.0,96.0
440,92,89.5,94.0,96.0,72.0,96.0
489,93,90.0,92.0,76.0,116.0,76.0
477,94,90.25,90.0,76.0,119.0,76.0
313,95,90.25,92.0,76.0,117.0,76.0
385,96,92.0,98.0,76.0,118.0,76.0
409,97,92.0,96.0,96.0,80.0,96.0
499,98,93.75,97.0,76.0,126.0,76.0
478,99,95.25,99.0,76.0,130.0,76.0
429,100,97.5,100.0,96.0,98.0,96.0
316,101,98.0,101.0,96.0,99.0,96.0
311,102,99.75,102.0,96.0,105.0,96.0
317,103,100.5,104.0,96.0,106.0,96.0
296,104,101.0,105.0,96.0,107.0,96.0
463,105,102.5,103.0,96.0,115.0,96.0
431,106,103.0,107.0,111.0,83.0,111.0
398,107,105.75,108.0,111.0,93.0,111.0
306,108,106.5,106.0,76.0,168.0,76.0
482,109,108.0,109.0,96.0,131.0,96.0
423,110,108.0,110.0,111.0,100.0,111.0
417,111,109.25,111.0,111.0,104.0,111.0
402,112,109.75,117.0,119.0,84.0,119.0
462,113,112.25,112.0,96.0,145.0,96.0
481,114,113.75,112.0,96.0,151.0,96.0
299,115,114.75,112.0,96.0,155.0,96.0
453,116,115.25,116.0,111.0,123.0,111.0
318,117,116.0,115.0,111.0,127.0,111.0
361,118,117.5,120.0,119.0,112.0,119.0
407,119,120.5,123.0,129.0,101.0,129.0
380,120,122.0,118.0,111.0,148.0,111.0
495,121,123.0,121.0,119.0,133.0,119.0
368,122,124.25,128.0,129.0,111.0,129.0
293,123,125.75,122.0,119.0,143.0,119.0
470,124,126.0,119.0,111.0,163.0,111.0
292,125,127.25,124.0,119.0,147.0,119.0
479,126,128.25,125.0,119.0,150.0,119.0
365,127,128.5,127.0,119.0,149.0,119.0
405,128,129.0,130.0,129.0,128.0,129.0
396,129,129.5,133.0,138.0,109.0,138.0
309,130,130.75,126.0,119.0,159.0,119.0
325,131,131.25,135.0,138.0,114.0,138.0
386,132,131.75,129.0,119.0,160.0,119.0
473,133,132.25,132.0,129.0,139.0,129.0
307,134,134.0,138.0,138.0,122.0,138.0
397,135,134.25,136.0,138.0,125.0,138.0
315,136,134.5,134.0,129.0,146.0,129.0
378,137,135.5,131.0,119.0,173.0,119.0
384,138,137.0,137.0,129.0,153.0,129.0
465,139,140.0,142.0,138.0,142.0,138.0
289,140,140.25,141.0,138.0,144.0,138.0
321,141,141.25,146.0,149.0,121.0,149.0
312,142,141.5,148.0,149.0,120.0,149.0
369,143,143.25,140.0,129.0,175.0,129.0
340,144,143.5,144.0,138.0,154.0,138.0
300,145,144.0,143.0,138.0,157.0,138.0
303,146,144.5,139.0,129.0,181.0,129.0
373,147,144.75,147.0,138.0,156.0,138.0
370,148,146.75,149.0,149.0,140.0,149.0
382,149,147.25,145.0,129.0,186.0,129.0
335,150,151.0,153.0,161.0,129.0,161.0
357,151,151.5,150.0,149.0,158.0,149.0
353,152,153.25,157.0,161.0,134.0,161.0
314,153,155.0,151.0,149.0,171.0,149.0
468,154,156.0,152.0,149.0,174.0,149.0
375,155,157.75,154.0,138.0,201.0,138.0
