Model,Precision
70,0.8352958960711824
69,0.8352958960711824
71,0.8378405100967863
73,0.8383509882851594
72,0.8384527178503574
58,0.8394986034913111
59,0.8394986034913111
60,0.8394986034913111
61,0.8401195157894853
74,0.8406702021094021
54,0.8407169585917822
63,0.8418163405183349
56,0.8418598867091093
62,0.8418937744816621
57,0.8424663212532769
65,0.8426645954705201
55,0.842856084534138
67,0.843234919473346
68,0.843234919473346
66,0.843234919473346
64,0.8435491268582798
75,0.8438706231341341
52,0.8478145504250002
24,0.8524683752089159
22,0.8525456950963259
23,0.8525456950963259
80,0.854376212854094
53,0.8544479524179
82,0.8547172022814097
81,0.8547172022814097
21,0.8557405641020912
27,0.8567918954476111
76,0.8571932229427831
26,0.8572082776632551
20,0.8576952864916435
25,0.8578333872888406
77,0.8582154781465492
78,0.8582154781465492
51,0.8582706883655238
87,0.8584999983058984
86,0.858530309589574
88,0.8593739381058128
89,0.8593739381058128
90,0.8597186581829808
28,0.8598922631842718
79,0.8603309572297865
85,0.8603426460078948
30,0.8605154938717066
29,0.8607097288002479
32,0.8612743424034522
31,0.8612743424034522
97,0.8637176445278006
99,0.8641688688171372
98,0.8641688688171372
36,0.8642265633403663
140,0.8644718380648567
150,0.8646009922108584
18,0.8646036889795155
17,0.8646036889795155
142,0.8647659786676767
84,0.8648552562723998
194,0.8648641108543373
83,0.8648883083816586
44,0.8649921974173633
35,0.8651067541970376
94,0.8652060878424531
141,0.8652204699458841
13,0.8652517792356649
171,0.8653941240636337
95,0.8654300828100825
96,0.8654300828100825
161,0.8655182687457171
160,0.8655701412691832
164,0.8655869265772334
48,0.865660388786755
47,0.865660388786755
12,0.8657561166514081
34,0.8658027318806759
166,0.8659366186166129
43,0.8660921153051809
186,0.8662255717862006
132,0.8663837175510279
168,0.8664402702425285
156,0.866532162917576
16,0.8665349918414045
14,0.8665483730681418
181,0.8666328584849785
148,0.8667700105857404
137,0.8668093265914846
151,0.8669121010860189
46,0.8669270014661696
9,0.8669324992878347
50,0.8669722931364174
49,0.8669722931364174
19,0.8669760955364193
155,0.8670376732704589
187,0.8670471433759405
157,0.8670612983516192
198,0.8670625104872264
100,0.867122515363032
169,0.8671414172909289
42,0.8671558327183224
41,0.8671558327183224
45,0.8671575846147085
195,0.8671768938779307
159,0.8671870754657621
193,0.8672130371235864
152,0.867214949215396
190,0.8672589573227382
92,0.8672684981978827
91,0.8672684981978827
33,0.8672725199043356
40,0.8672823087628243
93,0.8672839337760774
165,0.8672842845573772
192,0.8672902499834372
253,0.8673138311648586
174,0.8673927320034712
223,0.8673984438333042
158,0.8674283753860915
129,0.8674293879964691
182,0.867441105410566
139,0.8674846076466408
138,0.8674846076466408
180,0.8674882241053247
179,0.8675036936141898
177,0.867588414912541
178,0.867588414912541
11,0.86761376184087
167,0.8676258716744595
147,0.8676262399302593
173,0.8677651276425774
170,0.8678081146403097
201,0.8678810416405479
227,0.8678958435598577
38,0.8679079195345755
39,0.8679189769205359
143,0.8679405284443016
149,0.8679415519376558
163,0.8679424388419853
188,0.8679435209380902
224,0.8680499959326621
15,0.8680619469638032
196,0.8681329799596956
162,0.8681642011211917
135,0.8681926253609994
136,0.8681926253609994
191,0.8682570479744957
226,0.8685562075241877
37,0.8686291767835862
220,0.868638284641188
154,0.868682607548848
203,0.8686892653612526
217,0.8686942746115178
175,0.8686980057934902
216,0.8687256640280773
189,0.8688505903673764
228,0.868889715014174
225,0.8689093028881054
8,0.8689467982269921
231,0.8690111759143871
202,0.8690444594307072
146,0.8690538991137035
130,0.8690784169912793
184,0.8691402391601611
235,0.869146917207443
258,0.8691602550431922
126,0.8692315247467967
241,0.8692913008965533
233,0.8693154690073933
218,0.8693206199340383
134,0.8693898361431908
153,0.8694157576784024
247,0.8694278334063629
209,0.8694309019811347
