Model,Neutral MCC,GOF MCC,LOF MCC
1,0.6514,0.2491,0.5476
2,0.6514,0.2491,0.5476
3,0.6467,0.2502,0.5503
4,0.7538,0.2908,0.5724
5,0.7783,0.2862,0.6026
6,0.7783,0.2862,0.6026
7,0.778,0.2693,0.6009
8,0.7768,0.2766,0.6014
9,0.7746,0.2744,0.6042
10,0.7775,0.3192,0.639
11,0.7758,0.3255,0.6403
12,0.7756,0.3253,0.6511
13,0.7761,0.3262,0.666
14,0.7796,0.327,0.6638
15,0.7859,0.3691,0.6753
16,0.7809,0.3623,0.6766
17,0.7867,0.3659,0.664
18,0.7867,0.3659,0.664
19,0.7874,0.368,0.6695
20,0.7775,0.3303,0.6652
21,0.7773,0.3135,0.6644
22,0.7751,0.3068,0.6577
23,0.7751,0.3068,0.6577
24,0.7722,0.2986,0.6614
25,0.7824,0.3261,0.6758
26,0.7852,0.3173,0.6755
27,0.7893,0.3386,0.6674
28,0.7937,0.341,0.6755
29,0.7937,0.3617,0.675
30,0.7922,0.366,0.6784
31,0.7951,0.366,0.6782
32,0.7951,0.366,0.6782
33,0.7972,0.4094,0.7006
34,0.7948,0.4062,0.7047
35,0.7977,0.4005,0.7023
36,0.799,0.3961,0.7014
37,0.8012,0.4382,0.71
38,0.8005,0.4319,0.708
39,0.8005,0.4318,0.7106
40,0.8005,0.4263,0.7084
41,0.8005,0.4287,0.7064
42,0.8005,0.4287,0.7064
43,0.7998,0.419,0.7069
44,0.797,0.4158,0.7068
45,0.799,0.4214,0.7126
46,0.7991,0.4158,0.7117
47,0.7954,0.4214,0.7132
48,0.7954,0.4214,0.7132
49,0.7997,0.4198,0.7132
50,0.7997,0.4198,0.7132
51,0.8012,0.3378,0.707
52,0.799,0.2525,0.689
53,0.8026,0.305,0.7005
54,0.7939,0.1906,0.677
55,0.7968,0.19,0.682
56,0.7947,0.1995,0.6819
57,0.7932,0.2095,0.6841
58,0.7983,0.1673,0.6775
59,0.7983,0.1673,0.6775
60,0.7983,0.1673,0.6775
61,0.7989,0.1667,0.6789
62,0.799,0.1956,0.6824
63,0.7982,0.1805,0.6825
64,0.7982,0.2016,0.6896
65,0.7996,0.1877,0.6846
66,0.7975,0.1972,0.6868
67,0.7975,0.1972,0.6868
68,0.7975,0.1972,0.6868
69,0.7918,0.1353,0.6733
70,0.7918,0.1353,0.6733
71,0.7983,0.1385,0.6782
72,0.7961,0.1517,0.6831
73,0.7968,0.1805,0.6746
74,0.7961,0.2038,0.6782
75,0.7977,0.2255,0.6783
76,0.8027,0.348,0.6998
77,0.8013,0.3609,0.7019
78,0.8013,0.3609,0.7019
79,0.8027,0.3681,0.7036
80,0.8013,0.3394,0.6927
81,0.8018,0.3334,0.6942
82,0.8018,0.3334,0.6942
83,0.8006,0.4475,0.7122
84,0.8025,0.4411,0.713
85,0.8018,0.3984,0.7084
86,0.7997,0.3743,0.7076
87,0.8033,0.3743,0.7041
88,0.8012,0.3959,0.7069
89,0.8012,0.3959,0.7069
90,0.8005,0.3882,0.7111
91,0.8082,0.4419,0.7213
92,0.8082,0.4419,0.7213
93,0.8054,0.4596,0.7207
94,0.8068,0.426,0.7191
95,0.804,0.4408,0.7246
96,0.804,0.4408,0.7246
97,0.8025,0.4363,0.7162
98,0.804,0.4398,0.7196
99,0.804,0.4398,0.7196
100,0.8046,0.4615,0.7214
101,0.8053,0.482,0.7307
102,0.8046,0.4564,0.7329
103,0.8061,0.4715,0.732
104,0.8053,0.4755,0.7326
105,0.8046,0.4891,0.7403
106,0.806,0.4901,0.7398
107,0.8047,0.4829,0.734
108,0.8054,0.4818,0.739
109,0.8075,0.4901,0.7383
110,0.8031,0.4828,0.7432
111,0.806,0.4881,0.7431
112,0.8017,0.4869,0.7418
113,0.8031,0.4904,0.7452
114,0.8031,0.5014,0.7501
115,0.8031,0.5014,0.7501
116,0.8046,0.4917,0.7451
117,0.8024,0.501,0.75
118,0.8017,0.512,0.7535
119,0.8024,0.5101,0.7535
120,0.8017,0.5029,0.75
121,0.7995,0.5046,0.7492
122,0.801,0.5041,0.7457
123,0.801,0.5041,0.7457
124,0.8024,0.5132,0.7513
125,0.8017,0.5308,0.7569
126,0.7981,0.523,0.7512
127,0.8024,0.5175,0.7492
128,0.8045,0.5076,0.7449
129,0.8002,0.4971,0.7407
130,0.8038,0.502,0.7442
131,0.8073,0.492,0.7499
132,0.8031,0.4825,0.7399
133,0.808,0.4808,0.7463
134,0.803,0.4913,0.7499
135,0.8052,0.4833,0.7435
136,0.8052,0.4833,0.7435
137,0.8016,0.4877,0.7407
138,0.803,0.4862,0.7449
139,0.803,0.4862,0.7449
140,0.8009,0.455,0.7357
141,0.8017,0.4617,0.7371
142,0.8017,0.4573,0.7364
143,0.8024,0.4869,0.7456
144,0.8046,0.4951,0.7491
145,0.8046,0.4951,0.7491
146,0.8073,0.4906,0.7456
147,0.8052,0.4798,0.7455
148,0.8052,0.4683,0.7441
149,0.8073,0.4728,0.7456
150,0.8016,0.4683,0.7392
151,0.8031,0.4862,0.7455
152,0.8059,0.4811,0.7462
153,0.8074,0.4888,0.7512
154,0.8081,0.4888,0.7477
155,0.8045,0.4907,0.7434
156,0.8017,0.4721,0.747
157,0.8038,0.4913,0.7427
158,0.8045,0.4973,0.7455
159,0.8059,0.4888,0.7441
160,0.8023,0.4875,0.7413
161,0.8023,0.4804,0.742
162,0.8052,0.5023,0.7455
163,0.8039,0.5098,0.7434
164,0.8009,0.5054,0.7384
165,0.8009,0.508,0.7455
166,0.8038,0.4907,0.7399
167,0.8052,0.4862,0.7462
168,0.8024,0.5086,0.7434
169,0.8038,0.4986,0.7455
170,0.8038,0.509,0.7462
171,0.8023,0.4933,0.7399
172,0.8074,0.5085,0.7533
173,0.8017,0.502,0.7441
174,0.8009,0.4989,0.7449
175,0.8025,0.5039,0.7455
176,0.8053,0.5108,0.7519
177,0.801,0.5077,0.7434
178,0.801,0.5077,0.7434
179,0.8017,0.5103,0.7427
180,0.7996,0.507,0.7427
181,0.801,0.502,0.7406
182,0.801,0.516,0.742
183,0.8038,0.519,0.7477
184,0.8017,0.5121,0.7477
185,0.8031,0.5304,0.7484
186,0.801,0.5046,0.7392
187,0.8017,0.5085,0.742
