Model,GOF Recall,LOF Recall,Neutral Recall
1,0.9,0.56,0.64
2,0.9,0.56,0.64
3,0.91,0.53,0.66
4,0.83,0.59,0.8
5,0.78,0.62,0.83
6,0.78,0.62,0.83
7,0.74,0.62,0.84
8,0.73,0.63,0.84
9,0.72,0.63,0.84
10,0.75,0.68,0.84
11,0.75,0.69,0.84
12,0.72,0.7,0.85
13,0.7,0.72,0.85
14,0.7,0.72,0.85
15,0.74,0.74,0.86
16,0.73,0.74,0.85
17,0.74,0.73,0.86
18,0.74,0.73,0.86
19,0.74,0.73,0.86
20,0.66,0.74,0.85
21,0.62,0.74,0.85
22,0.61,0.74,0.85
23,0.61,0.74,0.85
24,0.6,0.74,0.85
25,0.62,0.76,0.86
26,0.61,0.76,0.86
27,0.64,0.76,0.86
28,0.64,0.76,0.86
29,0.67,0.76,0.86
30,0.67,0.77,0.86
31,0.67,0.77,0.86
32,0.67,0.77,0.86
33,0.72,0.78,0.87
34,0.7,0.79,0.87
35,0.68,0.79,0.87
36,0.67,0.79,0.87
37,0.73,0.79,0.87
38,0.72,0.79,0.87
39,0.72,0.8,0.87
40,0.71,0.8,0.87
41,0.72,0.79,0.87
42,0.72,0.79,0.87
43,0.7,0.8,0.87
44,0.69,0.8,0.87
45,0.7,0.8,0.87
46,0.69,0.8,0.87
47,0.69,0.8,0.87
48,0.69,0.8,0.87
49,0.69,0.8,0.87
50,0.69,0.8,0.87
51,0.54,0.81,0.87
52,0.41,0.81,0.87
53,0.49,0.81,0.87
54,0.34,0.8,0.87
55,0.34,0.8,0.87
56,0.34,0.81,0.87
57,0.36,0.81,0.87
58,0.3,0.81,0.87
59,0.3,0.81,0.87
60,0.3,0.81,0.87
61,0.3,0.81,0.87
62,0.33,0.81,0.87
63,0.32,0.81,0.87
64,0.34,0.82,0.87
65,0.32,0.81,0.87
66,0.34,0.81,0.87
67,0.34,0.81,0.87
68,0.34,0.81,0.87
69,0.26,0.81,0.87
70,0.26,0.81,0.87
71,0.26,0.81,0.87
72,0.27,0.81,0.87
73,0.31,0.81,0.87
74,0.34,0.81,0.87
75,0.38,0.81,0.87
76,0.55,0.81,0.87
77,0.57,0.81,0.87
78,0.57,0.81,0.87
79,0.59,0.81,0.87
80,0.54,0.81,0.87
81,0.53,0.81,0.87
82,0.53,0.81,0.87
83,0.7,0.81,0.87
84,0.68,0.81,0.87
85,0.61,0.82,0.87
86,0.58,0.82,0.87
87,0.58,0.81,0.87
88,0.61,0.82,0.87
89,0.61,0.82,0.87
90,0.59,0.82,0.87
91,0.67,0.82,0.88
92,0.67,0.82,0.88
93,0.7,0.82,0.88
94,0.64,0.82,0.88
95,0.65,0.83,0.87
96,0.65,0.83,0.87
97,0.66,0.82,0.87
98,0.65,0.83,0.88
99,0.65,0.83,0.88
100,0.7,0.82,0.88
101,0.72,0.82,0.88
102,0.69,0.82,0.88
103,0.7,0.83,0.88
104,0.7,0.83,0.88
105,0.71,0.83,0.88
106,0.72,0.83,0.88
107,0.72,0.83,0.88
108,0.71,0.83,0.88
109,0.72,0.83,0.88
110,0.7,0.84,0.88
111,0.7,0.84,0.88
112,0.71,0.83,0.88
113,0.7,0.84,0.88
114,0.7,0.84,0.88
115,0.7,0.84,0.88
116,0.69,0.84,0.88
117,0.69,0.85,0.88
118,0.7,0.85,0.88
119,0.7,0.85,0.88
120,0.7,0.85,0.88
121,0.69,0.85,0.88
122,0.7,0.85,0.88
123,0.7,0.85,0.88
124,0.69,0.85,0.88
125,0.7,0.86,0.88
126,0.68,0.86,0.88
127,0.7,0.85,0.88
128,0.68,0.85,0.88
129,0.68,0.84,0.88
130,0.68,0.85,0.88
131,0.66,0.85,0.88
132,0.64,0.85,0.88
133,0.65,0.85,0.88
134,0.66,0.85,0.88
135,0.65,0.85,0.88
136,0.65,0.85,0.88
137,0.66,0.84,0.88
138,0.64,0.85,0.88
139,0.64,0.85,0.88
140,0.62,0.84,0.88
141,0.63,0.84,0.88
142,0.62,0.84,0.88
143,0.65,0.85,0.88
144,0.66,0.85,0.88
145,0.66,0.85,0.88
146,0.65,0.85,0.88
147,0.63,0.85,0.88
148,0.62,0.85,0.88
149,0.62,0.85,0.88
150,0.62,0.85,0.88
151,0.63,0.86,0.88
152,0.62,0.86,0.88
153,0.63,0.86,0.88
154,0.63,0.86,0.88
155,0.64,0.85,0.88
156,0.62,0.86,0.88
157,0.64,0.85,0.88
158,0.64,0.86,0.88
159,0.63,0.85,0.88
160,0.63,0.85,0.88
161,0.62,0.85,0.88
162,0.65,0.85,0.88
163,0.66,0.85,0.88
164,0.66,0.85,0.88
165,0.66,0.85,0.88
166,0.64,0.85,0.88
167,0.63,0.86,0.88
168,0.64,0.86,0.88
169,0.64,0.86,0.88
170,0.65,0.86,0.88
171,0.64,0.85,0.88
172,0.66,0.86,0.88
173,0.66,0.85,0.88
174,0.66,0.85,0.88
175,0.67,0.85,0.88
176,0.68,0.86,0.88
177,0.67,0.85,0.88
178,0.67,0.85,0.88
179,0.67,0.85,0.88
180,0.68,0.85,0.88
181,0.66,0.85,0.88
182,0.68,0.85,0.88
183,0.68,0.85,0.88
184,0.68,0.85,0.88
185,0.7,0.85,0.88
186,0.66,0.85,0.88
187,0.66,0.85,0.88
188,0.66,0.85,0.88
189,0.67,0.86,0.88
190,0.64,0.85,0.88
191,0.65,0.85,0.88
192,0.64,0.86,0.88
193,0.63,0.86,0.88
194,0.61,0.85,0.88
195,0.64,0.86,0.88
196,0.64,0.86,0.88
197,0.66,0.86,0.88
198,0.65,0.85,0.88
199,0.66,0.86,0.88
200,0.67,0.86,0.88
201,0.65,0.86,0.88
202,0.64,0.86,0.88
203,0.66,0.86,0.87
204,0.67,0.86,0.88
205,0.68,0.86,0.88
206,0.68,0.86,0.88
207,0.69,0.85,0.88
208,0.69,0.86,0.88
209,0.7,0.85,0.88
210,0.68,0.86,0.88
211,0.68,0.86,0.88
212,0.68,0.86,0.88
213,0.68,0.86,0.88
214,0.69,0.86,0.88
215,0.68,0.85,0.88
216,0.67,0.86,0.88
217,0.67,0.85,0.88
218,0.67,0.85,0.88
219,0.67,0.86,0.88
220,0.66,0.86,0.88
221,0.66,0.86,0.88
222,0.66,0.86,0.88
223,0.64,0.86,0.88
224,0.64,0.86,0.88
225,0.67,0.86,0.88
226,0.64,0.86,0.88
227,0.62,0.86,0.88
228,0.66,0.85,0.88
229,0.67,0.86,0.88
230,0.65,0.86,0.88
231,0.65,0.86,0.88
232,0.66,0.86,0.88
233,0.66,0.86,0.88
234,0.66,0.86,0.88
235,0.66,0.86,0.88
236,0.67,0.86,0.88
237,0.66,0.86,0.88
238,0.66,0.87,0.88
239,0.66,0.87,0.88
240,0.66,0.88,0.88
241,0.65,0.86,0.87
242,0.66,0.87,0.88
243,0.67,0.86,0.88
244,0.68,0.86,0.88
245,0.66,0.87,0.88
246,0.68,0.86,0.88
247,0.66,0.86,0.88
248,0.68,0.86,0.88
249,0.68,0.86,0.88
250,0.68,0.86,0.88
251,0.67,0.86,0.87
252,0.68,0.86,0.88
253,0.64,0.86,0.88
254,0.68,0.87,0.87
255,0.67,0.86,0.88
256,0.68,0.86,0.88
257,0.69,0.86,0.88
258,0.66,0.86,0.88
259,0.68,0.86,0.88
260,0.68,0.86,0.88
261,0.68,0.86,0.88
262,0.68,0.86,0.88
263,0.7,0.86,0.88
264,0.67,0.86,0.88
265,0.68,0.86,0.88
266,0.68,0.86,0.88
267,0.68,0.86,0.88
268,0.69,0.86,0.88
269,0.69,0.86,0.88
270,0.69,0.86,0.88
271,0.69,0.87,0.88
272,0.68,0.86,0.88
273,0.68,0.87,0.88
274,0.7,0.87,0.88
275,0.68,0.86,0.88
276,0.7,0.86,0.88
277,0.7,0.86,0.88
278,0.7,0.86,0.88
279,0.7,0.86,0.88
280,0.7,0.86,0.88
281,0.68,0.87,0.88
282,0.7,0.86,0.88
283,0.69,0.87,0.88
284,0.72,0.86,0.88
285,0.7,0.86,0.88
286,0.7,0.87,0.88
287,0.7,0.86,0.88
288,0.68,0.86,0.88
289,0.7,0.87,0.88
290,0.69,0.86,0.88
291,0.7,0.86,0.88
292,0.7,0.87,0.88
293,0.7,0.87,0.88
294,0.69,0.87,0.88
295,0.71,0.87,0.88
296,0.68,0.87,0.88
297,0.7,0.86,0.88
298,0.7,0.86,0.88
299,0.69,0.87,0.88
300,0.7,0.87,0.88
301,0.68,0.87,0.88
302,0.69,0.87,0.88
303,0.69,0.87,0.88
304,0.7,0.86,0.88
305,0.7,0.87,0.88
306,0.68,0.87,0.88
307,0.69,0.87,0.88
308,0.68,0.87,0.88
309,0.69,0.87,0.88
310,0.7,0.87,0.88
311,0.7,0.87,0.88
312,0.69,0.87,0.88
313,0.69,0.87,0.88
314,0.68,0.87,0.88
315,0.68,0.87,0.88
316,0.69,0.87,0.88
317,0.69,0.87,0.88
318,0.7,0.87,0.88
319,0.7,0.87,0.88
320,0.7,0.87,0.88
321,0.7,0.87,0.88
322,0.7,0.87,0.88
323,0.7,0.87,0.88
324,0.7,0.87,0.88
325,0.7,0.87,0.88
326,0.7,0.87,0.88
327,0.71,0.87,0.88
328,0.7,0.87,0.88
329,0.71,0.87,0.88
330,0.7,0.87,0.88
331,0.68,0.87,0.88
332,0.7,0.86,0.88
333,0.7,0.87,0.88
334,0.7,0.86,0.88
335,0.7,0.87,0.88
336,0.68,0.87,0.88
337,0.69,0.87,0.88
338,0.69,0.87,0.88
339,0.7,0.87,0.88
340,0.69,0.87,0.88
341,0.65,0.87,0.88
342,0.67,0.87,0.88
343,0.66,0.87,0.88
344,0.62,0.87,0.88
345,0.63,0.87,0.88
346,0.65,0.87,0.88
347,0.64,0.87,0.88
348,0.65,0.87,0.88
349,0.64,0.87,0.88
350,0.65,0.87,0.88
351,0.66,0.87,0.88
352,0.66,0.87,0.88
353,0.68,0.87,0.88
354,0.65,0.87,0.88
355,0.64,0.87,0.88
356,0.66,0.87,0.88
357,0.67,0.87,0.88
358,0.66,0.87,0.88
359,0.64,0.87,0.88
360,0.68,0.87,0.88
361,0.68,0.87,0.88
362,0.65,0.87,0.88
363,0.66,0.87,0.88
364,0.66,0.87,0.88
365,0.67,0.87,0.88
366,0.67,0.88,0.88
367,0.68,0.87,0.88
368,0.68,0.87,0.88
369,0.67,0.87,0.88
370,0.68,0.87,0.88
371,0.68,0.88,0.88
372,0.66,0.87,0.88
373,0.67,0.87,0.88
374,0.66,0.87,0.88
375,0.66,0.87,0.88
376,0.68,0.87,0.88
377,0.65,0.87,0.88
378,0.66,0.88,0.88
379,0.67,0.87,0.88
380,0.68,0.88,0.88
381,0.65,0.88,0.88
382,0.65,0.88,0.88
383,0.66,0.88,0.88
384,0.66,0.87,0.88
385,0.66,0.88,0.88
386,0.67,0.88,0.88
387,0.67,0.87,0.88
388,0.66,0.88,0.88
389,0.62,0.88,0.88
390,0.7,0.88,0.88
391,0.7,0.88,0.88
392,0.7,0.88,0.88
393,0.7,0.87,0.88
394,0.7,0.87,0.88
395,0.7,0.87,0.88
396,0.71,0.87,0.88
397,0.7,0.87,0.88
398,0.71,0.87,0.88
399,0.7,0.87,0.88
400,0.7,0.88,0.88
401,0.71,0.87,0.88
402,0.7,0.87,0.88
403,0.7,0.87,0.88
404,0.71,0.87,0.88
405,0.7,0.87,0.88
406,0.7,0.87,0.88
407,0.71,0.87,0.88
408,0.71,0.87,0.88
409,0.7,0.87,0.88
410,0.71,0.88,0.88
411,0.71,0.87,0.88
412,0.71,0.87,0.88
413,0.71,0.87,0.88
414,0.71,0.88,0.88
415,0.7,0.87,0.88
416,0.7,0.88,0.88
417,0.7,0.87,0.88
418,0.71,0.88,0.88
419,0.7,0.88,0.88
420,0.71,0.88,0.88
421,0.7,0.87,0.88
422,0.71,0.87,0.88
423,0.7,0.87,0.88
424,0.71,0.87,0.88
425,0.71,0.87,0.88
426,0.7,0.87,0.88
427,0.71,0.88,0.88
428,0.71,0.87,0.88
429,0.7,0.87,0.88
430,0.72,0.88,0.88
431,0.71,0.87,0.88
432,0.7,0.87,0.88
433,0.7,0.88,0.88
434,0.7,0.88,0.88
435,0.71,0.87,0.88
436,0.7,0.87,0.88
