Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
1,0.12,0.9,0.95,0.9,0.56,0.64,0.6514,0.2491,0.5476,0.22,0.69,0.76
2,0.12,0.9,0.95,0.9,0.56,0.64,0.6514,0.2491,0.5476,0.22,0.69,0.76
3,0.12,0.92,0.93,0.91,0.53,0.66,0.6467,0.2502,0.5503,0.22,0.67,0.77
4,0.16,0.9,0.93,0.83,0.59,0.8,0.7538,0.2908,0.5724,0.27,0.71,0.86
5,0.16,0.91,0.92,0.78,0.62,0.83,0.7783,0.2862,0.6026,0.27,0.74,0.88
6,0.16,0.91,0.92,0.78,0.62,0.83,0.7783,0.2862,0.6026,0.27,0.74,0.88
7,0.16,0.91,0.92,0.74,0.62,0.84,0.778,0.2693,0.6009,0.26,0.74,0.88
8,0.17,0.9,0.92,0.73,0.63,0.84,0.7768,0.2766,0.6014,0.27,0.74,0.88
9,0.17,0.9,0.91,0.72,0.63,0.84,0.7746,0.2744,0.6042,0.27,0.74,0.88
10,0.19,0.9,0.92,0.75,0.68,0.84,0.7775,0.3192,0.639,0.31,0.78,0.88
11,0.2,0.9,0.91,0.75,0.69,0.84,0.7758,0.3255,0.6403,0.32,0.78,0.88
12,0.21,0.9,0.91,0.72,0.7,0.85,0.7756,0.3253,0.6511,0.32,0.79,0.88
13,0.21,0.9,0.91,0.7,0.72,0.85,0.7761,0.3262,0.666,0.33,0.8,0.88
14,0.21,0.9,0.91,0.7,0.72,0.85,0.7796,0.327,0.6638,0.33,0.8,0.88
15,0.24,0.9,0.91,0.74,0.74,0.86,0.7859,0.3691,0.6753,0.36,0.81,0.88
16,0.24,0.9,0.91,0.73,0.74,0.85,0.7809,0.3623,0.6766,0.36,0.81,0.88
17,0.24,0.89,0.91,0.74,0.73,0.86,0.7867,0.3659,0.664,0.36,0.8,0.88
18,0.24,0.89,0.91,0.74,0.73,0.86,0.7867,0.3659,0.664,0.36,0.8,0.88
19,0.24,0.89,0.91,0.74,0.73,0.86,0.7874,0.368,0.6695,0.36,0.81,0.88
20,0.23,0.88,0.91,0.66,0.74,0.85,0.7775,0.3303,0.6652,0.34,0.81,0.88
21,0.22,0.88,0.91,0.62,0.74,0.85,0.7773,0.3135,0.6644,0.33,0.81,0.88
22,0.22,0.87,0.9,0.61,0.74,0.85,0.7751,0.3068,0.6577,0.32,0.8,0.88
23,0.22,0.87,0.9,0.61,0.74,0.85,0.7751,0.3068,0.6577,0.32,0.8,0.88
24,0.21,0.88,0.9,0.6,0.74,0.85,0.7722,0.2986,0.6614,0.31,0.8,0.88
25,0.23,0.88,0.91,0.62,0.76,0.86,0.7824,0.3261,0.6758,0.34,0.82,0.88
26,0.23,0.88,0.91,0.61,0.76,0.86,0.7852,0.3173,0.6755,0.33,0.82,0.88
