Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
1,0.12,0.9,0.95,0.9,0.56,0.64,0.6514,0.2491,0.5476,0.22,0.69,0.76,0.8620226114823216,0.12077374103354124,0.8287636898227329
2,0.12,0.9,0.95,0.9,0.56,0.64,0.6514,0.2491,0.5476,0.22,0.69,0.76,0.8620226114823216,0.12077374103354124,0.8287636898227329
3,0.12,0.92,0.93,0.91,0.53,0.66,0.6467,0.2502,0.5503,0.22,0.67,0.77,0.8617061299780493,0.1203527891330346,0.8180530862112625
4,0.16,0.9,0.93,0.83,0.59,0.8,0.7538,0.2908,0.5724,0.27,0.71,0.86,0.9414860406974622,0.18146450564453998,0.9083279743257882
5,0.16,0.91,0.92,0.78,0.62,0.83,0.7783,0.2862,0.6026,0.27,0.74,0.88,0.9461682012030617,0.16134209485741718,0.9058468500165973
6,0.16,0.91,0.92,0.78,0.62,0.83,0.7783,0.2862,0.6026,0.27,0.74,0.88,0.9461682012030617,0.16134209485741718,0.9058468500165973
7,0.16,0.91,0.92,0.74,0.62,0.84,0.778,0.2693,0.6009,0.26,0.74,0.88,0.945645669299215,0.16159077777490077,0.902888421139251
8,0.17,0.9,0.92,0.73,0.63,0.84,0.7768,0.2766,0.6014,0.27,0.74,0.88,0.9447623424637419,0.15794359602995178,0.9030990798947508
9,0.17,0.9,0.91,0.72,0.63,0.84,0.7746,0.2744,0.6042,0.27,0.74,0.88,0.9445809610040253,0.16093891780642494,0.9041988469507806
10,0.19,0.9,0.92,0.75,0.68,0.84,0.7775,0.3192,0.639,0.31,0.78,0.88,0.944954904860367,0.24179620196503307,0.9073753541394494
11,0.2,0.9,0.91,0.75,0.69,0.84,0.7758,0.3255,0.6403,0.32,0.78,0.88,0.9446875614112868,0.24660956900411138,0.9102403810315258
12,0.21,0.9,0.91,0.72,0.7,0.85,0.7756,0.3253,0.6511,0.32,0.79,0.88,0.9463493509361549,0.21783613668103527,0.9103503628034741
13,0.21,0.9,0.91,0.7,0.72,0.85,0.7761,0.3262,0.666,0.33,0.8,0.88,0.9456647277200064,0.22403283354529863,0.9096800005728725
14,0.21,0.9,0.91,0.7,0.72,0.85,0.7796,0.327,0.6638,0.33,0.8,0.88,0.9456446323917411,0.2028126733603021,0.9074824198024145
15,0.24,0.9,0.91,0.74,0.74,0.86,0.7859,0.3691,0.6753,0.36,0.81,0.88,0.9484264251475941,0.25664354240078363,0.9103895209313024
16,0.24,0.9,0.91,0.73,0.74,0.85,0.7809,0.3623,0.6766,0.36,0.81,0.88,0.9479131742715998,0.27922756241872326,0.9122893173632487
17,0.24,0.89,0.91,0.74,0.73,0.86,0.7867,0.3659,0.664,0.36,0.8,0.88,0.9479114551630293,0.27056687991150835,0.9104471441871271
18,0.24,0.89,0.91,0.74,0.73,0.86,0.7867,0.3659,0.664,0.36,0.8,0.88,0.9479114551630293,0.27056687991150835,0.9104471441871271
19,0.24,0.89,0.91,0.74,0.73,0.86,0.7874,0.368,0.6695,0.36,0.81,0.88,0.9473650267042145,0.2608865051177142,0.9100252032547196
20,0.23,0.88,0.91,0.66,0.74,0.85,0.7775,0.3303,0.6652,0.34,0.81,0.88,0.9480776873476175,0.18451338645966295,0.9084116964648675
21,0.22,0.88,0.91,0.62,0.74,0.85,0.7773,0.3135,0.6644,0.33,0.81,0.88,0.9475712032871662,0.18050970601019078,0.9090086982255925
22,0.22,0.87,0.9,0.61,0.74,0.85,0.7751,0.3068,0.6577,0.32,0.8,0.88,0.9474670266371984,0.18375839710558203,0.9094135178305253
23,0.22,0.87,0.9,0.61,0.74,0.85,0.7751,0.3068,0.6577,0.32,0.8,0.88,0.9474670266371984,0.18375839710558203,0.9094135178305253
24,0.21,0.88,0.9,0.6,0.74,0.85,0.7722,0.2986,0.6614,0.31,0.8,0.88,0.9473717600713065,0.18108714551636498,0.9093227926226675
25,0.23,0.88,0.91,0.62,0.76,0.86,0.7824,0.3261,0.6758,0.34,0.82,0.88,0.9494519335141902,0.1882449811490659,0.9097655204375156
26,0.23,0.88,0.91,0.61,0.76,0.86,0.7852,0.3173,0.6755,0.33,0.82,0.88,0.9494233252218885,0.19797853526480452,0.9104107885842323
27,0.24,0.87,0.91,0.64,0.76,0.86,0.7893,0.3386,0.6674,0.35,0.81,0.89,0.9493150763961629,0.23628787821425237,0.911600474495182
28,0.24,0.87,0.92,0.64,0.76,0.86,0.7937,0.341,0.6755,0.35,0.82,0.89,0.9509821264862036,0.24083232009180447,0.9110979844255733
29,0.25,0.88,0.91,0.67,0.76,0.86,0.7937,0.3617,0.675,0.37,0.82,0.89,0.9508978677060086,0.23925970471249042,0.9112689347768808
30,0.26,0.88,0.91,0.67,0.77,0.86,0.7922,0.366,0.6784,0.37,0.82,0.89,0.9515919927004639,0.27445711442814535,0.9139376103194542
31,0.26,0.88,0.92,0.67,0.77,0.86,0.7951,0.366,0.6782,0.37,0.82,0.89,0.9520252754378687,0.2673261361135283,0.9139529906881416
32,0.26,0.88,0.92,0.67,0.77,0.86,0.7951,0.366,0.6782,0.37,0.82,0.89,0.9520252754378687,0.2673261361135283,0.9139529906881416
33,0.29,0.88,0.92,0.72,0.78,0.87,0.7972,0.4094,0.7006,0.41,0.83,0.89,0.9519474664154373,0.36572561103754475,0.9155395203114447
34,0.29,0.89,0.91,0.7,0.79,0.87,0.7948,0.4062,0.7047,0.41,0.83,0.89,0.951768636691666,0.308323323963711,0.9171377329278503
35,0.29,0.88,0.91,0.68,0.79,0.87,0.7977,0.4005,0.7023,0.41,0.83,0.89,0.9517907896644353,0.3055940098617392,0.919590850854131
36,0.29,0.88,0.91,0.67,0.79,0.87,0.799,0.3961,0.7014,0.41,0.83,0.89,0.9516192450284158,0.30019296631533415,0.9202143622415584
37,0.32,0.89,0.91,0.73,0.79,0.87,0.8012,0.4382,0.71,0.44,0.84,0.89,0.9519343437155963,0.32675759974692786,0.920387471080474
38,0.31,0.89,0.91,0.72,0.79,0.87,0.8005,0.4319,0.708,0.44,0.84,0.89,0.9515730620241842,0.36065831032076734,0.9220459111535758
