Model,GOF F1,LOF F1,Neutral F1
414,0.6,0.88,0.9
458,0.6,0.88,0.9
411,0.59,0.88,0.9
404,0.59,0.88,0.9
390,0.59,0.88,0.9
391,0.59,0.88,0.9
418,0.59,0.88,0.9
452,0.59,0.88,0.9
451,0.59,0.88,0.9
450,0.59,0.88,0.9
398,0.59,0.87,0.9
399,0.59,0.88,0.9
447,0.59,0.88,0.9
400,0.59,0.88,0.9
401,0.59,0.88,0.9
442,0.59,0.88,0.9
438,0.59,0.88,0.9
293,0.59,0.87,0.9
435,0.59,0.88,0.9
434,0.59,0.88,0.9
433,0.59,0.88,0.9
410,0.59,0.88,0.9
430,0.59,0.88,0.9
412,0.59,0.88,0.9
428,0.59,0.88,0.9
427,0.59,0.88,0.9
413,0.59,0.88,0.9
425,0.59,0.87,0.9
422,0.59,0.88,0.9
420,0.59,0.88,0.9
463,0.59,0.88,0.9
392,0.59,0.88,0.9
494,0.59,0.88,0.9
477,0.59,0.88,0.9
305,0.59,0.87,0.9
306,0.59,0.87,0.9
480,0.59,0.88,0.9
487,0.59,0.88,0.9
491,0.59,0.88,0.9
492,0.59,0.88,0.9
318,0.59,0.87,0.9
476,0.59,0.88,0.9
472,0.59,0.88,0.9
496,0.59,0.88,0.9
497,0.59,0.88,0.9
327,0.58,0.87,0.9
408,0.58,0.88,0.9
407,0.58,0.87,0.9
329,0.58,0.87,0.9
294,0.58,0.87,0.9
322,0.58,0.87,0.9
325,0.58,0.87,0.9
409,0.58,0.88,0.9
405,0.58,0.87,0.9
320,0.58,0.87,0.9
317,0.58,0.88,0.9
415,0.58,0.88,0.9
416,0.58,0.88,0.9
316,0.58,0.87,0.9
406,0.58,0.88,0.9
403,0.58,0.88,0.9
311,0.58,0.87,0.9
393,0.58,0.88,0.9
292,0.58,0.87,0.9
289,0.58,0.87,0.9
286,0.58,0.87,0.9
299,0.58,0.87,0.9
284,0.58,0.87,0.9
300,0.58,0.87,0.9
302,0.58,0.87,0.9
303,0.58,0.87,0.9
394,0.58,0.88,0.9
310,0.58,0.88,0.9
395,0.58,0.88,0.9
396,0.58,0.87,0.9
397,0.58,0.87,0.9
304,0.58,0.87,0.9
308,0.58,0.87,0.9
309,0.58,0.87,0.9
402,0.58,0.87,0.9
295,0.58,0.87,0.9
417,0.58,0.88,0.9
499,0.58,0.88,0.9
419,0.58,0.88,0.9
479,0.58,0.88,0.9
464,0.58,0.88,0.9
421,0.58,0.88,0.9
466,0.58,0.88,0.9
467,0.58,0.88,0.9
469,0.58,0.88,0.9
470,0.58,0.88,0.9
471,0.58,0.88,0.9
474,0.58,0.88,0.9
475,0.58,0.88,0.9
478,0.58,0.88,0.9
481,0.58,0.88,0.9
460,0.58,0.88,0.9
482,0.58,0.88,0.9
483,0.58,0.88,0.9
484,0.58,0.88,0.9
485,0.58,0.88,0.9
486,0.58,0.88,0.9
488,0.58,0.88,0.9
489,0.58,0.88,0.9
490,0.58,0.88,0.9
493,0.58,0.88,0.9
495,0.58,0.88,0.9
461,0.58,0.88,0.9
313,0.58,0.87,0.9
459,0.58,0.88,0.9
432,0.58,0.88,0.9
446,0.58,0.88,0.9
449,0.58,0.88,0.9
445,0.58,0.88,0.9
454,0.58,0.88,0.9
444,0.58,0.88,0.9
443,0.58,0.88,0.9
441,0.58,0.88,0.9
455,0.58,0.88,0.9
440,0.58,0.88,0.9
439,0.58,0.88,0.9
456,0.58,0.88,0.9
448,0.58,0.88,0.9
436,0.58,0.88,0.9
437,0.58,0.88,0.9
457,0.58,0.88,0.9
424,0.58,0.88,0.9
429,0.58,0.88,0.9
423,0.58,0.87,0.9
426,0.58,0.88,0.9
431,0.58,0.87,0.9
314,0.57,0.87,0.9
315,0.57,0.87,0.9
473,0.57,0.87,0.9
498,0.57,0.88,0.9
340,0.57,0.87,0.9
328,0.57,0.87,0.9
338,0.57,0.87,0.9
335,0.57,0.87,0.9
307,0.57,0.87,0.9
321,0.57,0.87,0.9
323,0.57,0.87,0.9
324,0.57,0.87,0.9
326,0.57,0.87,0.9
319,0.57,0.87,0.9
297,0.57,0.87,0.9
298,0.57,0.87,0.9
371,0.57,0.88,0.9
386,0.57,0.88,0.9
274,0.57,0.87,0.9
