Model,Neutral MCC,GOF MCC,LOF MCC
414,0.8118,0.5784,0.7719
458,0.8081,0.5784,0.7697
430,0.8089,0.575,0.769
480,0.8081,0.575,0.7654
472,0.8103,0.574,0.7711
476,0.8075,0.5737,0.7683
392,0.8096,0.5728,0.7698
442,0.8082,0.5724,0.7655
496,0.8081,0.5724,0.7697
418,0.8082,0.5721,0.7669
422,0.809,0.5721,0.7648
413,0.8103,0.5721,0.7662
447,0.8082,0.5721,0.7654
425,0.8089,0.5721,0.7633
420,0.8125,0.5721,0.7683
400,0.8117,0.5708,0.7683
433,0.8075,0.5708,0.7683
399,0.8096,0.5708,0.7633
435,0.8089,0.5706,0.7668
404,0.8082,0.5706,0.7662
411,0.8097,0.5706,0.7662
410,0.8103,0.5706,0.7683
412,0.811,0.5706,0.7661
497,0.8081,0.5696,0.7683
451,0.8103,0.5693,0.7676
438,0.8075,0.5693,0.7676
492,0.8096,0.5693,0.7683
428,0.811,0.5691,0.7668
390,0.8076,0.568,0.7698
491,0.806,0.568,0.7669
450,0.8082,0.568,0.7676
391,0.8075,0.568,0.7683
487,0.8089,0.568,0.7697
318,0.8081,0.5677,0.7619
463,0.8067,0.5677,0.7647
452,0.8089,0.5677,0.7669
293,0.8088,0.5677,0.7597
305,0.8125,0.5677,0.7605
398,0.8089,0.5675,0.7626
427,0.8111,0.5675,0.7662
401,0.8089,0.5675,0.7668
434,0.8103,0.5664,0.7676
494,0.8096,0.5664,0.7697
477,0.806,0.5664,0.7661
436,0.8096,0.5662,0.7668
460,0.8082,0.5662,0.7654
471,0.8103,0.5662,0.769
429,0.8075,0.5662,0.7648
393,0.8103,0.5662,0.7661
403,0.811,0.5662,0.7668
395,0.8096,0.5662,0.764
455,0.8103,0.5662,0.769
431,0.8089,0.566,0.7633
306,0.8096,0.5655,0.7605
299,0.8081,0.5652,0.7619
484,0.8096,0.5649,0.7704
419,0.8111,0.5649,0.7662
439,0.8089,0.5649,0.7683
454,0.8118,0.5647,0.7697
446,0.8103,0.5647,0.7697
417,0.8076,0.5647,0.7641
456,0.8096,0.5647,0.7647
424,0.8103,0.5645,0.764
470,0.8053,0.5636,0.7641
444,0.8089,0.5636,0.7676
421,0.8103,0.5633,0.7662
441,0.8082,0.5633,0.7655
445,0.811,0.5633,0.7697
449,0.8075,0.5633,0.7662
457,0.8125,0.5633,0.7697
467,0.8096,0.5633,0.7668
310,0.8124,0.5633,0.7654
488,0.8096,0.5633,0.7683
292,0.8067,0.5633,0.7626
437,0.8103,0.5632,0.7661
443,0.8103,0.5632,0.7661
405,0.8068,0.5632,0.7626
415,0.8103,0.5632,0.7647
423,0.8089,0.5632,0.7633
490,0.8096,0.5632,0.7697
409,0.8089,0.5632,0.7647
407,0.809,0.563,0.7619
329,0.8061,0.563,0.759
408,0.8104,0.563,0.7661
284,0.8075,0.563,0.7576
482,0.8067,0.562,0.7648
303,0.8082,0.562,0.7591
313,0.811,0.562,0.7619
485,0.8082,0.562,0.7676
416,0.8097,0.5618,0.7662
475,0.8089,0.5618,0.7654
448,0.8089,0.5618,0.7654
426,0.8103,0.5618,0.7654
311,0.8096,0.5618,0.7633
320,0.8117,0.5616,0.7626
406,0.8096,0.5616,0.7647
394,0.8117,0.5616,0.7668
440,0.8089,0.5616,0.7654
396,0.8075,0.5616,0.7626
464,0.8089,0.5607,0.7704
461,0.8089,0.5605,0.7676
459,0.8096,0.5605,0.7654
309,0.8103,0.5605,0.7591
493,0.8088,0.5605,0.7676
483,0.8089,0.5603,0.7676
474,0.8096,0.5603,0.7654
322,0.806,0.5603,0.759
432,0.8124,0.5603,0.7668
397,0.809,0.5602,0.7605
478,0.8067,0.5591,0.7662
481,0.8067,0.5591,0.7647
486,0.8096,0.5591,0.769
479,0.8061,0.5589,0.764
466,0.8088,0.5589,0.7668
300,0.8103,0.5588,0.7583
402,0.8104,0.5587,0.7626
286,0.8081,0.5587,0.759
327,0.8082,0.5586,0.759
295,0.8103,0.5586,0.7569
499,0.8081,0.5576,0.7654
302,0.8131,0.5574,0.7633
317,0.8103,0.5574,0.7633
289,0.8074,0.5573,0.7619
304,0.8088,0.5572,0.7562
325,0.8097,0.5572,0.7612
308,0.8124,0.556,0.7633
