Model,GOF Precision,LOF Precision,Neutral Precision
299,0.51,0.88,0.91
487,0.51,0.88,0.92
399,0.51,0.88,0.92
306,0.51,0.87,0.92
450,0.51,0.88,0.92
400,0.51,0.88,0.92
472,0.51,0.88,0.92
392,0.51,0.88,0.92
391,0.51,0.88,0.92
390,0.51,0.88,0.92
476,0.51,0.88,0.92
491,0.51,0.88,0.91
442,0.51,0.88,0.92
458,0.51,0.88,0.91
414,0.51,0.88,0.92
496,0.51,0.88,0.91
497,0.51,0.88,0.91
433,0.51,0.88,0.92
417,0.5,0.88,0.92
421,0.5,0.88,0.92
416,0.5,0.88,0.92
419,0.5,0.88,0.92
420,0.5,0.88,0.92
415,0.5,0.88,0.92
418,0.5,0.88,0.92
499,0.5,0.88,0.91
422,0.5,0.88,0.92
423,0.5,0.88,0.92
412,0.5,0.88,0.92
425,0.5,0.88,0.92
426,0.5,0.88,0.92
427,0.5,0.88,0.92
428,0.5,0.88,0.92
429,0.5,0.88,0.92
430,0.5,0.88,0.92
431,0.5,0.88,0.92
432,0.5,0.88,0.92
413,0.5,0.88,0.92
405,0.5,0.88,0.92
411,0.5,0.88,0.92
393,0.5,0.88,0.92
376,0.5,0.88,0.92
322,0.5,0.88,0.91
318,0.5,0.88,0.91
380,0.5,0.88,0.92
317,0.5,0.88,0.92
313,0.5,0.88,0.92
311,0.5,0.88,0.92
310,0.5,0.88,0.92
388,0.5,0.87,0.91
309,0.5,0.87,0.92
308,0.5,0.88,0.92
410,0.5,0.88,0.92
395,0.5,0.88,0.92
305,0.5,0.88,0.92
398,0.5,0.88,0.92
401,0.5,0.88,0.92
403,0.5,0.88,0.92
404,0.5,0.88,0.92
436,0.5,0.88,0.92
303,0.5,0.87,0.92
302,0.5,0.88,0.92
409,0.5,0.88,0.92
434,0.5,0.88,0.92
435,0.5,0.88,0.92
466,0.5,0.88,0.91
480,0.5,0.88,0.91
292,0.5,0.88,0.91
469,0.5,0.88,0.92
470,0.5,0.88,0.91
437,0.5,0.88,0.92
471,0.5,0.88,0.92
474,0.5,0.88,0.92
475,0.5,0.88,0.92
477,0.5,0.88,0.91
478,0.5,0.88,0.91
479,0.5,0.88,0.91
481,0.5,0.88,0.91
293,0.5,0.88,0.91
482,0.5,0.88,0.91
483,0.5,0.88,0.92
484,0.5,0.88,0.92
485,0.5,0.88,0.92
486,0.5,0.88,0.92
488,0.5,0.88,0.92
489,0.5,0.88,0.92
490,0.5,0.88,0.92
492,0.5,0.88,0.92
493,0.5,0.88,0.91
467,0.5,0.88,0.92
494,0.5,0.88,0.92
464,0.5,0.88,0.92
452,0.5,0.88,0.92
438,0.5,0.88,0.92
439,0.5,0.88,0.92
441,0.5,0.88,0.92
443,0.5,0.88,0.92
444,0.5,0.88,0.92
445,0.5,0.88,0.92
446,0.5,0.88,0.92
447,0.5,0.88,0.92
448,0.5,0.88,0.92
449,0.5,0.88,0.92
451,0.5,0.88,0.92
461,0.5,0.88,0.92
455,0.5,0.88,0.92
456,0.5,0.88,0.92
463,0.5,0.88,0.91
457,0.5,0.88,0.92
459,0.5,0.88,0.92
460,0.5,0.88,0.92
454,0.5,0.88,0.92
462,0.5,0.88,0.91
240,0.49,0.87,0.91
320,0.49,0.88,0.92
286,0.49,0.88,0.91
364,0.49,0.87,0.92
325,0.49,0.88,0.92
365,0.49,0.87,0.92
329,0.49,0.88,0.92
340,0.49,0.88,0.92
369,0.49,0.88,0.92
