Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Overall MCC
1,0.6079123984457788,0.8861801450503191,0.6079123984457788,0.6945425553882667,0.8206834022470485,0.5021001455068337
2,0.6079123984457788,0.8861801450503191,0.6079123984457788,0.6945425553882667,0.8206834022470485,0.5021001455068337
3,0.6100317908866125,0.8863284694394474,0.6100317908866125,0.6961009584771692,0.8234218222642143,0.5042218116376945
4,0.7128223242670434,0.8714535168542753,0.7128223242670434,0.7661534147557537,0.8709216094755184,0.584897923853847
5,0.7548569410102437,0.854357435818591,0.7548569410102437,0.7923129440371374,0.8596264994941961,0.6129238298687789
6,0.8060755916637231,0.8679244662764237,0.8060755916637231,0.8277215534933924,0.9029118831376703,0.6817519410333999
7,0.813846697280113,0.865925812770354,0.813846697280113,0.8327254157474947,0.9001331475459463,0.6891437477733178
8,0.817732250088308,0.8593937727536274,0.817732250088308,0.8334006649204805,0.8963220298902485,0.6900913094378864
9,0.8276227481455316,0.8589974055445077,0.8276227481455316,0.8400040050860146,0.8966562676427617,0.7016020379810882
10,0.8410455669374779,0.8662922222972264,0.8410455669374779,0.8510169022939207,0.9110981307154726,0.7225256904740883
11,0.8442246555987284,0.8654413806323629,0.8442246555987284,0.8527900774787165,0.9103449290094866,0.7261917019201877
12,0.8452843518191452,0.8651970003569494,0.8452843518191452,0.8534068210058701,0.9024650837094352,0.7274183544789392
13,0.8519957612151183,0.8659075174939814,0.8519957612151183,0.8578012456927037,0.9021888134599202,0.73682538312087
14,0.8537619215824797,0.86786081089204,0.8537619215824797,0.859756043017084,0.9008734230414298,0.7398063260946115
15,0.8537619215824797,0.8595384938310356,0.8537619215824797,0.8564966001142768,0.8965173139354131,0.7359194594203269
16,0.8569410102437302,0.861684587018458,0.8569410102437302,0.8591767055879097,0.8999117091911616,0.7414321356155996
17,0.8551748498763688,0.8649006560414485,0.8551748498763688,0.8594975729491926,0.8995978868090271,0.7403778416811824
18,0.8576474743906747,0.8658982530605739,0.8576474743906747,0.8613904666678952,0.9091238182832936,0.7441350613121722
19,0.8565877781702579,0.8631979388122886,0.8565877781702579,0.8596505200028655,0.909062011783776,0.741496288360467
20,0.8685976686683151,0.878666352087869,0.8685976686683151,0.872543244351752,0.9204453392406702,0.7656502638852981
21,0.8707170611091487,0.8812373923636602,0.8707170611091487,0.8748556475167598,0.9226278765951696,0.769567107208732
22,0.8696573648887319,0.8779812460441357,0.8696573648887319,0.873023996294947,0.9206574349372588,0.7666970414416046
23,0.8685976686683151,0.8770935397000491,0.8685976686683151,0.872022775847147,0.921462433762949,0.7648808338476104
24,0.8685976686683151,0.8765820557460205,0.8685976686683151,0.8718445280767112,0.9227157005155426,0.7646410696536734
25,0.8675379724478983,0.8773988801742618,0.8675379724478983,0.8715352371761212,0.9191176777221944,0.7634186668462101
26,0.8717767573295655,0.8795226430896335,0.8717767573295655,0.8749549632576245,0.9212668081069828,0.7701954564135366
27,0.8767220063581773,0.879953389227366,0.8767220063581773,0.8781914551582646,0.921071212395434,0.7770030087697393
28,0.8795478629459554,0.8833367660071946,0.8795478629459554,0.881200831850323,0.9252883384607954,0.7825122240284221
29,0.8802543270929001,0.8835015050621652,0.8802543270929001,0.8816983586863453,0.9242975296369064,0.7835238269614505
30,0.8791946308724832,0.8812376218156323,0.8791946308724832,0.880145258715374,0.9241766745798152,0.7810229655656175
31,0.8774284705051218,0.8817335047771456,0.8774284705051218,0.879294311369715,0.9270038064609932,0.7788936225993554
32,0.8795478629459554,0.8819959483333675,0.8795478629459554,0.8806702398141764,0.927561174733424,0.7818549489046968
33,0.8869657364888732,0.8892995420561092,0.8869657364888732,0.8879946567263295,0.9319082772920508,0.7954184075879932
34,0.8788413987990109,0.8817186050819213,0.8788413987990109,0.8801602272933016,0.9273531814220044,0.7807051836308508
35,0.8827269516072059,0.884951971285235,0.8827269516072059,0.8837457532841869,0.92939117524089,0.7875538792786982
36,0.8791946308724832,0.8807124069165129,0.8791946308724832,0.8799153549442311,0.9267000337919694,0.7807707669803456
37,0.8834334157541505,0.8857609920410419,0.8834334157541505,0.8844919811471382,0.9288355749113008,0.7888948329149005
38,0.8890851289297068,0.8898856783842187,0.8890851289297068,0.8894671890038217,0.9338677434043572,0.7984931096101013
39,0.886612504415401,0.8876517526167328,0.886612504415401,0.887105158479295,0.929715932835332,0.7940644200962647
40,0.8848463440480395,0.8853790499571011,0.8848463440480395,0.885107148209972,0.9291589905069598,0.7906171356763767
41,0.8869657364888732,0.8887563649360072,0.8869657364888732,0.8877835278193337,0.9259148428927648,0.7951133482601198
42,0.8873189685623455,0.8886511307625499,0.8873189685623455,0.8879407227464546,0.9265466817087864,0.795517897570913
43,0.8890851289297068,0.8903550006502222,0.8890851289297068,0.8896843002369454,0.9261091742165708,0.7986652323754876
44,0.8859060402684564,0.8852004539994278,0.8859060402684564,0.885509633104261,0.9262655635192224,0.7919088093674094
45,0.8834334157541505,0.8823701488880689,0.8834334157541505,0.8828706494720864,0.9256632113986883,0.7873169556682847
