Model,micro_recall,macro_recall,confusion_matrix
1,0.6079,0.6966,"[[858, 424, 57], [2, 138, 12], [47, 568, 725]]"
2,0.6079,0.6966,"[[858, 424, 57], [2, 138, 12], [47, 568, 725]]"
3,0.6100,0.7000,"[[860, 419, 60], [1, 139, 12], [45, 567, 728]]"
4,0.7128,0.7355,"[[1072, 196, 71], [14, 120, 18], [78, 436, 826]]"
5,0.7549,0.7029,"[[1119, 134, 86], [28, 88, 36], [92, 318, 930]]"
6,0.8061,0.7681,"[[1210, 42, 87], [6, 103, 43], [92, 279, 969]]"
7,0.8138,0.7619,"[[1208, 42, 89], [7, 97, 48], [95, 246, 999]]"
8,0.8177,0.7530,"[[1204, 32, 103], [7, 91, 54], [98, 222, 1020]]"
9,0.8276,0.7425,"[[1210, 29, 100], [6, 82, 64], [100, 189, 1051]]"
10,0.8410,0.7597,"[[1214, 27, 98], [7, 86, 59], [95, 164, 1081]]"
11,0.8442,0.7561,"[[1213, 28, 98], [7, 83, 62], [98, 148, 1094]]"
12,0.8453,0.7549,"[[1212, 27, 100], [7, 82, 63], [97, 144, 1099]]"
13,0.8520,0.7577,"[[1214, 24, 101], [7, 81, 64], [101, 122, 1117]]"
14,0.8538,0.7492,"[[1219, 29, 91], [7, 76, 69], [98, 120, 1122]]"
15,0.8538,0.7103,"[[1220, 20, 99], [8, 56, 88], [95, 104, 1141]]"
16,0.8569,0.7243,"[[1219, 20, 100], [9, 62, 81], [100, 95, 1145]]"
17,0.8552,0.7366,"[[1223, 19, 97], [9, 69, 74], [96, 115, 1129]]"
18,0.8576,0.7345,"[[1224, 18, 97], [7, 67, 78], [93, 110, 1137]]"
19,0.8566,0.7279,"[[1220, 16, 103], [8, 64, 80], [93, 106, 1141]]"
20,0.8686,0.8025,"[[1225, 11, 103], [6, 98, 48], [96, 108, 1136]]"
21,0.8707,0.8059,"[[1224, 11, 104], [6, 99, 47], [89, 109, 1142]]"
22,0.8697,0.7993,"[[1222, 8, 109], [8, 96, 48], [93, 103, 1144]]"
23,0.8686,0.7986,"[[1220, 11, 108], [8, 96, 48], [96, 101, 1143]]"
24,0.8686,0.7966,"[[1221, 9, 109], [8, 95, 49], [96, 101, 1143]]"
25,0.8675,0.7900,"[[1226, 13, 100], [8, 92, 52], [94, 108, 1138]]"
26,0.8718,0.7969,"[[1225, 12, 102], [7, 94, 51], [94, 97, 1149]]"
27,0.8767,0.7848,"[[1224, 11, 104], [9, 86, 57], [91, 77, 1172]]"
28,0.8795,0.8024,"[[1224, 9, 106], [9, 94, 49], [91, 77, 1172]]"
29,0.8803,0.7990,"[[1227, 8, 104], [8, 92, 52], [91, 76, 1173]]"
30,0.8792,0.7866,"[[1231, 6, 102], [8, 86, 58], [93, 75, 1172]]"
31,0.8774,0.7970,"[[1228, 8, 103], [8, 92, 52], [93, 83, 1164]]"
32,0.8795,0.7907,"[[1230, 7, 102], [7, 88, 57], [93, 75, 1172]]"
33,0.8870,0.8154,"[[1234, 5, 100], [7, 98, 47], [92, 69, 1179]]"
34,0.8788,0.7844,"[[1232, 9, 98], [7, 85, 60], [91, 78, 1171]]"
35,0.8827,0.7949,"[[1234, 8, 97], [8, 89, 55], [92, 72, 1176]]"
36,0.8792,0.7808,"[[1232, 8, 99], [8, 83, 61], [94, 72, 1174]]"
37,0.8834,0.7993,"[[1232, 8, 99], [9, 91, 52], [91, 71, 1178]]"
38,0.8891,0.8091,"[[1235, 4, 100], [8, 94, 50], [91, 61, 1188]]"
39,0.8866,0.8015,"[[1231, 6, 102], [9, 91, 52], [89, 63, 1188]]"
40,0.8848,0.7867,"[[1237, 7, 95], [8, 84, 60], [91, 65, 1184]]"
41,0.8870,0.8076,"[[1236, 5, 98], [7, 94, 51], [91, 68, 1181]]"
42,0.8873,0.8079,"[[1233, 4, 102], [7, 94, 51], [90, 65, 1185]]"
43,0.8891,0.8033,"[[1237, 7, 95], [7, 91, 54], [87, 64, 1189]]"
44,0.8859,0.7855,"[[1232, 5, 102], [7, 83, 62], [91, 56, 1193]]"
45,0.8834,0.7740,"[[1236, 6, 97], [9, 78, 65], [94, 59, 1187]]"
46,0.8859,0.7894,"[[1237, 5, 97], [9, 85, 58], [92, 62, 1186]]"
47,0.8848,0.7828,"[[1236, 5, 98], [8, 82, 62], [94, 59, 1187]]"
48,0.8873,0.7884,"[[1238, 4, 97], [7, 84, 61], [96, 54, 1190]]"
49,0.8880,0.7967,"[[1240, 6, 93], [8, 88, 56], [96, 58, 1186]]"
50,0.8863,0.7838,"[[1241, 5, 93], [9, 82, 61], [96, 58, 1186]]"
51,0.8690,0.6744,"[[1233, 3, 103], [8, 32, 112], [96, 49, 1195]]"
52,0.8682,0.6544,"[[1232, 4, 103], [7, 22, 123], [93, 43, 1204]]"
53,0.8654,0.6544,"[[1229, 4, 106], [6, 23, 123], [92, 50, 1198]]"
54,0.8686,0.6430,"[[1235, 6, 98], [7, 16, 129], [94, 38, 1208]]"
55,0.8679,0.6406,"[[1234, 4, 101], [7, 15, 130], [95, 37, 1208]]"
56,0.8686,0.6391,"[[1237, 4, 98], [7, 14, 131], [95, 37, 1208]]"
57,0.8697,0.6418,"[[1238, 4, 97], [8, 15, 129], [91, 40, 1209]]"
58,0.8697,0.6438,"[[1237, 7, 95], [7, 16, 129], [93, 38, 1209]]"
59,0.8721,0.6513,"[[1238, 6, 95], [7, 19, 126], [93, 35, 1212]]"
60,0.8658,0.6371,"[[1232, 7, 100], [8, 14, 130], [95, 40, 1205]]"
61,0.8686,0.6430,"[[1233, 5, 101], [7, 16, 129], [95, 35, 1210]]"
62,0.8679,0.6425,"[[1232, 5, 102], [8, 16, 128], [94, 37, 1209]]"
63,0.8697,0.6438,"[[1232, 6, 101], [7, 16, 129], [91, 35, 1214]]"
64,0.8746,0.6511,"[[1241, 6, 92], [7, 18, 127], [88, 35, 1217]]"
65,0.8686,0.6430,"[[1233, 7, 99], [9, 16, 127], [93, 37, 1210]]"
66,0.8686,0.6489,"[[1231, 8, 100], [7, 19, 126], [92, 39, 1209]]"
67,0.8693,0.6494,"[[1235, 6, 98], [5, 19, 128], [95, 38, 1207]]"
68,0.8675,0.6442,"[[1233, 6, 100], [8, 17, 127], [97, 37, 1206]]"
69,0.8675,0.6442,"[[1230, 6, 103], [6, 17, 129], [99, 32, 1209]]"
70,0.8700,0.6499,"[[1232, 7, 100], [7, 19, 126], [94, 34, 1212]]"
71,0.8672,0.6440,"[[1231, 6, 102], [5, 17, 130], [99, 34, 1207]]"
72,0.8668,0.6457,"[[1227, 8, 104], [6, 18, 128], [95, 36, 1209]]"
73,0.8668,0.6418,"[[1233, 7, 99], [6, 16, 130], [95, 40, 1205]]"
74,0.8658,0.6410,"[[1230, 9, 100], [6, 16, 130], [98, 37, 1205]]"
75,0.8668,0.6360,"[[1229, 6, 104], [8, 13, 131], [92, 36, 1212]]"
