Model,overall_rank,avg_rank,rank_gof_mcc,rank_gof_f1,rank_gof_recall,rank_gof_precision,rank_overall_f1,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
496,1,6.777777777777778,1.0,5.0,46.0,4.0,1.0,1.0,1.0,1.0,1.0
443,2,12.222222222222221,8.0,18.0,52.0,4.0,7.0,6.0,5.0,5.0,5.0
446,3,12.88888888888889,6.0,9.0,48.0,19.0,6.0,7.0,7.0,7.0,7.0
490,4,14.0,9.0,9.0,48.0,50.0,2.0,2.0,2.0,2.0,2.0
445,5,14.11111111111111,12.0,18.0,52.0,19.0,5.0,5.0,5.0,6.0,5.0
442,6,15.0,2.0,9.0,52.0,4.0,11.0,17.0,15.0,10.0,15.0
393,7,16.0,15.0,18.0,64.0,4.0,9.0,10.0,8.0,8.0,8.0
410,8,16.333333333333332,12.0,18.0,52.0,19.0,8.0,11.0,8.0,11.0,8.0
451,9,16.444444444444443,11.0,18.0,52.0,50.0,4.0,4.0,3.0,3.0,3.0
452,10,17.11111111111111,18.0,18.0,52.0,50.0,3.0,3.0,3.0,4.0,3.0
408,11,17.444444444444443,7.0,9.0,52.0,19.0,10.0,16.0,15.0,14.0,15.0
402,12,23.22222222222222,2.0,9.0,52.0,4.0,24.0,36.0,30.0,22.0,30.0
487,13,24.0,22.0,33.0,64.0,19.0,18.0,15.0,15.0,15.0,15.0
441,14,24.88888888888889,20.0,18.0,52.0,50.0,14.0,20.0,15.0,20.0,15.0
400,15,26.77777777777778,22.0,33.0,64.0,19.0,21.0,21.0,21.0,19.0,21.0
426,16,27.666666666666668,24.0,33.0,78.0,4.0,29.0,22.0,21.0,17.0,21.0
485,17,28.0,45.0,59.0,78.0,19.0,15.0,8.0,8.0,12.0,8.0
486,18,28.11111111111111,39.0,33.0,78.0,50.0,12.0,9.0,8.0,16.0,8.0
455,19,28.88888888888889,45.0,59.0,78.0,19.0,16.0,14.0,8.0,13.0,8.0
444,20,28.88888888888889,39.0,33.0,78.0,50.0,13.0,13.0,8.0,18.0,8.0
415,21,30.666666666666668,30.0,33.0,78.0,19.0,26.0,25.0,21.0,23.0,21.0
450,22,30.666666666666668,30.0,33.0,78.0,19.0,26.0,25.0,21.0,23.0,21.0
473,23,32.55555555555556,20.0,18.0,52.0,50.0,30.0,31.0,30.0,32.0,30.0
399,24,32.888888888888886,19.0,33.0,78.0,2.0,39.0,44.0,30.0,21.0,30.0
407,25,33.55555555555556,54.0,59.0,114.0,19.0,19.0,12.0,8.0,9.0,8.0
462,26,34.77777777777778,34.0,33.0,64.0,89.0,17.0,18.0,15.0,28.0,15.0
421,27,36.0,15.0,18.0,64.0,4.0,46.0,54.0,45.0,33.0,45.0
396,28,36.0,15.0,18.0,64.0,4.0,46.0,54.0,45.0,33.0,45.0
416,29,36.0,39.0,33.0,78.0,50.0,25.0,27.0,21.0,30.0,21.0
401,30,36.333333333333336,9.0,9.0,48.0,50.0,31.0,45.0,45.0,45.0,45.0
474,31,37.666666666666664,32.0,59.0,78.0,4.0,43.0,37.0,30.0,26.0,30.0
470,32,37.888888888888886,25.0,18.0,52.0,89.0,28.0,30.0,30.0,39.0,30.0
404,33,38.0,32.0,59.0,78.0,4.0,42.0,40.0,30.0,27.0,30.0
440,34,38.77777777777778,28.0,33.0,64.0,50.0,34.0,39.0,30.0,41.0,30.0
430,35,39.111111111111114,28.0,33.0,64.0,50.0,33.0,41.0,30.0,43.0,30.0
488,36,40.22222222222222,45.0,59.0,78.0,19.0,40.0,32.0,30.0,29.0,30.0
464,37,40.77777777777778,39.0,33.0,78.0,50.0,37.0,33.0,30.0,37.0,30.0
463,38,42.77777777777778,65.0,59.0,78.0,89.0,20.0,19.0,15.0,25.0,15.0
477,39,44.22222222222222,34.0,33.0,64.0,89.0,32.0,38.0,30.0,48.0,30.0
467,40,45.111111111111114,58.0,59.0,78.0,89.0,22.0,23.0,21.0,35.0,21.0
460,41,45.44444444444444,58.0,59.0,78.0,89.0,23.0,24.0,21.0,36.0,21.0
406,42,46.22222222222222,25.0,18.0,52.0,89.0,38.0,48.0,45.0,56.0,45.0
420,43,50.111111111111114,34.0,33.0,64.0,89.0,41.0,46.0,45.0,54.0,45.0
411,44,53.333333333333336,67.0,59.0,114.0,50.0,50.0,42.0,30.0,38.0,30.0
398,45,55.0,72.0,88.0,129.0,19.0,53.0,43.0,30.0,31.0,30.0
449,46,56.44444444444444,39.0,33.0,78.0,50.0,59.0,64.0,59.0,67.0,59.0
453,47,56.77777777777778,45.0,59.0,78.0,19.0,65.0,67.0,59.0,60.0,59.0
434,48,58.666666666666664,58.0,59.0,78.0,89.0,48.0,47.0,45.0,59.0,45.0
413,49,59.55555555555556,70.0,59.0,78.0,141.0,36.0,35.0,30.0,57.0,30.0
423,50,59.666666666666664,58.0,59.0,78.0,89.0,49.0,51.0,45.0,63.0,45.0
394,51,61.55555555555556,54.0,59.0,114.0,19.0,71.0,69.0,59.0,50.0,59.0
414,52,63.111111111111114,39.0,33.0,78.0,50.0,70.0,76.0,73.0,76.0,73.0
448,53,64.88888888888889,92.0,88.0,114.0,141.0,35.0,28.0,21.0,44.0,21.0
492,54,66.0,58.0,59.0,78.0,89.0,58.0,61.0,59.0,73.0,59.0
437,55,66.44444444444444,84.0,88.0,129.0,50.0,61.0,49.0,45.0,47.0,45.0
306,56,67.0,110.0,120.0,129.0,89.0,44.0,29.0,21.0,40.0,21.0
405,57,67.11111111111111,67.0,59.0,114.0,50.0,69.0,66.0,59.0,61.0,59.0
478,58,67.88888888888889,54.0,59.0,114.0,19.0,75.0,78.0,73.0,66.0,73.0
429,59,68.33333333333333,65.0,59.0,78.0,89.0,64.0,68.0,59.0,74.0,59.0
435,60,68.77777777777777,78.0,88.0,114.0,89.0,55.0,52.0,45.0,53.0,45.0
499,61,69.66666666666667,78.0,88.0,114.0,89.0,57.0,53.0,45.0,58.0,45.0
459,62,72.44444444444444,67.0,59.0,114.0,50.0,74.0,74.0,73.0,68.0,73.0
497,63,72.88888888888889,95.0,88.0,129.0,89.0,60.0,50.0,45.0,55.0,45.0
427,64,73.44444444444444,52.0,33.0,64.0,141.0,63.0,73.0,73.0,89.0,73.0
439,65,73.55555555555556,100.0,120.0,129.0,50.0,66.0,56.0,45.0,51.0,45.0
489,66,73.88888888888889,70.0,59.0,78.0,141.0,56.0,63.0,59.0,80.0,59.0
428,67,74.88888888888889,95.0,88.0,129.0,89.0,62.0,57.0,45.0,64.0,45.0
471,68,75.55555555555556,45.0,59.0,78.0,19.0,88.0,104.0,97.0,93.0,97.0
479,69,75.55555555555556,45.0,59.0,78.0,19.0,88.0,104.0,97.0,93.0,97.0
454,70,76.11111111111111,78.0,88.0,114.0,89.0,67.0,62.0,59.0,69.0,59.0
