Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy,rank_sorted_roc
496,1,2.8,1.0,1.0,1.0,1.0,10.0
452,2,3.8,3.0,3.0,4.0,3.0,6.0
490,3,5.0,2.0,2.0,2.0,2.0,17.0
443,4,5.8,6.0,5.0,5.0,5.0,8.0
446,5,6.2,7.0,7.0,7.0,7.0,3.0
445,6,7.4,5.0,5.0,6.0,5.0,16.0
451,7,9.6,4.0,3.0,3.0,3.0,35.0
485,8,11.8,8.0,8.0,12.0,8.0,23.0
393,9,12.2,10.0,8.0,8.0,8.0,27.0
407,10,12.2,12.0,8.0,9.0,8.0,24.0
410,11,12.8,11.0,8.0,11.0,8.0,26.0
408,12,12.8,16.0,15.0,14.0,15.0,4.0
444,13,14.4,13.0,8.0,18.0,8.0,25.0
441,14,15.0,20.0,15.0,20.0,15.0,5.0
455,15,16.8,14.0,8.0,13.0,8.0,41.0
400,16,20.8,21.0,21.0,19.0,21.0,22.0
487,17,21.4,15.0,15.0,15.0,15.0,47.0
462,18,21.6,18.0,15.0,28.0,15.0,32.0
486,19,22.2,9.0,8.0,16.0,8.0,70.0
426,20,22.8,22.0,21.0,17.0,21.0,33.0
463,21,23.2,19.0,15.0,25.0,15.0,42.0
402,22,23.8,36.0,30.0,22.0,30.0,1.0
442,23,24.6,17.0,15.0,10.0,15.0,66.0
460,24,26.0,24.0,21.0,36.0,21.0,28.0
416,25,26.6,27.0,21.0,30.0,21.0,34.0
399,26,26.8,44.0,30.0,21.0,30.0,9.0
450,27,28.4,25.0,21.0,23.0,21.0,52.0
415,28,30.2,25.0,21.0,23.0,21.0,61.0
477,29,32.8,38.0,30.0,48.0,30.0,18.0
467,30,33.0,23.0,21.0,35.0,21.0,65.0
430,31,33.0,41.0,30.0,43.0,30.0,21.0
470,32,33.2,30.0,30.0,39.0,30.0,37.0
473,33,34.4,31.0,30.0,32.0,30.0,49.0
411,34,35.8,42.0,30.0,38.0,30.0,39.0
440,35,36.0,39.0,30.0,41.0,30.0,40.0
401,36,36.4,45.0,45.0,45.0,45.0,2.0
474,37,37.0,37.0,30.0,26.0,30.0,62.0
488,38,39.0,32.0,30.0,29.0,30.0,74.0
464,39,41.0,33.0,30.0,37.0,30.0,75.0
448,40,41.6,28.0,21.0,44.0,21.0,94.0
406,41,41.8,48.0,45.0,56.0,45.0,15.0
413,42,44.0,35.0,30.0,57.0,30.0,68.0
404,43,44.6,40.0,30.0,27.0,30.0,96.0
428,44,44.6,57.0,45.0,64.0,45.0,12.0
421,45,45.4,54.0,45.0,33.0,45.0,50.0
396,46,46.0,54.0,45.0,33.0,45.0,53.0
437,47,46.0,49.0,45.0,47.0,45.0,44.0
499,48,46.2,53.0,45.0,58.0,45.0,30.0
398,49,46.2,43.0,30.0,31.0,30.0,97.0
423,50,46.6,51.0,45.0,63.0,45.0,29.0
435,51,48.6,52.0,45.0,53.0,45.0,48.0
394,52,50.2,69.0,59.0,50.0,59.0,14.0
434,53,51.2,47.0,45.0,59.0,45.0,60.0
306,54,51.4,29.0,21.0,40.0,21.0,146.0
420,55,51.4,46.0,45.0,54.0,45.0,67.0
476,56,52.4,34.0,30.0,52.0,30.0,116.0
429,57,56.0,68.0,59.0,74.0,59.0,20.0
454,58,56.0,62.0,59.0,69.0,59.0,31.0
422,59,56.2,60.0,59.0,90.0,59.0,13.0
439,60,60.0,56.0,45.0,51.0,45.0,103.0
489,61,61.2,63.0,59.0,80.0,59.0,45.0
497,62,61.4,50.0,45.0,55.0,45.0,112.0
405,63,61.6,66.0,59.0,61.0,59.0,63.0
427,64,63.8,73.0,73.0,89.0,73.0,11.0
301,65,64.2,58.0,45.0,42.0,45.0,131.0
453,66,65.6,67.0,59.0,60.0,59.0,83.0
492,67,68.4,61.0,59.0,73.0,59.0,90.0
478,68,69.6,78.0,73.0,66.0,73.0,58.0
449,69,69.8,64.0,59.0,67.0,59.0,100.0
414,70,70.6,76.0,73.0,76.0,73.0,55.0
387,71,71.2,59.0,59.0,62.0,59.0,117.0
392,72,71.8,70.0,59.0,78.0,59.0,93.0
397,73,72.2,65.0,59.0,72.0,59.0,106.0
498,74,73.0,83.0,73.0,79.0,73.0,57.0
305,75,73.4,71.0,59.0,46.0,59.0,132.0
483,76,73.8,77.0,73.0,87.0,73.0,59.0
459,77,74.4,74.0,73.0,68.0,73.0,84.0
395,78,76.4,80.0,73.0,83.0,73.0,73.0
456,79,78.6,81.0,73.0,71.0,73.0,95.0
447,80,78.8,75.0,73.0,86.0,73.0,87.0
412,81,80.4,87.0,87.0,98.0,87.0,43.0
285,82,80.6,72.0,59.0,49.0,59.0,164.0
491,83,81.0,97.0,97.0,107.0,97.0,7.0
494,84,81.2,90.0,87.0,96.0,87.0,46.0
303,85,83.4,82.0,73.0,75.0,73.0,114.0
479,86,85.8,104.0,97.0,93.0,97.0,38.0
302,87,88.2,84.0,73.0,81.0,73.0,130.0
465,88,88.6,88.0,87.0,112.0,87.0,69.0
472,89,88.8,98.0,97.0,101.0,97.0,51.0
299,90,89.4,84.0,73.0,81.0,73.0,136.0
471,91,89.4,104.0,97.0,93.0,97.0,56.0
436,92,91.2,93.0,87.0,91.0,87.0,98.0
343,93,91.6,79.0,73.0,88.0,73.0,145.0
495,94,92.0,101.0,97.0,111.0,97.0,54.0
300,95,92.0,94.0,87.0,77.0,87.0,115.0
438,96,92.6,99.0,97.0,85.0,97.0,85.0
458,97,96.0,103.0,97.0,106.0,97.0,77.0
291,98,96.2,86.0,73.0,65.0,73.0,184.0
374,99,98.0,91.0,87.0,100.0,87.0,125.0
371,100,98.4,92.0,87.0,99.0,87.0,127.0
468,101,100.2,100.0,97.0,102.0,97.0,105.0
409,102,100.4,110.0,97.0,119.0,97.0,79.0
432,103,100.6,102.0,97.0,105.0,97.0,102.0
391,104,102.8,113.0,97.0,103.0,97.0,104.0
366,105,103.4,106.0,97.0,97.0,97.0,120.0
367,106,105.2,89.0,87.0,109.0,87.0,154.0
433,107,109.2,117.0,116.0,125.0,116.0,72.0
424,108,110.0,119.0,116.0,117.0,116.0,82.0
281,109,111.2,96.0,87.0,84.0,87.0,202.0
417,110,114.0,116.0,116.0,131.0,116.0,91.0
350,111,114.6,109.0,97.0,108.0,97.0,162.0
248,112,114.6,115.0,97.0,70.0,97.0,194.0
373,113,115.2,108.0,97.0,114.0,97.0,160.0
353,114,115.4,107.0,97.0,113.0,97.0,163.0
431,115,116.4,134.0,126.0,120.0,126.0,76.0
480,116,116.6,127.0,126.0,140.0,126.0,64.0
403,117,116.6,130.0,126.0,130.0,126.0,71.0
461,118,117.4,143.0,141.0,143.0,141.0,19.0
267,119,119.0,112.0,97.0,92.0,97.0,197.0
469,120,119.6,121.0,116.0,126.0,116.0,119.0
340,121,121.2,128.0,126.0,115.0,126.0,111.0
359,122,123.2,133.0,126.0,118.0,126.0,113.0
292,123,123.4,95.0,87.0,127.0,87.0,221.0
314,124,123.8,111.0,97.0,123.0,97.0,191.0
363,125,124.8,120.0,116.0,122.0,116.0,150.0
315,126,125.0,118.0,116.0,128.0,116.0,147.0
298,127,126.2,125.0,116.0,95.0,116.0,179.0
482,128,127.4,137.0,126.0,139.0,126.0,109.0
419,129,128.2,146.0,141.0,133.0,141.0,80.0
328,130,128.6,136.0,126.0,145.0,126.0,110.0
377,131,129.2,126.0,126.0,129.0,126.0,139.0
370,132,130.0,128.0,126.0,132.0,126.0,138.0
381,133,130.2,122.0,116.0,110.0,116.0,187.0
385,134,130.8,132.0,126.0,148.0,126.0,122.0
390,135,131.0,141.0,141.0,154.0,141.0,78.0
279,136,132.0,114.0,97.0,116.0,97.0,236.0
457,137,132.4,142.0,141.0,157.0,141.0,81.0
258,138,133.8,124.0,116.0,124.0,116.0,189.0
493,139,134.6,152.0,141.0,153.0,141.0,86.0
362,140,139.0,131.0,126.0,135.0,126.0,177.0
481,141,139.2,150.0,141.0,156.0,141.0,108.0
338,142,139.8,144.0,141.0,149.0,141.0,124.0
345,143,140.8,138.0,126.0,141.0,126.0,173.0
271,144,142.0,135.0,126.0,104.0,126.0,219.0
466,145,142.2,155.0,153.0,161.0,153.0,89.0
276,146,142.2,123.0,116.0,134.0,116.0,222.0
389,147,142.8,161.0,153.0,146.0,153.0,101.0
418,148,143.8,158.0,153.0,167.0,153.0,88.0
318,149,144.8,145.0,141.0,138.0,141.0,159.0
289,150,145.4,139.0,126.0,136.0,126.0,200.0
344,151,146.8,149.0,141.0,163.0,141.0,140.0
316,152,148.6,147.0,141.0,144.0,141.0,170.0
425,153,148.8,184.0,179.0,166.0,179.0,36.0
319,154,149.0,148.0,141.0,150.0,141.0,165.0
329,155,149.4,153.0,153.0,160.0,153.0,128.0
484,156,149.6,168.0,163.0,162.0,163.0,92.0
348,157,150.4,157.0,153.0,155.0,153.0,134.0
347,158,150.4,139.0,126.0,151.0,126.0,210.0
354,159,151.4,166.0,163.0,158.0,163.0,107.0
384,160,154.4,156.0,153.0,169.0,153.0,141.0
327,161,157.6,163.0,163.0,181.0,163.0,118.0
361,162,160.6,170.0,163.0,164.0,163.0,143.0
294,163,161.2,159.0,153.0,142.0,153.0,199.0
322,164,161.2,167.0,163.0,178.0,163.0,135.0
321,165,162.2,154.0,153.0,180.0,153.0,171.0
332,166,163.8,172.0,163.0,179.0,163.0,142.0
325,167,163.8,174.0,163.0,193.0,163.0,126.0
375,168,164.0,164.0,163.0,173.0,163.0,157.0
286,169,164.6,151.0,141.0,147.0,141.0,243.0
323,170,165.2,169.0,163.0,187.0,163.0,144.0
378,171,168.2,171.0,163.0,188.0,163.0,156.0
