Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
496,1,1.0,1.0,1.0,1.0,1.0
490,2,2.0,2.0,2.0,2.0,2.0
452,3,3.25,3.0,3.0,4.0,3.0
451,4,3.25,4.0,3.0,3.0,3.0
445,5,5.25,5.0,5.0,6.0,5.0
443,6,5.25,6.0,5.0,5.0,5.0
446,7,7.0,7.0,7.0,7.0,7.0
393,8,8.5,10.0,8.0,8.0,8.0
485,9,9.0,8.0,8.0,12.0,8.0
407,10,9.25,12.0,8.0,9.0,8.0
410,11,9.5,11.0,8.0,11.0,8.0
486,12,10.25,9.0,8.0,16.0,8.0
455,13,10.75,14.0,8.0,13.0,8.0
444,14,11.75,13.0,8.0,18.0,8.0
442,15,14.25,17.0,15.0,10.0,15.0
408,16,15.0,16.0,15.0,14.0,15.0
487,17,15.0,15.0,15.0,15.0,15.0
441,18,17.5,20.0,15.0,20.0,15.0
463,19,18.5,19.0,15.0,25.0,15.0
462,20,19.0,18.0,15.0,28.0,15.0
426,21,20.25,22.0,21.0,17.0,21.0
400,22,20.5,21.0,21.0,19.0,21.0
415,23,22.5,25.0,21.0,23.0,21.0
450,24,22.5,25.0,21.0,23.0,21.0
416,25,24.75,27.0,21.0,30.0,21.0
467,26,25.0,23.0,21.0,35.0,21.0
460,27,25.5,24.0,21.0,36.0,21.0
306,28,27.75,29.0,21.0,40.0,21.0
448,29,28.5,28.0,21.0,44.0,21.0
402,30,29.5,36.0,30.0,22.0,30.0
488,31,30.25,32.0,30.0,29.0,30.0
474,32,30.75,37.0,30.0,26.0,30.0
473,33,30.75,31.0,30.0,32.0,30.0
399,34,31.25,44.0,30.0,21.0,30.0
404,35,31.75,40.0,30.0,27.0,30.0
470,36,32.25,30.0,30.0,39.0,30.0
464,37,32.5,33.0,30.0,37.0,30.0
398,38,33.5,43.0,30.0,31.0,30.0
440,39,35.0,39.0,30.0,41.0,30.0
411,40,35.0,42.0,30.0,38.0,30.0
430,41,36.0,41.0,30.0,43.0,30.0
477,42,36.5,38.0,30.0,48.0,30.0
476,43,36.5,34.0,30.0,52.0,30.0
413,44,38.0,35.0,30.0,57.0,30.0
421,45,44.25,54.0,45.0,33.0,45.0
396,46,44.25,54.0,45.0,33.0,45.0
401,47,45.0,45.0,45.0,45.0,45.0
437,48,46.5,49.0,45.0,47.0,45.0
420,49,47.5,46.0,45.0,54.0,45.0
301,50,47.5,58.0,45.0,42.0,45.0
406,51,48.5,48.0,45.0,56.0,45.0
497,52,48.75,50.0,45.0,55.0,45.0
435,53,48.75,52.0,45.0,53.0,45.0
434,54,49.0,47.0,45.0,59.0,45.0
439,55,49.25,56.0,45.0,51.0,45.0
499,56,50.25,53.0,45.0,58.0,45.0
423,57,51.0,51.0,45.0,63.0,45.0
428,58,52.75,57.0,45.0,64.0,45.0
305,59,58.75,71.0,59.0,46.0,59.0
394,60,59.25,69.0,59.0,50.0,59.0
387,61,59.75,59.0,59.0,62.0,59.0
285,62,59.75,72.0,59.0,49.0,59.0
453,63,61.25,67.0,59.0,60.0,59.0
405,64,61.25,66.0,59.0,61.0,59.0
449,65,62.25,64.0,59.0,67.0,59.0
454,66,62.25,62.0,59.0,69.0,59.0
492,67,63.0,61.0,59.0,73.0,59.0
397,68,63.75,65.0,59.0,72.0,59.0
429,69,65.0,68.0,59.0,74.0,59.0
489,70,65.25,63.0,59.0,80.0,59.0
392,71,66.5,70.0,59.0,78.0,59.0
422,72,67.0,60.0,59.0,90.0,59.0
459,73,72.0,74.0,73.0,68.0,73.0
478,74,72.5,78.0,73.0,66.0,73.0
291,75,74.25,86.0,73.0,65.0,73.0
414,76,74.5,76.0,73.0,76.0,73.0
456,77,74.5,81.0,73.0,71.0,73.0
303,78,75.75,82.0,73.0,75.0,73.0
447,79,76.75,75.0,73.0,86.0,73.0
498,80,77.0,83.0,73.0,79.0,73.0
427,81,77.0,73.0,73.0,89.0,73.0
395,82,77.25,80.0,73.0,83.0,73.0
483,83,77.5,77.0,73.0,87.0,73.0
299,84,77.75,84.0,73.0,81.0,73.0
302,85,77.75,84.0,73.0,81.0,73.0
343,86,78.25,79.0,73.0,88.0,73.0
300,87,86.25,94.0,87.0,77.0,87.0
281,88,88.5,96.0,87.0,84.0,87.0
436,89,89.5,93.0,87.0,91.0,87.0
412,90,89.75,87.0,87.0,98.0,87.0
494,91,90.0,90.0,87.0,96.0,87.0
374,92,91.25,91.0,87.0,100.0,87.0
371,93,91.25,92.0,87.0,99.0,87.0
367,94,93.0,89.0,87.0,109.0,87.0
465,95,93.5,88.0,87.0,112.0,87.0
438,96,94.5,99.0,97.0,85.0,97.0
248,97,94.75,115.0,97.0,70.0,97.0
479,98,97.75,104.0,97.0,93.0,97.0
471,99,97.75,104.0,97.0,93.0,97.0
472,100,98.25,98.0,97.0,101.0,97.0
292,101,99.0,95.0,87.0,127.0,87.0
468,102,99.0,100.0,97.0,102.0,97.0
366,103,99.25,106.0,97.0,97.0,97.0
491,104,99.5,97.0,97.0,107.0,97.0
267,105,99.5,112.0,97.0,92.0,97.0
432,106,100.25,102.0,97.0,105.0,97.0
458,107,100.75,103.0,97.0,106.0,97.0
495,108,101.5,101.0,97.0,111.0,97.0
391,109,102.5,113.0,97.0,103.0,97.0
350,110,102.75,109.0,97.0,108.0,97.0
353,111,103.5,107.0,97.0,113.0,97.0
373,112,104.0,108.0,97.0,114.0,97.0
409,113,105.75,110.0,97.0,119.0,97.0
279,114,106.0,114.0,97.0,116.0,97.0
314,115,107.0,111.0,97.0,123.0,97.0
298,116,113.0,125.0,116.0,95.0,116.0
381,117,116.0,122.0,116.0,110.0,116.0
424,118,117.0,119.0,116.0,117.0,116.0
433,119,118.5,117.0,116.0,125.0,116.0
363,120,118.5,120.0,116.0,122.0,116.0
315,121,119.5,118.0,116.0,128.0,116.0
469,122,119.75,121.0,116.0,126.0,116.0
417,123,119.75,116.0,116.0,131.0,116.0
258,124,120.0,124.0,116.0,124.0,116.0
276,125,122.25,123.0,116.0,134.0,116.0
271,126,122.75,135.0,126.0,104.0,126.0
340,127,123.75,128.0,126.0,115.0,126.0
359,128,125.75,133.0,126.0,118.0,126.0
431,129,126.5,134.0,126.0,120.0,126.0
377,130,126.75,126.0,126.0,129.0,126.0
403,131,128.0,130.0,126.0,130.0,126.0
370,132,128.0,128.0,126.0,132.0,126.0
362,133,129.5,131.0,126.0,135.0,126.0
480,134,129.75,127.0,126.0,140.0,126.0
289,135,131.75,139.0,126.0,136.0,126.0
482,136,132.0,137.0,126.0,139.0,126.0
345,137,132.75,138.0,126.0,141.0,126.0
385,138,133.0,132.0,126.0,148.0,126.0
328,139,133.25,136.0,126.0,145.0,126.0
