Model,Neutral MCC,GOF MCC,LOF MCC
1,0.6505,0.2474,0.5499
2,0.6505,0.2474,0.5499
3,0.6544,0.2517,0.5489
4,0.7498,0.2825,0.5943
5,0.7601,0.2354,0.6325
6,0.8392,0.3523,0.6515
7,0.8349,0.3489,0.6658
8,0.8299,0.3472,0.6645
9,0.8335,0.3355,0.6802
10,0.8391,0.3752,0.706
11,0.8363,0.3756,0.7128
12,0.8363,0.3758,0.714
13,0.8349,0.3971,0.7251
14,0.8405,0.3703,0.7322
15,0.8427,0.2976,0.7264
16,0.8377,0.3398,0.7335
17,0.8434,0.3529,0.7292
18,0.8476,0.3498,0.7321
19,0.8441,0.3416,0.7292
20,0.8469,0.5086,0.7485
21,0.8512,0.5117,0.7527
22,0.8455,0.511,0.7498
23,0.842,0.5095,0.7498
24,0.8427,0.5079,0.7484
25,0.8476,0.4786,0.7492
26,0.8476,0.5047,0.7562
27,0.8476,0.5002,0.7669
28,0.8476,0.5416,0.7711
29,0.8505,0.5357,0.7711
30,0.8519,0.5124,0.7676
31,0.8498,0.5237,0.7654
32,0.8519,0.5202,0.7683
33,0.8554,0.5823,0.7817
34,0.8547,0.497,0.7683
35,0.8547,0.5287,0.776
36,0.8519,0.4995,0.769
37,0.8533,0.54,0.7782
38,0.8561,0.5817,0.786
39,0.854,0.5593,0.7832
40,0.8576,0.5194,0.7797
41,0.8576,0.5656,0.7817
42,0.8561,0.5735,0.7818
43,0.8611,0.5553,0.7874
44,0.8547,0.5368,0.7799
45,0.854,0.5032,0.7769
46,0.8562,0.5342,0.7811
47,0.8547,0.5255,0.7783
48,0.8555,0.5483,0.7819
49,0.8562,0.5551,0.7853
50,0.8562,0.5276,0.7818
51,0.8512,0.2539,0.7465
52,0.8533,0.1859,0.7459
53,0.8526,0.1818,0.7394
54,0.8547,0.139,0.7483
55,0.8533,0.135,0.7456
56,0.8555,0.1254,0.7469
57,0.8583,0.1298,0.7497
58,0.8569,0.1373,0.751
59,0.8576,0.1717,0.7552
60,0.8512,0.1157,0.744
61,0.8526,0.1462,0.7478
62,0.8519,0.1425,0.747
63,0.8547,0.1444,0.7508
64,0.8632,0.1627,0.7603
65,0.8526,0.139,0.7504
66,0.8533,0.1605,0.7497
67,0.8554,0.1659,0.7482
68,0.8505,0.1499,0.7467
69,0.8484,0.1595,0.7457
70,0.8526,0.1717,0.7519
71,0.8498,0.1555,0.7442
72,0.849,0.1571,0.7457
73,0.8533,0.134,0.7447
74,0.8491,0.1357,0.744
75,0.8512,0.1141,0.746
76,0.8512,0.1658,0.7514
77,0.8512,0.1717,0.7464
78,0.8512,0.1444,0.7457
79,0.8505,0.1386,0.7445
80,0.8547,0.168,0.7522
81,0.8519,0.1553,0.7503
82,0.8477,0.1541,0.7429
83,0.8505,0.2505,0.7583
84,0.8484,0.1981,0.754
85,0.8526,0.2143,0.759
86,0.8512,0.2267,0.7603
87,0.8519,0.2171,0.7582
88,0.8526,0.1941,0.7539
89,0.854,0.2328,0.762
90,0.8561,0.1901,0.758
91,0.8512,0.2247,0.756
92,0.854,0.3078,0.7629
