Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
1,0.12,0.91,0.95,0.91,0.54,0.64,0.6505,0.2474,0.5499,0.22,0.68,0.76
2,0.12,0.91,0.95,0.91,0.54,0.64,0.6505,0.2474,0.5499,0.22,0.68,0.76
3,0.12,0.91,0.95,0.91,0.54,0.64,0.6544,0.2517,0.5489,0.22,0.68,0.77
4,0.16,0.9,0.92,0.79,0.62,0.8,0.7498,0.2825,0.5943,0.27,0.73,0.86
5,0.16,0.88,0.9,0.58,0.69,0.84,0.7601,0.2354,0.6325,0.25,0.78,0.87
6,0.24,0.88,0.93,0.68,0.72,0.9,0.8392,0.3523,0.6515,0.36,0.79,0.91
7,0.25,0.88,0.92,0.64,0.75,0.9,0.8349,0.3489,0.6658,0.36,0.81,0.91
8,0.26,0.87,0.92,0.6,0.76,0.9,0.8299,0.3472,0.6645,0.37,0.81,0.91
9,0.27,0.87,0.92,0.54,0.78,0.9,0.8335,0.3355,0.6802,0.36,0.82,0.91
10,0.31,0.87,0.92,0.57,0.81,0.91,0.8391,0.3752,0.706,0.4,0.84,0.91
11,0.32,0.87,0.92,0.55,0.82,0.91,0.8363,0.3756,0.7128,0.4,0.84,0.91
12,0.32,0.87,0.92,0.54,0.82,0.91,0.8363,0.3758,0.714,0.4,0.84,0.91
13,0.36,0.87,0.92,0.53,0.83,0.91,0.8349,0.3971,0.7251,0.43,0.85,0.91
14,0.34,0.88,0.92,0.5,0.84,0.91,0.8405,0.3703,0.7322,0.4,0.86,0.92
15,0.31,0.86,0.92,0.37,0.85,0.91,0.8427,0.2976,0.7264,0.34,0.86,0.92
16,0.35,0.86,0.92,0.41,0.85,0.91,0.8377,0.3398,0.7335,0.38,0.86,0.91
17,0.34,0.87,0.92,0.45,0.84,0.91,0.8434,0.3529,0.7292,0.39,0.86,0.92
18,0.34,0.87,0.92,0.44,0.85,0.91,0.8476,0.3498,0.7321,0.39,0.86,0.92
19,0.34,0.86,0.92,0.42,0.85,0.91,0.8441,0.3416,0.7292,0.38,0.86,0.92
20,0.45,0.88,0.92,0.64,0.85,0.91,0.8469,0.5086,0.7485,0.53,0.86,0.92
21,0.45,0.88,0.93,0.65,0.85,0.91,0.8512,0.5117,0.7527,0.53,0.87,0.92
22,0.46,0.88,0.92,0.63,0.85,0.91,0.8455,0.511,0.7498,0.53,0.87,0.92
23,0.46,0.88,0.92,0.63,0.85,0.91,0.842,0.5095,0.7498,0.53,0.87,0.92
24,0.46,0.88,0.92,0.62,0.85,0.91,0.8427,0.5079,0.7484,0.53,0.87,0.92
25,0.43,0.88,0.92,0.61,0.85,0.92,0.8476,0.4786,0.7492,0.5,0.87,0.92
26,0.46,0.88,0.92,0.62,0.86,0.91,0.8476,0.5047,0.7562,0.53,0.87,0.92
27,0.49,0.88,0.92,0.57,0.87,0.91,0.8476,0.5002,0.7669,0.53,0.88,0.92
28,0.52,0.88,0.92,0.62,0.87,0.91,0.8476,0.5416,0.7711,0.57,0.88,0.92
29,0.52,0.88,0.93,0.61,0.88,0.92,0.8505,0.5357,0.7711,0.56,0.88,0.92
30,0.51,0.88,0.92,0.57,0.87,0.92,0.8519,0.5124,0.7676,0.54,0.88,0.92
31,0.5,0.88,0.92,0.61,0.87,0.92,0.8498,0.5237,0.7654,0.55,0.88,0.92
32,0.52,0.88,0.92,0.58,0.87,0.92,0.8519,0.5202,0.7683,0.55,0.88,0.92
33,0.57,0.89,0.93,0.64,0.88,0.92,0.8554,0.5823,0.7817,0.6,0.88,0.92
34,0.49,0.88,0.93,0.56,0.87,0.92,0.8547,0.497,0.7683,0.52,0.88,0.92
35,0.53,0.89,0.93,0.59,0.88,0.92,0.8547,0.5287,0.776,0.55,0.88,0.92
36,0.51,0.88,0.92,0.55,0.88,0.92,0.8519,0.4995,0.769,0.53,0.88,0.92
37,0.54,0.89,0.92,0.6,0.88,0.92,0.8533,0.54,0.7782,0.57,0.88,0.92
38,0.59,0.89,0.93,0.62,0.89,0.92,0.8561,0.5817,0.786,0.6,0.89,0.92
39,0.57,0.89,0.93,0.6,0.89,0.92,0.854,0.5593,0.7832,0.58,0.89,0.92
40,0.54,0.88,0.93,0.55,0.88,0.92,0.8576,0.5194,0.7797,0.55,0.88,0.92
41,0.56,0.89,0.93,0.62,0.88,0.92,0.8576,0.5656,0.7817,0.59,0.88,0.92
42,0.58,0.89,0.93,0.62,0.88,0.92,0.8561,0.5735,0.7818,0.6,0.88,0.92
43,0.56,0.89,0.93,0.6,0.89,0.92,0.8611,0.5553,0.7874,0.58,0.89,0.93
44,0.58,0.88,0.93,0.55,0.89,0.92,0.8547,0.5368,0.7799,0.56,0.88,0.92
45,0.55,0.88,0.92,0.51,0.89,0.92,0.854,0.5032,0.7769,0.53,0.88,0.92
46,0.56,0.88,0.92,0.56,0.89,0.92,0.8562,0.5342,0.7811,0.56,0.88,0.92
47,0.56,0.88,0.92,0.54,0.89,0.92,0.8547,0.5255,0.7783,0.55,0.88,0.92
48,0.59,0.88,0.92,0.55,0.89,0.92,0.8555,0.5483,0.7819,0.57,0.89,0.92
49,0.58,0.89,0.92,0.58,0.89,0.93,0.8562,0.5551,0.7853,0.58,0.89,0.92
50,0.57,0.89,0.92,0.54,0.89,0.93,0.8562,0.5276,0.7818,0.55,0.89,0.92
51,0.38,0.85,0.92,0.21,0.89,0.92,0.8512,0.2539,0.7465,0.27,0.87,0.92
52,0.32,0.84,0.92,0.14,0.9,0.92,0.8533,0.1859,0.7459,0.2,0.87,0.92
53,0.3,0.84,0.93,0.15,0.89,0.92,0.8526,0.1818,0.7394,0.2,0.87,0.92
54,0.27,0.84,0.92,0.11,0.9,0.92,0.8547,0.139,0.7483,0.15,0.87,0.92
55,0.27,0.84,0.92,0.1,0.9,0.92,0.8533,0.135,0.7456,0.14,0.87,0.92
56,0.25,0.84,0.92,0.09,0.9,0.92,0.8555,0.1254,0.7469,0.14,0.87,0.92
57,0.25,0.84,0.93,0.1,0.9,0.92,0.8583,0.1298,0.7497,0.14,0.87,0.93
58,0.26,0.84,0.93,0.11,0.9,0.92,0.8569,0.1373,0.751,0.15,0.87,0.92
59,0.32,0.85,0.93,0.12,0.9,0.92,0.8576,0.1717,0.7552,0.18,0.87,0.92
