Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
1,0.12,0.91,0.95,0.91,0.54,0.64,0.6505,0.2474,0.5499,0.22,0.68,0.76,0.861648631598164,0.12077374103354124,0.8217447118126008
2,0.12,0.91,0.95,0.91,0.54,0.64,0.6505,0.2474,0.5499,0.22,0.68,0.76,0.861648631598164,0.12077374103354124,0.8217447118126008
3,0.12,0.91,0.95,0.91,0.54,0.64,0.6544,0.2517,0.5489,0.22,0.68,0.77,0.8652134968271468,0.1223904717896572,0.8250873548982981
4,0.16,0.9,0.92,0.79,0.62,0.8,0.7498,0.2825,0.5943,0.27,0.73,0.86,0.943631070709242,0.16929373999359262,0.9030650037404977
5,0.16,0.88,0.9,0.58,0.69,0.84,0.7601,0.2354,0.6325,0.25,0.78,0.87,0.9426863103664219,0.1487337786769596,0.8995154835529624
6,0.24,0.88,0.93,0.68,0.72,0.9,0.8392,0.3523,0.6515,0.36,0.79,0.91,0.9649253735632565,0.2379649834014896,0.9089266498294037
7,0.25,0.88,0.92,0.64,0.75,0.9,0.8349,0.3489,0.6658,0.36,0.81,0.91,0.9620044570284491,0.24698927989610647,0.9071202095797721
8,0.26,0.87,0.92,0.6,0.76,0.9,0.8299,0.3472,0.6645,0.37,0.81,0.91,0.9625508728855646,0.24136792106303415,0.9042667341639554
9,0.27,0.87,0.92,0.54,0.78,0.9,0.8335,0.3355,0.6802,0.36,0.82,0.91,0.962176427379799,0.2586077092523766,0.9052198536816813
10,0.31,0.87,0.92,0.57,0.81,0.91,0.8391,0.3752,0.706,0.4,0.84,0.91,0.9635104044693951,0.34354489318831244,0.9153087348725436
11,0.32,0.87,0.92,0.55,0.82,0.91,0.8363,0.3756,0.7128,0.4,0.84,0.91,0.9640241807127099,0.3260786005314739,0.917777780776933
12,0.32,0.87,0.92,0.54,0.82,0.91,0.8363,0.3758,0.714,0.4,0.84,0.91,0.9635364878995336,0.30791525776327994,0.9117560238184197
13,0.36,0.87,0.92,0.53,0.83,0.91,0.8349,0.3971,0.7251,0.43,0.85,0.91,0.962904959978545,0.31842814435642397,0.913820062498124
14,0.34,0.88,0.92,0.5,0.84,0.91,0.8405,0.3703,0.7322,0.4,0.86,0.92,0.964514652191744,0.2739641693494007,0.9151153586497147
15,0.31,0.86,0.92,0.37,0.85,0.91,0.8427,0.2976,0.7264,0.34,0.86,0.92,0.9656000982409635,0.2733662847317977,0.9125840331440563
16,0.35,0.86,0.92,0.41,0.85,0.91,0.8377,0.3398,0.7335,0.38,0.86,0.91,0.9647291774417253,0.28717249480820356,0.9194953886396708
17,0.34,0.87,0.92,0.45,0.84,0.91,0.8434,0.3529,0.7292,0.39,0.86,0.92,0.9638256174516547,0.3056337760430885,0.9169623885067402
18,0.34,0.87,0.92,0.44,0.85,0.91,0.8476,0.3498,0.7321,0.39,0.86,0.92,0.9647592031693177,0.3258720242520119,0.9238374891146652
19,0.34,0.86,0.92,0.42,0.85,0.91,0.8441,0.3416,0.7292,0.38,0.86,0.92,0.9647236537331568,0.3077795839989063,0.9237633882823718
20,0.45,0.88,0.92,0.64,0.85,0.91,0.8469,0.5086,0.7485,0.53,0.86,0.92,0.9671405958265965,0.5060039775119373,0.9239046765109642
