Model,GOF F1,LOF F1,Neutral F1
38,0.6,0.89,0.92
33,0.6,0.88,0.92
42,0.6,0.88,0.92
41,0.59,0.88,0.92
43,0.58,0.89,0.93
39,0.58,0.89,0.92
496,0.58,0.9,0.93
49,0.58,0.89,0.92
446,0.57,0.9,0.92
48,0.57,0.89,0.92
28,0.57,0.88,0.92
442,0.57,0.9,0.92
37,0.57,0.88,0.92
490,0.57,0.9,0.93
408,0.57,0.89,0.92
401,0.57,0.89,0.92
402,0.57,0.89,0.92
452,0.56,0.9,0.93
406,0.56,0.89,0.92
44,0.56,0.88,0.92
46,0.56,0.88,0.92
410,0.56,0.9,0.92
29,0.56,0.88,0.92
470,0.56,0.89,0.92
441,0.56,0.9,0.92
396,0.56,0.89,0.92
443,0.56,0.9,0.93
445,0.56,0.9,0.93
393,0.56,0.9,0.92
473,0.56,0.89,0.92
451,0.56,0.9,0.93
421,0.56,0.89,0.92
444,0.55,0.9,0.93
50,0.55,0.89,0.92
464,0.55,0.89,0.92
477,0.55,0.89,0.92
47,0.55,0.88,0.92
449,0.55,0.89,0.92
440,0.55,0.89,0.92
450,0.55,0.9,0.92
462,0.55,0.89,0.93
461,0.55,0.89,0.92
40,0.55,0.88,0.92
427,0.55,0.89,0.92
487,0.55,0.9,0.92
486,0.55,0.9,0.93
415,0.55,0.9,0.92
416,0.55,0.9,0.92
400,0.55,0.89,0.92
420,0.55,0.89,0.92
491,0.55,0.89,0.92
426,0.55,0.89,0.92
430,0.55,0.89,0.92
31,0.55,0.88,0.92
32,0.55,0.88,0.92
399,0.55,0.89,0.92
35,0.55,0.88,0.92
414,0.55,0.89,0.92
411,0.54,0.89,0.92
413,0.54,0.89,0.93
455,0.54,0.9,0.93
459,0.54,0.89,0.92
453,0.54,0.89,0.92
407,0.54,0.9,0.93
447,0.54,0.89,0.92
460,0.54,0.9,0.93
422,0.54,0.89,0.92
423,0.54,0.89,0.92
429,0.54,0.89,0.92
431,0.54,0.89,0.92
434,0.54,0.89,0.92
467,0.54,0.89,0.93
405,0.54,0.89,0.92
463,0.54,0.9,0.93
474,0.54,0.89,0.92
494,0.54,0.89,0.92
492,0.54,0.89,0.92
489,0.54,0.89,0.92
488,0.54,0.89,0.92
485,0.54,0.9,0.93
479,0.54,0.89,0.92
478,0.54,0.89,0.92
30,0.54,0.88,0.92
472,0.54,0.89,0.92
404,0.54,0.89,0.92
471,0.54,0.89,0.92
394,0.54,0.89,0.92
424,0.53,0.89,0.92
23,0.53,0.87,0.92
22,0.53,0.87,0.92
21,0.53,0.87,0.92
20,0.53,0.86,0.92
419,0.53,0.89,0.92
417,0.53,0.89,0.92
484,0.53,0.89,0.92
454,0.53,0.89,0.92
448,0.53,0.9,0.93
412,0.53,0.89,0.92
456,0.53,0.89,0.92
457,0.53,0.89,0.92
403,0.53,0.89,0.92
495,0.53,0.89,0.92
497,0.53,0.89,0.93
498,0.53,0.89,0.92
425,0.53,0.89,0.92
24,0.53,0.87,0.92
438,0.53,0.89,0.92
435,0.53,0.89,0.93
390,0.53,0.89,0.92
45,0.53,0.88,0.92
397,0.53,0.89,0.92
428,0.53,0.89,0.93
437,0.53,0.89,0.93
398,0.53,0.89,0.93
499,0.53,0.89,0.92
36,0.53,0.88,0.92
433,0.53,0.89,0.92
27,0.53,0.88,0.92
26,0.53,0.87,0.92
340,0.52,0.89,0.92
366,0.52,0.89,0.92
329,0.52,0.89,0.92
395,0.52,0.89,0.93
367,0.52,0.89,0.93
306,0.52,0.89,0.93
374,0.52,0.89,0.92
387,0.52,0.89,0.93
392,0.52,0.89,0.93
389,0.52,0.89,0.92
354,0.52,0.89,0.92
391,0.52,0.89,0.92
480,0.52,0.89,0.92
34,0.52,0.88,0.92
436,0.52,0.89,0.92
439,0.52,0.89,0.93
458,0.52,0.89,0.92
468,0.52,0.89,0.92
476,0.52,0.89,0.93
409,0.51,0.89,0.93
360,0.51,0.89,0.92
370,0.51,0.89,0.92
371,0.51,0.89,0.93
303,0.51,0.89,0.93
481,0.51,0.89,0.92
377,0.51,0.89,0.92
348,0.51,0.89,0.92
483,0.51,0.89,0.93
328,0.51,0.89,0.92
338,0.51,0.89,0.92
469,0.51,0.89,0.92
301,0.51,0.89,0.93
418,0.51,0.89,0.92
465,0.51,0.89,0.92
327,0.51,0.89,0.92
466,0.51,0.89,0.92
363,0.5,0.89,0.92
361,0.5,0.89,0.92
300,0.5,0.89,0.93
359,0.5,0.89,0.92
248,0.5,0.89,0.92
302,0.5,0.89,0.93
25,0.5,0.87,0.92
352,0.5,0.89,0.92
315,0.5,0.89,0.93
299,0.5,0.89,0.93
319,0.5,0.89,0.92
321,0.5,0.89,0.92
322,0.5,0.89,0.92
305,0.5,0.89,0.93
343,0.5,0.89,0.93
267,0.5,0.89,0.93
482,0.5,0.89,0.92
493,0.5,0.89,0.92
285,0.5,0.89,0.93
432,0.5,0.89,0.92
388,0.5,0.89,0.92
384,0.5,0.89,0.92
381,0.5,0.89,0.92
380,0.5,0.89,0.92
379,0.5,0.89,0.92
378,0.5,0.89,0.92
382,0.5,0.89,0.92
291,0.5,0.89,0.93
375,0.5,0.89,0.92
368,0.5,0.89,0.92
386,0.49,0.89,0.92
255,0.49,0.89,0.92
332,0.49,0.89,0.92
369,0.49,0.89,0.92
334,0.49,0.89,0.92
294,0.49,0.89,0.92
325,0.49,0.89,0.92
475,0.49,0.89,0.92
372,0.49,0.89,0.92
353,0.49,0.89,0.93
385,0.49,0.89,0.92
358,0.49,0.89,0.92
236,0.49,0.89,0.92
345,0.49,0.89,0.93
362,0.49,0.89,0.92
373,0.49,0.89,0.93
356,0.49,0.89,0.92
323,0.49,0.89,0.92
289,0.48,0.89,0.93
324,0.48,0.89,0.92
318,0.48,0.89,0.92
316,0.48,0.89,0.93
351,0.48,0.89,0.92
336,0.48,0.89,0.92
341,0.48,0.89,0.92
258,0.48,0.89,0.93
344,0.48,0.89,0.93
376,0.48,0.89,0.92
365,0.48,0.89,0.92
364,0.48,0.89,0.92
357,0.48,0.89,0.92
350,0.48,0.89,0.93
281,0.47,0.89,0.93
355,0.47,0.89,0.92
