Model,GOF Precision,LOF Precision,Neutral Precision
255,0.84,0.86,0.93
248,0.83,0.86,0.93
399,0.83,0.87,0.93
421,0.82,0.87,0.93
305,0.82,0.86,0.93
393,0.82,0.87,0.93
474,0.82,0.87,0.93
443,0.82,0.87,0.93
442,0.82,0.87,0.93
128,0.82,0.85,0.92
426,0.82,0.87,0.93
291,0.82,0.86,0.93
285,0.82,0.87,0.93
134,0.82,0.85,0.93
396,0.82,0.87,0.93
404,0.82,0.87,0.93
402,0.82,0.87,0.93
496,0.82,0.87,0.93
415,0.81,0.87,0.93
446,0.81,0.87,0.93
300,0.81,0.86,0.93
130,0.81,0.85,0.92
456,0.81,0.87,0.93
455,0.81,0.87,0.93
453,0.81,0.87,0.93
450,0.81,0.87,0.93
398,0.81,0.87,0.93
400,0.81,0.87,0.93
445,0.81,0.87,0.93
410,0.81,0.87,0.93
438,0.81,0.86,0.93
389,0.81,0.86,0.92
298,0.81,0.86,0.93
431,0.81,0.87,0.92
301,0.81,0.86,0.93
407,0.81,0.87,0.93
408,0.81,0.87,0.93
235,0.81,0.85,0.93
232,0.81,0.86,0.93
394,0.81,0.87,0.93
271,0.81,0.86,0.93
267,0.81,0.86,0.93
487,0.81,0.87,0.93
471,0.81,0.87,0.92
281,0.81,0.86,0.93
485,0.81,0.87,0.93
488,0.81,0.87,0.93
478,0.81,0.87,0.93
479,0.81,0.87,0.92
425,0.8,0.86,0.92
366,0.8,0.87,0.93
486,0.8,0.87,0.93
236,0.8,0.86,0.93
459,0.8,0.87,0.93
381,0.8,0.86,0.93
419,0.8,0.86,0.93
249,0.8,0.85,0.93
302,0.8,0.87,0.93
237,0.8,0.86,0.93
430,0.8,0.87,0.93
414,0.8,0.87,0.93
238,0.8,0.85,0.93
411,0.8,0.87,0.93
490,0.8,0.87,0.93
277,0.8,0.86,0.93
405,0.8,0.87,0.93
359,0.8,0.86,0.93
401,0.8,0.87,0.93
498,0.8,0.87,0.93
416,0.8,0.87,0.93
340,0.8,0.86,0.93
451,0.8,0.87,0.93
444,0.8,0.87,0.93
303,0.8,0.87,0.93
464,0.8,0.87,0.93
308,0.8,0.86,0.93
299,0.8,0.87,0.93
310,0.8,0.86,0.93
452,0.8,0.87,0.93
294,0.8,0.86,0.93
449,0.8,0.87,0.93
473,0.8,0.87,0.93
254,0.8,0.86,0.93
437,0.8,0.87,0.93
440,0.8,0.87,0.93
439,0.8,0.87,0.93
436,0.8,0.87,0.93
441,0.8,0.87,0.93
289,0.79,0.86,0.93
392,0.79,0.87,0.93
225,0.79,0.86,0.93
391,0.79,0.87,0.93
352,0.79,0.86,0.93
350,0.79,0.86,0.93
348,0.79,0.86,0.93
306,0.79,0.87,0.93
318,0.79,0.86,0.93
361,0.79,0.86,0.93
341,0.79,0.86,0.93
343,0.79,0.87,0.93
363,0.79,0.86,0.93
388,0.79,0.86,0.93
319,0.79,0.86,0.93
