Feature,Variance,Mean Rank
Number_of_paralogs,0.20162223076923078,0.4033076923076923
gnomAD_exomes_AF,0.19717223076923074,0.5733076923076923
1000Gp3_AF,0.1942243076923077,0.3808461538461539
Rare10000bp,0.192875,0.39499999999999996
BIOTYPE_protein_coding,0.19179097435897438,0.39915384615384614
Dominant_probability,0.19163889743589743,0.4666923076923077
UK10K_AF,0.19070833333333337,0.3950000000000001
fathmm_MKL_coding_score,0.1905354358974359,0.43253846153846154
denovo_Zscore,0.18975764102564105,0.41084615384615386
MPC_score,0.1893888974358974,0.42330769230769233
BIOTYPE_nonsense_mediated_decay,0.1891972307692308,0.3883076923076923
EncodeDNase-sum,0.18710764102564104,0.3891538461538462
phyloP100way_vertebrate,0.1860354358974359,0.44253846153846155
dbscSNV-rf_score,0.18600764102564096,0.39915384615384614
gtex_Colon_-_Transverse,0.18586666666666665,0.37000000000000005
gnomAD_genomes_AF,0.18445764102564102,0.35084615384615386
MutationTaster_score,0.18307223076923076,0.4033076923076923
cHmm_E7,0.18284097435897437,0.3958461538461538
M_CAP_score,0.1828243076923077,0.4391538461538462
cHmm_E15,0.182707641025641,0.42084615384615376
MoRFchibiScore_aa_window_8_next,0.18202430769230768,0.35415384615384615
CADD_raw,0.1812805641025641,0.38830769230769224
Consequence_first_4,0.18094723076923078,0.43830769230769234
cHmm_E3,0.1807354358974359,0.3524615384615384
phastCons100way_vertebrate,0.17919097435897435,0.4058461538461539
SpliceAI-don-loss,0.17734097435897436,0.3908461538461539
gtex_Brain_-_Hippocampus,0.17715764102564102,0.34915384615384604
EncodeH3K36me3-sum,0.17702430769230773,0.3908461538461539
cHmm_E4,0.17529097435897434,0.42084615384615387
gtex_Esophagus_-_Mucosa,0.17514097435897433,0.35584615384615387
cHmm_E2,0.1747472307692308,0.34830769230769226
MaxEntScan_diff,0.17468889743589744,0.32330769230769235
SpliceAI-acc-loss,0.174257641025641,0.3658461538461538
s_het,0.17387223076923078,0.37330769230769234
gtex_Brain_-_Spinal_cord_(cervical_c-1),0.17379723076923073,0.2883076923076923
Recessive_probability,0.17359166666666667,0.405
AF_confidence,0.17350764102564106,0.39415384615384613
num_interactions,0.17254166666666668,0.3549999999999999
FATHMM_score,0.17210764102564102,0.3891538461538462
verPhCons,0.17144097435897435,0.5358461538461539
cHmm_E8,0.1713555641025641,0.3833076923076923
gtex_Brain_-_Nucleus_accumbens_(basal_ganglia),0.17011389743589742,0.3383076923076923
Sngl10000bp,0.16932223076923078,0.3366923076923077
gtex_Brain_-_Hypothalamus,0.16923543589743592,0.31246153846153846
phastCons17way_primate,0.1691222307692308,0.3866923076923077
gtex_Artery_-_Aorta,0.16905210256410255,0.3374615384615384
gtex_Pituitary,0.16904723076923078,0.2916923076923077
after_IUPRED_8,0.1688305641025641,0.41830769230769227
Clarks_distance,0.16858333333333334,0.35
EncodeH3K4me1-sum,0.16830764102564102,0.3358461538461538
MoRFchibiScore_aa_window_15_next,0.16768056410256407,0.3416923076923077
gtex_Small_Intestine_-_Terminal_Ileum,0.16757223076923078,0.37669230769230766
LIST_S2_score,0.16717430769230768,0.3808461538461539
bStatistic_y,0.16714723076923077,0.33169230769230773
cHmm_E9,0.1671021025641026,0.3324615384615385
gtex_Brain_-_Putamen_(basal_ganglia),0.166975,0.35500000000000004
cHmm_E20,0.1669354358974359,0.3575384615384615
dbscSNV-ada_score,0.16659097435897435,0.35584615384615387
before_ANCHOR_15,0.16574166666666668,0.39499999999999996
gtex_Cells_-_EBV-transformed_lymphocytes,0.16572223076923076,0.3533076923076923
IUPRED2,0.16568543589743592,0.3324615384615385
