Category,Name,Rank
Corr.,CADD_raw,0.12
Corr.,BLOSUM62,0.02
Corr.,Conservation,0.4
Corr.,ProteinLengthChange,0.0
Corr.,MaxEntScan_alt,0.04
Corr.,MaxEntScan_diff,0.06
Corr.,MaxEntScan_ref,0.0
Corr.,TSSDistance,0.0
Corr.,ada_score,0.07
Corr.,rf_score,0.08
Corr.,1000Gp3_AF,0.0
Corr.,FATHMM_score,0.06
Corr.,GERPplus_plus_NR,0.0
Corr.,GERPplus_plus_RS,0.03
Corr.,GM12878_fitCons_score,0.0
Corr.,GenoCanyon_score,0.01
Corr.,H1_hESC_fitCons_score,0.0
Corr.,HUVEC_fitCons_score,0.0
Corr.,LINSIGHT,0.0
Corr.,LIST_S2_score,0.1
Corr.,LRT_score,0.03
Corr.,M_CAP_score,0.12
Corr.,MPC_score,0.1
Corr.,MVP_score,0.16
Corr.,MutationAssessor_score,0.11
Corr.,MutationTaster_score,0.01
Corr.,PROVEAN_score,0.12
Corr.,SiPhy_29way_logOdds,0.06
Corr.,UK10K_AF,0.0
Corr.,VEST4_score,0.32
Corr.,fathmm_MKL_coding_score,0.06
Corr.,fathmm_XF_coding_score,0.05
Corr.,gnomAD_exomes_AF,0.0
Corr.,gnomAD_genomes_AF,0.0
Corr.,integrated_fitCons_score,0.0
Corr.,phastCons100way_vertebrate,0.04
Corr.,phastCons17way_primate,0.02
Corr.,phastCons30way_mammalian,0.02
Corr.,phyloP100way_vertebrate,0.07
Corr.,phyloP17way_primate,0.01
Corr.,phyloP30way_mammalian,0.02
Corr.,GDI,0.0
Corr.,MSC_95CI,0.0
Corr.,rel_cDNA_pos,0.0
Corr.,rel_CDS_pos,0.0
Corr.,rel_prot_pos,0.0
Corr.,Selective_pressure,0.0
Corr.,Clarks_distance,0.0
Corr.,CDS_len,0.0
Corr.,Number_of_paralogs,0.02
Corr.,denovo_Zscore,0.01
Corr.,RVIS,0.0
Corr.,Indispensability_score,0.0
Corr.,RSA,0.0
Corr.,ASA,0.0
Corr.,RSA_Zfit,0.0
Corr.,before_RSA_3,0.0
Corr.,before_RSA_8,0.0
Corr.,before_RSA_15,0.0
Corr.,after_RSA_3,0.0
Corr.,after_RSA_8,0.0
Corr.,after_RSA_15,0.0
Corr.,before_ASA_3,0.0
Corr.,before_ASA_8,0.0
Corr.,before_ASA_15,0.0
Corr.,after_ASA_3,0.0
Corr.,after_ASA_8,0.0
Corr.,after_ASA_15,0.0
Corr.,Phosphorylation,0.0
Corr.,Acetylation,0.0
Corr.,Methylation,0.0
Corr.,Ubiquitination,0.0
Corr.,Glycosylation,0.0
Corr.,PTM,0.0
Corr.,Consequence_first_0,1.0
Corr.,Consequence_first_1,0.01
Corr.,Consequence_first_2,0.0
Corr.,Consequence_first_3,0.01
Corr.,Consequence_first_4,0.08
Corr.,Condel_score,0.18
Corr.,SIFT_score,0.08
Corr.,NearestExonJB_distance,0.01
Corr.,NearestExonJB_len,0.01
Corr.,AF_Relative_ASA,0.05
Corr.,IUPRED2,0.03
Corr.,ANCHOR2,0.03
Corr.,before_IUPRED_3,0.03
Corr.,before_IUPRED_8,0.03
Corr.,before_IUPRED_15,0.03
Corr.,after_IUPRED_3,0.03
Corr.,after_IUPRED_8,0.03
Corr.,after_IUPRED_15,0.03
Corr.,before_ANCHOR_3,0.03
Corr.,before_ANCHOR_8,0.03
Corr.,before_ANCHOR_15,0.03
Corr.,after_ANCHOR_3,0.03
Corr.,after_ANCHOR_8,0.03
Corr.,after_ANCHOR_15,0.03
Corr.,A3D_SCORE,0.0
Corr.,n_contacts,0.05
Corr.,distance_com,0.02
Corr.,concavity_score,0.01
Corr.,S_DDG[SEQ],0.02
Corr.,S_DDG[3D],0.01
Corr.,hgmd_mutcount,0.03
Corr.,gnomsingle_mutcount,0.01
Corr.,gnom_mutcount,0.02
Corr.,AF_confidence,0.04
Corr.,isHomomultimer,0.0
Corr.,num_interactions,0.0
Corr.,ppi_combined_0,0.0
Corr.,ppi_combined_1,0.0
Corr.,ppi_combined_2,0.0
Corr.,ppi_combined_3,0.0
Corr.,ppi_combined_4,0.0
Corr.,ppi_combined_5,0.0
Corr.,ppi_combined_6,0.0
Corr.,ppi_combined_7,0.0
Corr.,ppi_combined_8,0.0
Corr.,ppi_combined_9,0.0
Corr.,ppi_combined_10,0.0
Corr.,ppi_combined_11,0.0
Corr.,ppi_combined_12,0.01
Corr.,ppi_combined_13,0.0
Corr.,ppi_combined_14,0.0
Corr.,ppi_combined_15,0.0
Corr.,ppi_combined_16,0.0
Corr.,ppi_combined_17,0.0
Corr.,ppi_combined_18,0.0
Corr.,ppi_combined_19,0.0
Corr.,ppi_combined_20,0.0
Corr.,ppi_combined_21,0.0
Corr.,ppi_combined_22,0.0
Corr.,ppi_combined_23,0.0
Corr.,ppi_combined_24,0.0
Corr.,ppi_combined_25,0.0
Corr.,ppi_combined_26,0.0
Corr.,ppi_combined_27,0.0
Corr.,ppi_combined_28,0.0
Corr.,ppi_combined_29,0.0
Corr.,ppi_combined_30,0.0
Corr.,ppi_combined_31,0.0
Corr.,ppi_combined_32,0.0
Corr.,ppi_combined_33,0.0
Corr.,ppi_combined_34,0.0
Corr.,ppi_combined_35,0.0
Corr.,ppi_combined_36,0.0
Corr.,ppi_combined_37,0.0
Corr.,ppi_combined_38,0.0
Corr.,ppi_combined_39,0.0
Corr.,ppi_combined_40,0.0
Corr.,ppi_combined_41,0.0
Corr.,ppi_combined_42,0.0
Corr.,ppi_combined_43,0.0
Corr.,ppi_combined_44,0.0
Corr.,ppi_combined_45,0.0
Corr.,ppi_combined_46,0.0
Corr.,ppi_combined_47,0.0
Corr.,ppi_combined_48,0.0
Corr.,ppi_combined_49,0.0
Corr.,ppi_combined_50,0.0
Corr.,ppi_combined_51,0.0
Corr.,ppi_combined_52,0.0
Corr.,ppi_combined_53,0.0
Corr.,ppi_combined_54,0.0
Corr.,ppi_combined_55,0.0
Corr.,ppi_combined_56,0.0
Corr.,ppi_combined_57,0.0
Corr.,ppi_combined_58,0.0
Corr.,ppi_combined_59,0.0
Corr.,ppi_combined_60,0.0
Corr.,ppi_combined_61,0.0
Corr.,ppi_combined_62,0.0
Corr.,ppi_combined_63,0.0
Corr.,s_het,0.0
Corr.,DRNApredDNAscore_aa_window_3_prev,0.0
Corr.,DRNApredDNAscore_aa_window_8_prev,0.0
Corr.,DRNApredDNAscore_aa_window_15_prev,0.0
Corr.,DRNApredDNAscore_aa_window_3_next,0.0
Corr.,DRNApredDNAscore_aa_window_8_next,0.0
Corr.,DRNApredDNAscore_aa_window_15_next,0.0
Corr.,DRNApredDNAscore_aa,0.0
Corr.,ASAquick_normscore_aa_window_3_prev,0.01
Corr.,ASAquick_normscore_aa_window_8_prev,0.01
Corr.,ASAquick_normscore_aa_window_15_prev,0.01
Corr.,ASAquick_normscore_aa_window_3_next,0.01
Corr.,ASAquick_normscore_aa_window_8_next,0.01
Corr.,ASAquick_normscore_aa_window_15_next,0.01
Corr.,ASAquick_normscore_aa,0.0
Corr.,ASAquick_rawscore_aa_window_3_prev,0.0
Corr.,ASAquick_rawscore_aa_window_8_prev,0.0
Corr.,ASAquick_rawscore_aa_window_15_prev,0.01
Corr.,ASAquick_rawscore_aa_window_3_next,0.0
Corr.,ASAquick_rawscore_aa_window_8_next,0.0
Corr.,ASAquick_rawscore_aa_window_15_next,0.0
Corr.,ASAquick_rawscore_aa,0.0
Corr.,DFLpredScore_aa_window_3_prev,0.0
Corr.,DFLpredScore_aa_window_8_prev,0.0
Corr.,DFLpredScore_aa_window_15_prev,0.0
Corr.,DFLpredScore_aa_window_3_next,0.0
Corr.,DFLpredScore_aa_window_8_next,0.0
Corr.,DFLpredScore_aa_window_15_next,0.0
Corr.,DFLpredScore_aa,0.0
Corr.,DRNApredRNAscore_aa_window_3_prev,0.0
Corr.,DRNApredRNAscore_aa_window_8_prev,0.0
