Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Confusion Matrix
1,0.8933239138113741,0.8916223182288399,0.8933239138113741,0.8883986219500607,0.9420575005900884,"[[1235, 1, 103], [6, 60, 86], [92, 14, 1234]]"
2,0.8965030024726245,0.8945005811466721,0.8965030024726245,0.8919145809108111,0.942775342217023,"[[1237, 2, 100], [6, 62, 84], [86, 15, 1239]]"
3,0.89579653832568,0.8946459276789226,0.89579653832568,0.8916033845831849,0.9424622268898032,"[[1233, 1, 105], [5, 65, 82], [88, 14, 1238]]"
4,0.8922642175909573,0.8899864746949475,0.8922642175909573,0.8866152639147511,0.9414519343335797,"[[1233, 2, 104], [6, 55, 91], [88, 14, 1238]]"
5,0.89579653832568,0.8943839396626363,0.89579653832568,0.8914299743940991,0.9409828626755378,"[[1236, 1, 102], [6, 64, 82], [90, 14, 1236]]"
6,0.8936771458848464,0.8921967755202391,0.8936771458848464,0.8883558881215396,0.9418527834423652,"[[1230, 1, 108], [5, 57, 90], [83, 14, 1243]]"
7,0.8940303779583186,0.8927357504181371,0.8940303779583186,0.8898264234450699,0.9417550118643448,"[[1233, 1, 105], [6, 65, 81], [93, 14, 1233]]"
8,0.8947368421052632,0.8932335431277734,0.8947368421052632,0.889967416953526,0.9418472510584924,"[[1234, 1, 104], [6, 61, 85], [88, 14, 1238]]"
9,0.8954433062522077,0.8940815974130385,0.8954433062522077,0.8909577226532032,0.941925943764922,"[[1234, 1, 104], [6, 63, 83], [88, 14, 1238]]"
10,0.8904980572235959,0.8882238960287044,0.8904980572235959,0.8850919784805833,0.9407893856842904,"[[1228, 3, 108], [6, 56, 90], [89, 14, 1237]]"
11,0.89579653832568,0.8946032753208707,0.89579653832568,0.8915925706625659,0.9417542522539224,"[[1233, 1, 105], [6, 65, 81], [88, 14, 1238]]"
12,0.8947368421052632,0.8933333963045474,0.8947368421052632,0.8902513129154757,0.9421356182414838,"[[1234, 1, 104], [6, 63, 83], [90, 14, 1236]]"
13,0.8926174496644296,0.8905139127740519,0.8926174496644296,0.8872862899707161,0.9413755940972393,"[[1233, 2, 104], [6, 57, 89], [89, 14, 1237]]"
14,0.8943836100317909,0.8928004874332413,0.8943836100317909,0.8899440579229252,0.9420203811237434,"[[1233, 1, 105], [6, 63, 83], [89, 15, 1236]]"
15,0.8950900741787354,0.8936591325845731,0.8950900741787354,0.890464007739618,0.9422190152769816,"[[1234, 1, 104], [6, 62, 84], [88, 14, 1238]]"
16,0.8954433062522077,0.8940216476080206,0.8954433062522077,0.8909483571534332,0.9418259453000316,"[[1235, 1, 103], [6, 63, 83], [89, 14, 1237]]"
17,0.897209466619569,0.8960205804106621,0.897209466619569,0.8931194319774323,0.9423714286943492,"[[1235, 1, 103], [6, 66, 80], [87, 14, 1239]]"
18,0.8961497703991522,0.894754940803827,0.8961497703991522,0.8921028227706481,0.9431753733543284,"[[1234, 1, 104], [6, 66, 80], [88, 15, 1237]]"
19,0.8947368421052632,0.893379940975641,0.8947368421052632,0.8903889256861313,0.941842285174106,"[[1234, 1, 104], [6, 64, 82], [91, 14, 1235]]"
20,0.8947368421052632,0.893284642282589,0.8947368421052632,0.8901108228499582,0.941941392639804,"[[1234, 1, 104], [6, 62, 84], [89, 14, 1237]]"
21,0.8936771458848464,0.8921170648297024,0.8936771458848464,0.888771219578223,0.9416734909382573,"[[1233, 1, 105], [6, 60, 86], [89, 14, 1237]]"
22,0.8943836100317909,0.8927926008314861,0.8943836100317909,0.8900711166727806,0.9428627786933028,"[[1234, 1, 104], [6, 64, 82], [91, 15, 1234]]"
23,0.8950900741787354,0.8938303242964769,0.8950900741787354,0.8906230541439284,0.9423147365790832,"[[1232, 1, 106], [6, 63, 83], [87, 14, 1239]]"
24,0.8947368421052632,0.8933184666662118,0.8947368421052632,0.8906985200012415,0.9436059991305608,"[[1233, 1, 105], [6, 66, 80], [91, 15, 1234]]"
25,0.8950900741787354,0.89342447490285,0.8950900741787354,0.8907588540257122,0.9422750370039664,"[[1236, 1, 102], [6, 64, 82], [91, 15, 1234]]"
26,0.8947368421052632,0.8932548773653343,0.8947368421052632,0.8905686542000565,0.94187078064827,"[[1234, 1, 104], [5, 65, 82], [91, 15, 1234]]"
27,0.8954433062522077,0.8940683932565374,0.8954433062522077,0.8910860853675208,0.9428922403332576,"[[1235, 1, 103], [6, 64, 82], [90, 14, 1236]]"
28,0.8940303779583186,0.8921036453353081,0.8940303779583186,0.8896090274109542,0.942165507047718,"[[1235, 1, 103], [6, 63, 83], [91, 16, 1233]]"
29,0.8943836100317909,0.8930070995163372,0.8943836100317909,0.890035671862097,0.9422535882456357,"[[1234, 1, 104], [6, 64, 82], [92, 14, 1234]]"
30,0.8947368421052632,0.8931259325064529,0.8947368421052632,0.8904141101354275,0.9424695027720954,"[[1234, 2, 103], [6, 64, 82], [91, 14, 1235]]"
31,0.8919109855174849,0.8900905342777342,0.8919109855174849,0.8867727491747752,0.9420342044445436,"[[1229, 2, 108], [6, 58, 88], [88, 14, 1238]]"
32,0.8919109855174849,0.89018487385206,0.8919109855174849,0.8877836097175797,0.9414931937683932,"[[1230, 2, 107], [7, 65, 80], [95, 15, 1230]]"
