Model,micro_recall,macro_recall,confusion_matrix
1,0.1801,0.4088,"[[352, 976, 11], [6, 145, 1], [157, 1170, 13]]"
2,0.5412,0.5057,"[[999, 186, 154], [9, 64, 79], [330, 541, 469]]"
3,0.5963,0.6631,"[[762, 240, 337], [12, 125, 15], [167, 372, 801]]"
4,0.6542,0.7097,"[[959, 86, 294], [8, 128, 16], [239, 336, 765]]"
5,0.6623,0.7135,"[[1039, 89, 211], [9, 127, 16], [305, 326, 709]]"
6,0.6641,0.7148,"[[1045, 79, 215], [10, 127, 15], [307, 325, 708]]"
7,0.6641,0.7148,"[[1044, 78, 217], [10, 127, 15], [314, 317, 709]]"
8,0.6655,0.7158,"[[1039, 77, 223], [10, 127, 15], [305, 317, 718]]"
9,0.6648,0.7172,"[[1038, 78, 223], [9, 128, 15], [306, 318, 716]]"
10,0.6658,0.7160,"[[1049, 65, 225], [9, 127, 16], [322, 309, 709]]"
11,0.6733,0.7212,"[[1060, 68, 211], [8, 127, 17], [313, 308, 719]]"
12,0.6803,0.7262,"[[1068, 62, 209], [11, 127, 14], [307, 302, 731]]"
13,0.6800,0.7221,"[[1063, 68, 208], [11, 125, 16], [306, 297, 737]]"
14,0.6814,0.7211,"[[1062, 66, 211], [11, 124, 17], [297, 300, 743]]"
15,0.6839,0.7248,"[[1062, 67, 210], [10, 125, 17], [300, 291, 749]]"
16,0.6839,0.7248,"[[1062, 65, 212], [10, 125, 17], [300, 291, 749]]"
17,0.6863,0.7266,"[[1068, 61, 210], [10, 125, 17], [303, 287, 750]]"
18,0.6920,0.7325,"[[1071, 59, 209], [10, 126, 16], [299, 279, 762]]"
19,0.6913,0.7320,"[[1073, 56, 210], [10, 126, 16], [305, 277, 758]]"
20,0.6874,0.7234,"[[1071, 55, 213], [9, 123, 20], [309, 279, 752]]"
21,0.6899,0.7213,"[[1074, 54, 211], [10, 121, 21], [313, 269, 758]]"
22,0.6955,0.7233,"[[1076, 54, 209], [10, 120, 22], [302, 265, 773]]"
23,0.6990,0.7258,"[[1082, 56, 201], [10, 120, 22], [301, 262, 777]]"
24,0.7012,0.7273,"[[1081, 53, 205], [10, 120, 22], [299, 257, 784]]"
25,0.6980,0.7231,"[[1079, 54, 206], [10, 119, 23], [305, 257, 778]]"
26,0.6980,0.7231,"[[1078, 54, 207], [10, 119, 23], [302, 259, 779]]"
27,0.7008,0.7270,"[[1082, 53, 204], [11, 120, 21], [308, 250, 782]]"
28,0.6990,0.7122,"[[1087, 53, 199], [11, 113, 28], [309, 252, 779]]"
29,0.7033,0.7171,"[[1087, 54, 198], [10, 114, 28], [303, 247, 790]]"
30,0.7022,0.7164,"[[1086, 54, 199], [10, 114, 28], [308, 244, 788]]"
31,0.7690,0.7692,"[[1210, 55, 74], [10, 117, 25], [251, 239, 850]]"
32,0.7704,0.7644,"[[1205, 52, 82], [10, 114, 28], [244, 234, 862]]"
33,0.7934,0.7806,"[[1206, 50, 83], [7, 114, 31], [178, 236, 926]]"
34,0.7934,0.7806,"[[1205, 51, 83], [7, 114, 31], [177, 236, 927]]"
35,0.7937,0.7828,"[[1204, 51, 84], [7, 115, 30], [176, 236, 928]]"
36,0.7948,0.7835,"[[1205, 52, 82], [7, 115, 30], [177, 233, 930]]"
37,0.7905,0.7727,"[[1191, 46, 102], [8, 111, 33], [160, 244, 936]]"
38,0.7934,0.7320,"[[1209, 45, 85], [7, 89, 56], [178, 214, 948]]"
39,0.7951,0.7352,"[[1213, 43, 83], [8, 90, 54], [178, 214, 948]]"
40,0.7934,0.7300,"[[1209, 46, 84], [8, 88, 56], [178, 213, 949]]"
41,0.7969,0.7189,"[[1212, 40, 87], [8, 81, 63], [173, 204, 963]]"
42,0.7972,0.7250,"[[1212, 41, 86], [8, 84, 60], [175, 204, 961]]"
43,0.8195,0.7368,"[[1199, 42, 98], [7, 82, 63], [87, 214, 1039]]"
44,0.8199,0.7351,"[[1200, 42, 97], [7, 81, 64], [84, 216, 1040]]"
45,0.8230,0.7354,"[[1202, 41, 96], [7, 80, 65], [84, 208, 1048]]"
46,0.8220,0.7346,"[[1201, 41, 97], [7, 80, 65], [83, 211, 1046]]"
47,0.8199,0.7331,"[[1200, 42, 97], [7, 80, 65], [86, 213, 1041]]"
48,0.8237,0.7320,"[[1201, 43, 95], [8, 78, 66], [84, 203, 1053]]"
49,0.8255,0.7332,"[[1202, 43, 94], [8, 78, 66], [86, 197, 1057]]"
50,0.8244,0.7383,"[[1199, 45, 95], [7, 81, 64], [86, 200, 1054]]"
51,0.8297,0.7401,"[[1205, 40, 94], [7, 80, 65], [87, 189, 1064]]"
52,0.8287,0.7374,"[[1201, 41, 97], [8, 79, 65], [86, 188, 1066]]"
53,0.8276,0.7347,"[[1205, 38, 96], [7, 78, 67], [88, 192, 1060]]"
54,0.8280,0.7311,"[[1205, 39, 95], [7, 76, 69], [88, 189, 1063]]"
55,0.8304,0.7425,"[[1206, 36, 97], [7, 81, 64], [91, 185, 1064]]"
56,0.8301,0.7423,"[[1207, 37, 95], [7, 81, 64], [92, 186, 1062]]"
57,0.8252,0.7077,"[[1206, 38, 95], [8, 65, 79], [90, 185, 1065]]"
58,0.8262,0.7104,"[[1205, 38, 96], [8, 66, 78], [89, 183, 1068]]"
59,0.8276,0.7036,"[[1216, 34, 89], [7, 62, 83], [94, 181, 1065]]"
60,0.8315,0.7161,"[[1211, 35, 93], [7, 67, 78], [92, 172, 1076]]"
61,0.8297,0.7109,"[[1211, 37, 91], [7, 65, 80], [95, 172, 1073]]"
62,0.8319,0.7163,"[[1216, 33, 90], [7, 67, 78], [95, 173, 1072]]"
63,0.8312,0.7139,"[[1215, 35, 89], [7, 66, 79], [94, 174, 1072]]"
64,0.8382,0.7461,"[[1217, 30, 92], [6, 80, 66], [97, 167, 1076]]"
65,0.8428,0.7474,"[[1214, 32, 93], [5, 79, 68], [94, 153, 1093]]"
66,0.8396,0.7451,"[[1214, 33, 92], [5, 79, 68], [95, 161, 1084]]"
67,0.8442,0.7445,"[[1217, 30, 92], [6, 77, 69], [96, 148, 1096]]"
68,0.8400,0.7318,"[[1215, 33, 91], [6, 72, 74], [99, 150, 1091]]"
