Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy,rank_sorted_roc
358,1,15.8,8.0,9.0,4.0,9.0,49.0
380,2,18.4,10.0,9.0,6.0,9.0,58.0
306,3,21.8,15.0,22.0,10.0,22.0,40.0
359,4,23.0,21.0,22.0,23.0,22.0,27.0
369,5,24.4,12.0,13.0,17.0,13.0,67.0
457,6,24.6,6.0,3.0,27.0,3.0,84.0
309,7,28.6,16.0,22.0,13.0,22.0,70.0
356,8,31.6,31.0,37.0,19.0,37.0,34.0
351,9,33.0,35.0,37.0,30.0,37.0,26.0
343,10,35.4,25.0,22.0,26.0,22.0,82.0
310,11,36.0,22.0,22.0,31.0,22.0,83.0
412,12,37.0,30.0,13.0,125.0,13.0,4.0
362,13,37.2,38.0,37.0,39.0,37.0,35.0
461,14,37.8,9.0,7.0,43.0,7.0,123.0
352,15,39.0,40.0,37.0,38.0,37.0,43.0
470,16,39.0,2.0,2.0,11.0,2.0,178.0
301,17,39.0,31.0,37.0,12.0,37.0,78.0
464,18,42.6,3.0,3.0,21.0,3.0,183.0
459,19,44.0,26.0,13.0,81.0,13.0,87.0
377,20,44.0,49.0,37.0,79.0,37.0,18.0
451,21,46.4,24.0,13.0,69.0,13.0,113.0
455,22,49.0,23.0,13.0,68.0,13.0,128.0
376,23,50.8,48.0,37.0,80.0,37.0,52.0
497,24,51.0,3.0,3.0,15.0,3.0,231.0
494,25,51.2,3.0,3.0,15.0,3.0,232.0
460,26,52.6,37.0,22.0,84.0,22.0,98.0
317,27,53.0,14.0,22.0,3.0,22.0,204.0
305,28,54.0,46.0,67.0,18.0,67.0,72.0
492,29,54.2,7.0,7.0,14.0,7.0,236.0
478,30,55.0,1.0,1.0,1.0,1.0,271.0
462,31,55.0,13.0,9.0,62.0,9.0,182.0
322,32,55.4,18.0,22.0,20.0,22.0,195.0
371,33,56.2,54.0,67.0,40.0,67.0,53.0
327,34,57.2,41.0,37.0,37.0,37.0,134.0
467,35,59.2,17.0,13.0,45.0,13.0,208.0
450,36,59.8,27.0,13.0,89.0,13.0,157.0
456,37,60.0,36.0,22.0,83.0,22.0,137.0
295,38,60.2,34.0,37.0,24.0,37.0,169.0
477,39,61.8,20.0,13.0,54.0,13.0,209.0
498,40,62.6,11.0,9.0,5.0,9.0,279.0
406,41,63.4,70.0,37.0,154.0,37.0,19.0
