Model,Neutral MCC,GOF MCC,LOF MCC
1,0.1988,0.0877,0.0088
2,0.5189,0.0752,0.224
3,0.476,0.3051,0.3675
4,0.556,0.39,0.3734
5,0.5652,0.3899,0.4
6,0.5675,0.3954,0.3968
7,0.562,0.3999,0.3959
8,0.5645,0.4005,0.3972
9,0.5638,0.403,0.3958
10,0.5609,0.411,0.3886
11,0.5758,0.4099,0.406
12,0.5837,0.4165,0.4182
13,0.5807,0.4088,0.4215
14,0.5861,0.4047,0.4224
15,0.5848,0.4127,0.4272
16,0.5848,0.4138,0.4256
17,0.5871,0.4184,0.4279
18,0.5921,0.4279,0.4377
19,0.5895,0.4309,0.4342
20,0.586,0.4194,0.4245
21,0.5848,0.4187,0.4293
22,0.5937,0.4175,0.4404
23,0.5988,0.4181,0.4495
24,0.5994,0.4231,0.451
25,0.5939,0.4188,0.4453
26,0.5952,0.4175,0.4452
27,0.5934,0.4277,0.4513
28,0.5965,0.4,0.4476
29,0.6012,0.4064,0.4559
30,0.5971,0.4083,0.4537
31,0.7282,0.4223,0.6007
32,0.729,0.4163,0.5988
33,0.7757,0.4163,0.6365
34,0.7756,0.4156,0.6372
35,0.7755,0.4194,0.6378
36,0.7756,0.4208,0.6407
37,0.7764,0.4021,0.6259
38,0.7779,0.3356,0.629
39,0.7801,0.341,0.6322
40,0.7772,0.3315,0.6304
41,0.7828,0.3124,0.6318
42,0.7814,0.3244,0.6336
43,0.8344,0.3086,0.6743
44,0.8372,0.3031,0.675
45,0.8386,0.3048,0.6804
46,0.8386,0.3028,0.6783
47,0.8358,0.3009,0.6749
48,0.8372,0.2983,0.6838
49,0.8364,0.3024,0.6873
50,0.8351,0.3117,0.686
51,0.8385,0.3187,0.6928
52,0.8358,0.3144,0.692
53,0.8378,0.3093,0.6871
54,0.8378,0.3021,0.6884
55,0.8364,0.3289,0.6914
56,0.8364,0.3274,0.6915
57,0.8364,0.2568,0.6824
58,0.8364,0.2627,0.6845
59,0.8413,0.2486,0.6839
60,0.8392,0.2771,0.6922
61,0.837,0.2665,0.6902
62,0.8405,0.2779,0.6917
63,0.8406,0.2711,0.6917
64,0.8405,0.3435,0.7018
65,0.8413,0.3494,0.7113
66,0.8406,0.3416,0.7058
67,0.8413,0.3465,0.7134
68,0.8377,0.3192,0.707
69,0.8405,0.3195,0.7104
70,0.8427,0.3036,0.7103
71,0.8434,0.4157,0.7303
72,0.8441,0.4225,0.7288
73,0.8363,0.4712,0.7342
74,0.842,0.4786,0.7402
75,0.8391,0.4754,0.7372
76,0.8427,0.4849,0.7341
77,0.8377,0.4943,0.7331
78,0.8398,0.5059,0.7375
79,0.8384,0.4964,0.7333
80,0.8406,0.5027,0.7361
81,0.8469,0.4942,0.7377
82,0.8455,0.4933,0.739
83,0.8484,0.4933,0.743
84,0.8477,0.5359,0.7559
85,0.8477,0.5334,0.7544
86,0.8441,0.5309,0.7509
87,0.8462,0.5213,0.7515
88,0.8469,0.5051,0.75
89,0.8469,0.5243,0.7509
90,0.8462,0.5291,0.7509
91,0.8455,0.5394,0.7538
92,0.8469,0.5424,0.7586
93,0.8434,0.5424,0.7551
94,0.8462,0.5421,0.755
95,0.8505,0.5226,0.7522
96,0.8505,0.5563,0.7622
97,0.8462,0.5372,0.7509
98,0.8469,0.5477,0.7558
99,0.8469,0.5547,0.7593
100,0.8512,0.5464,0.7622
101,0.8505,0.5504,0.7622
102,0.8505,0.553,0.7692
103,0.8476,0.5518,0.7615
104,0.8483,0.5559,0.7642
105,0.8484,0.5588,0.7656
106,0.8448,0.5533,0.7594
107,0.8441,0.5518,0.7622
108,0.8441,0.552,0.7579
109,0.8455,0.5504,0.76
110,0.8469,0.563,0.7636
111,0.8441,0.5559,0.7614
112,0.8483,0.5587,0.7642
113,0.8455,0.5587,0.7656
114,0.842,0.5461,0.7614
115,0.842,0.5464,0.7558
116,0.842,0.5464,0.7558
117,0.842,0.5644,0.7649
118,0.8462,0.5758,0.7664
119,0.8434,0.5744,0.7629
120,0.8455,0.5773,0.7651
121,0.8483,0.5744,0.7664
122,0.8441,0.573,0.7629
123,0.8434,0.5758,0.765
124,0.8462,0.573,0.7665
125,0.8469,0.5716,0.7679
126,0.8476,0.5716,0.7686
127,0.8483,0.5702,0.7687
128,0.8476,0.5702,0.7679
129,0.8469,0.5634,0.7623
130,0.8448,0.5702,0.7651
131,0.8476,0.5607,0.763
132,0.8483,0.5702,0.7645
133,0.8434,0.5675,0.7595
134,0.8462,0.5702,0.7665
135,0.849,0.5716,0.7672
136,0.849,0.5773,0.7672
137,0.849,0.5759,0.768
138,0.849,0.573,0.768
139,0.8469,0.5787,0.7672
140,0.8512,0.5859,0.7707
141,0.8498,0.5844,0.7672
142,0.849,0.5801,0.77
143,0.8505,0.5816,0.7692
144,0.8498,0.5831,0.7693
145,0.8483,0.5831,0.7678
146,0.8533,0.5905,0.7735
147,0.8476,0.586,0.7685
148,0.8505,0.5929,0.7693
149,0.8505,0.5829,0.7658
150,0.8505,0.5801,0.7687
151,0.8526,0.5759,0.77
152,0.8519,0.59,0.7693
153,0.8533,0.5759,0.7679
154,0.8512,0.5815,0.7685
155,0.8533,0.5801,0.77
156,0.854,0.5759,0.77
157,0.8554,0.5901,0.7757
158,0.854,0.5829,0.7721
159,0.8561,0.5759,0.7721
160,0.8533,0.5885,0.77
161,0.8526,0.5929,0.7715
162,0.8561,0.5956,0.7737
163,0.8519,0.5928,0.7708
164,0.8526,0.5899,0.7687
165,0.8547,0.5857,0.7701
166,0.8554,0.5843,0.7729
167,0.8533,0.5941,0.7686
168,0.8533,0.59,0.7693
169,0.8519,0.59,0.7708
170,0.8519,0.5886,0.7715
171,0.8533,0.5916,0.7728
172,0.8569,0.5929,0.7757
173,0.854,0.5929,0.7743
174,0.8533,0.5958,0.7749
175,0.8526,0.6018,0.7756
176,0.8526,0.5958,0.777
177,0.8554,0.6003,0.7792
178,0.854,0.6021,0.7797
179,0.8505,0.5929,0.7707
180,0.8547,0.5988,0.7777
181,0.854,0.6018,0.7784
182,0.8554,0.5943,0.7778
183,0.854,0.596,0.7756
184,0.8533,0.6018,0.7749
185,0.8547,0.6115,0.7818
186,0.8547,0.6005,0.7812
187,0.854,0.6052,0.7812
188,0.854,0.6005,0.7805
189,0.8561,0.5916,0.7799
190,0.8547,0.5918,0.777
191,0.8554,0.596,0.7813
192,0.8554,0.596,0.7799
193,0.8519,0.589,0.7784
194,0.8554,0.5933,0.7798
195,0.8569,0.5877,0.784
196,0.8547,0.586,0.777
197,0.8498,0.5978,0.7776
198,0.8498,0.5859,0.7735
199,0.8519,0.5875,0.7777
200,0.8505,0.5963,0.7762
201,0.8512,0.5903,0.777
202,0.8526,0.611,0.7825
203,0.8519,0.5923,0.7811
204,0.8505,0.6036,0.7797
205,0.8498,0.5888,0.7748
206,0.8519,0.5975,0.7797
207,0.8512,0.5935,0.7783
208,0.8498,0.592,0.7776
209,0.8491,0.5916,0.7756
210,0.8519,0.5935,0.7804
211,0.8498,0.5933,0.7755
212,0.8519,0.5918,0.7784
213,0.8512,0.5963,0.7783
214,0.8505,0.611,0.7833
215,0.8512,0.6067,0.7833
216,0.8526,0.6079,0.7826
217,0.8505,0.6238,0.7875
218,0.8498,0.6196,0.7847
219,0.8512,0.6196,0.7861
220,0.849,0.6147,0.7833
221,0.8533,0.6169,0.7882
222,0.8554,0.6196,0.7917
223,0.8505,0.6186,0.7889
224,0.8512,0.6163,0.7875
225,0.849,0.6125,0.7826
226,0.8512,0.6173,0.7868
227,0.8498,0.6179,0.7867
228,0.8512,0.6157,0.7847
229,0.8519,0.6222,0.7854
230,0.8526,0.6157,0.7833
231,0.8526,0.6222,0.786
232,0.8519,0.6163,0.7839
233,0.8455,0.6072,0.7776
234,0.8484,0.6206,0.7811
235,0.8512,0.612,0.7825
236,0.8476,0.6072,0.7782
237,0.8505,0.6212,0.786
238,0.8476,0.6222,0.7825
239,0.8483,0.6136,0.7846
240,0.8505,0.6131,0.7825
241,0.8498,0.6179,0.7825
242,0.8505,0.6179,0.7832
243,0.8498,0.6163,0.7832
244,0.8491,0.6179,0.7832
245,0.8491,0.6173,0.7818
246,0.8462,0.6203,0.781
247,0.8498,0.6045,0.7804
248,0.8469,0.611,0.7803
249,0.849,0.6072,0.7797
250,0.8484,0.6147,0.7797
251,0.8484,0.6072,0.7789
252,0.8491,0.6093,0.7818
253,0.8462,0.5982,0.7783
254,0.8476,0.6034,0.7804
255,0.8483,0.6093,0.7825
256,0.8462,0.5939,0.7776
257,0.8491,0.6061,0.7818
258,0.8448,0.6159,0.7818
259,0.8469,0.6029,0.7769
260,0.8469,0.6061,0.7797
261,0.8469,0.611,0.7818
262,0.8476,0.605,0.7811
263,0.8498,0.6093,0.7839
264,0.8505,0.6083,0.7839
265,0.8462,0.604,0.7832
266,0.8462,0.6034,0.779
267,0.8505,0.6034,0.7832
268,0.8498,0.5991,0.7818
269,0.8455,0.6116,0.7818
270,0.849,0.6066,0.7833
271,0.8505,0.6116,0.7839
272,0.8476,0.61,0.7832
273,0.8512,0.6083,0.786
274,0.8498,0.6133,0.7853
275,0.8476,0.6167,0.7846
276,0.8498,0.6077,0.7832
277,0.8483,0.5954,0.779
278,0.8462,0.6045,0.7797
279,0.8476,0.6077,0.7825
280,0.849,0.6093,0.7846
281,0.8498,0.6153,0.7853
282,0.854,0.6203,0.7903
283,0.8526,0.6245,0.7896
284,0.854,0.6196,0.7889
285,0.8526,0.6179,0.7882
286,0.8526,0.6279,0.791
287,0.854,0.6272,0.7896
288,0.8512,0.6238,0.7854
289,0.8533,0.6272,0.7889
290,0.8512,0.6288,0.7875
291,0.8483,0.6196,0.7832
292,0.8505,0.6229,0.7867
293,0.8519,0.6339,0.7875
294,0.8526,0.6245,0.7896
295,0.8526,0.6374,0.791
296,0.8505,0.6322,0.7839
297,0.8533,0.6322,0.7882
298,0.8512,0.6391,0.7889
299,0.8526,0.6339,0.7896
300,0.8533,0.6262,0.791
301,0.854,0.6296,0.7917
302,0.8519,0.6409,0.7889
303,0.8512,0.6245,0.7868
304,0.8519,0.6288,0.7917
305,0.854,0.6322,0.7903
306,0.8533,0.6374,0.7917
307,0.8512,0.6212,0.7854
308,0.8547,0.6245,0.7889
309,0.8554,0.6331,0.7903
310,0.8533,0.6427,0.7896
311,0.8519,0.6331,0.7881
312,0.8554,0.6339,0.7896
313,0.8533,0.6322,0.7868
314,0.8547,0.6279,0.7875
315,0.8547,0.6279,0.7889
316,0.8554,0.6339,0.7896
317,0.8554,0.6357,0.7903
318,0.8533,0.6296,0.7882
319,0.8554,0.6262,0.7889
320,0.854,0.6322,0.7875
321,0.8533,0.6262,0.7882
322,0.8547,0.6348,0.7903
323,0.8533,0.6229,0.7854
324,0.8561,0.6305,0.7889
325,0.8554,0.6288,0.7875
326,0.8526,0.6206,0.7839
327,0.8519,0.6409,0.7903
328,0.8498,0.6339,0.7839
329,0.8526,0.6305,0.7853
330,0.8505,0.6322,0.7853
331,0.8526,0.6288,0.7861
332,0.8526,0.6348,0.7896
333,0.8505,0.6288,0.7839
334,0.8505,0.6357,0.7867
335,0.8526,0.6339,0.7867
336,0.8512,0.6339,0.7839
337,0.8526,0.6296,0.7875
338,0.8526,0.6305,0.7853
339,0.8526,0.6238,0.7825
340,0.8498,0.6314,0.7853
341,0.8526,0.6305,0.7867
342,0.854,0.6339,0.7882
343,0.8533,0.6366,0.791
344,0.8519,0.6322,0.7868
345,0.8519,0.6272,0.7846
346,0.8512,0.6374,0.7882
347,0.8519,0.6339,0.7875
348,0.8512,0.6357,0.7875
349,0.849,0.6357,0.7853
350,0.8533,0.6357,0.7882
351,0.8533,0.6391,0.7896
352,0.8526,0.6409,0.7896
353,0.8519,0.6322,0.7867
354,0.8498,0.6409,0.7867
355,0.8519,0.6374,0.7889
356,0.854,0.6357,0.7903
357,0.8512,0.6331,0.786
358,0.854,0.6444,0.791
359,0.8533,0.6409,0.7903
360,0.8512,0.6374,0.7882
361,0.8526,0.6374,0.7882
362,0.8533,0.6409,0.7889
363,0.8519,0.6339,0.786
364,0.8498,0.6402,0.7874
365,0.8512,0.6427,0.7874
366,0.8526,0.6391,0.7874
367,0.8526,0.6374,0.7867
368,0.8533,0.6374,0.7874
369,0.854,0.6427,0.7903
370,0.8519,0.6348,0.7875
371,0.8533,0.6374,0.7889
372,0.8533,0.6357,0.7881
373,0.8526,0.6314,0.7867
374,0.8512,0.6339,0.7853
375,0.8512,0.6348,0.7881
376,0.8512,0.642,0.7895
377,0.8519,0.642,0.7888
378,0.849,0.6359,0.7874
379,0.8505,0.6366,0.7882
380,0.8547,0.6341,0.7924
381,0.8462,0.6384,0.7846
382,0.8519,0.6348,0.7889
383,0.8483,0.6323,0.7853
384,0.8491,0.6348,0.786
385,0.849,0.6314,0.7846
386,0.8441,0.6348,0.781
387,0.8476,0.6271,0.7825
388,0.8476,0.628,0.7838
389,0.8462,0.6305,0.7824
390,0.8462,0.6323,0.7832
391,0.849,0.6438,0.7881
392,0.8483,0.6499,0.7874
393,0.8455,0.6425,0.786
394,0.8434,0.637,0.7831
395,0.8462,0.629,0.7852
396,0.8491,0.6395,0.7874
397,0.8483,0.6487,0.7888
398,0.8476,0.6264,0.7853
399,0.849,0.629,0.7853
400,0.8483,0.64,0.7888
401,0.849,0.6308,0.7874
402,0.8498,0.6308,0.7909
403,0.8519,0.6315,0.791
404,0.849,0.6246,0.786
405,0.8463,0.6319,0.7888
406,0.8498,0.6381,0.7895
407,0.8491,0.6338,0.7909
408,0.8491,0.6338,0.7909
409,0.8477,0.6326,0.7867
410,0.8491,0.6344,0.7902
