Model,GOF Precision,LOF Precision,Neutral Precision
1,0.06,0.52,0.68
2,0.08,0.67,0.75
3,0.17,0.69,0.81
4,0.23,0.71,0.8
5,0.23,0.76,0.77
6,0.24,0.75,0.77
7,0.24,0.75,0.76
8,0.24,0.75,0.77
9,0.24,0.75,0.77
10,0.25,0.75,0.76
11,0.25,0.76,0.77
12,0.26,0.77,0.77
13,0.26,0.77,0.77
14,0.25,0.77,0.78
15,0.26,0.77,0.77
16,0.26,0.77,0.77
17,0.26,0.77,0.77
18,0.27,0.77,0.78
19,0.27,0.77,0.77
20,0.27,0.76,0.77
21,0.27,0.77,0.77
22,0.27,0.77,0.78
23,0.27,0.78,0.78
24,0.28,0.78,0.78
25,0.28,0.77,0.77
26,0.28,0.77,0.78
27,0.28,0.78,0.77
28,0.27,0.77,0.77
29,0.27,0.78,0.78
30,0.28,0.78,0.77
31,0.28,0.9,0.82
32,0.28,0.89,0.83
33,0.28,0.89,0.87
34,0.28,0.89,0.87
35,0.29,0.89,0.87
36,0.29,0.89,0.87
37,0.28,0.87,0.88
38,0.26,0.87,0.87
39,0.26,0.87,0.87
40,0.25,0.87,0.87
41,0.25,0.87,0.87
42,0.26,0.87,0.87
43,0.24,0.87,0.93
44,0.24,0.87,0.93
45,0.24,0.87,0.93
46,0.24,0.87,0.93
47,0.24,0.87,0.93
48,0.24,0.87,0.93
49,0.25,0.87,0.93
50,0.25,0.87,0.93
51,0.26,0.87,0.93
52,0.26,0.87,0.93
53,0.25,0.87,0.93
54,0.25,0.87,0.93
55,0.27,0.87,0.92
56,0.27,0.87,0.92
57,0.23,0.86,0.92
58,0.23,0.86,0.93
59,0.22,0.86,0.92
60,0.24,0.86,0.92
61,0.24,0.86,0.92
62,0.25,0.86,0.92
63,0.24,0.86,0.92
64,0.29,0.87,0.92
65,0.3,0.87,0.92
66,0.29,0.87,0.92
67,0.3,0.87,0.92
68,0.28,0.87,0.92
69,0.29,0.87,0.92
70,0.28,0.87,0.92
71,0.36,0.88,0.92
72,0.37,0.88,0.92
73,0.39,0.89,0.92
74,0.39,0.89,0.92
75,0.39,0.89,0.92
76,0.38,0.89,0.92
77,0.39,0.89,0.92
78,0.4,0.89,0.92
79,0.39,0.89,0.92
80,0.4,0.89,0.92
81,0.39,0.89,0.93
82,0.39,0.89,0.92
83,0.39,0.89,0.93
84,0.44,0.89,0.93
85,0.44,0.89,0.93
86,0.44,0.89,0.93
87,0.44,0.89,0.93
88,0.43,0.89,0.93
89,0.44,0.89,0.93
90,0.44,0.89,0.93
91,0.44,0.89,0.93
92,0.45,0.89,0.93
93,0.45,0.89,0.92
94,0.46,0.89,0.93
95,0.44,0.89,0.93
96,0.46,0.89,0.93
97,0.45,0.89,0.93
98,0.46,0.89,0.93
99,0.47,0.89,0.93
100,0.46,0.89,0.93
101,0.46,0.89,0.93
102,0.47,0.89,0.93
103,0.47,0.89,0.92
104,0.47,0.89,0.93
105,0.47,0.89,0.93
106,0.46,0.89,0.92
107,0.47,0.89,0.92
108,0.46,0.89,0.92
109,0.46,0.89,0.93
110,0.48,0.89,0.92
111,0.47,0.89,0.92
112,0.48,0.89,0.93
113,0.48,0.89,0.92
114,0.46,0.89,0.92
115,0.46,0.89,0.92
116,0.46,0.89,0.92
117,0.48,0.89,0.92
118,0.49,0.9,0.93
119,0.48,0.89,0.92
120,0.48,0.9,0.92
121,0.48,0.9,0.93
122,0.48,0.89,0.92
123,0.49,0.9,0.92
124,0.48,0.9,0.93
125,0.48,0.9,0.92
126,0.48,0.9,0.93
127,0.48,0.9,0.93
128,0.48,0.9,0.93
129,0.47,0.9,0.93
130,0.48,0.9,0.92
131,0.46,0.9,0.93
132,0.48,0.9,0.92
133,0.47,0.9,0.92
134,0.48,0.9,0.93
135,0.48,0.9,0.93
136,0.48,0.9,0.93
137,0.48,0.9,0.93
138,0.48,0.9,0.93
139,0.49,0.9,0.92
140,0.5,0.9,0.93
141,0.49,0.9,0.93
142,0.49,0.9,0.93
143,0.49,0.9,0.93
144,0.5,0.9,0.93
145,0.5,0.9,0.92
146,0.51,0.9,0.93
147,0.5,0.9,0.92
148,0.5,0.9,0.93
149,0.49,0.9,0.93
150,0.48,0.9,0.93
151,0.48,0.9,0.93
152,0.49,0.9,0.93
153,0.48,0.9,0.93
154,0.49,0.89,0.93
155,0.49,0.9,0.93
156,0.48,0.9,0.93
157,0.5,0.9,0.93
158,0.49,0.9,0.93
159,0.48,0.9,0.93
160,0.49,0.9,0.93
161,0.5,0.9,0.93
162,0.49,0.9,0.93
163,0.49,0.9,0.93
164,0.49,0.9,0.93
165,0.49,0.9,0.93
166,0.49,0.9,0.93
167,0.49,0.9,0.93
168,0.49,0.9,0.93
169,0.49,0.9,0.93
170,0.49,0.9,0.93
171,0.5,0.9,0.93
172,0.5,0.9,0.93
173,0.5,0.9,0.93
174,0.5,0.9,0.93
175,0.51,0.9,0.93
176,0.5,0.9,0.93
177,0.51,0.9,0.93
178,0.52,0.9,0.93
179,0.5,0.9,0.93
180,0.51,0.9,0.93
181,0.51,0.9,0.93
182,0.5,0.9,0.93
183,0.51,0.9,0.93
184,0.51,0.9,0.93
185,0.53,0.9,0.93
186,0.51,0.9,0.93
187,0.52,0.9,0.93
188,0.51,0.9,0.93
189,0.5,0.9,0.93
190,0.5,0.9,0.93
191,0.51,0.9,0.93
192,0.51,0.9,0.93
193,0.5,0.9,0.93
194,0.51,0.9,0.93
195,0.51,0.9,0.93
196,0.5,0.9,0.93
197,0.51,0.9,0.93
198,0.5,0.9,0.93
199,0.5,0.9,0.93
200,0.51,0.9,0.93
201,0.5,0.9,0.93
202,0.52,0.9,0.93
203,0.51,0.9,0.93
204,0.52,0.9,0.93
205,0.5,0.9,0.93
206,0.51,0.9,0.93
207,0.51,0.9,0.93
208,0.51,0.9,0.93
209,0.5,0.9,0.93
210,0.51,0.9,0.93
211,0.51,0.9,0.93
212,0.5,0.9,0.93
213,0.51,0.9,0.93
214,0.52,0.9,0.93
215,0.52,0.9,0.93
216,0.52,0.9,0.93
217,0.54,0.9,0.93
218,0.54,0.9,0.93
219,0.54,0.9,0.93
220,0.53,0.9,0.92
221,0.54,0.9,0.93
222,0.54,0.9,0.93
223,0.55,0.9,0.93
224,0.54,0.9,0.93
225,0.53,0.9,0.93
226,0.53,0.9,0.93
227,0.54,0.9,0.93
228,0.53,0.9,0.93
229,0.54,0.9,0.93
230,0.53,0.9,0.93
231,0.54,0.9,0.93
232,0.54,0.9,0.93
233,0.53,0.9,0.92
234,0.54,0.9,0.93
235,0.53,0.9,0.93
236,0.53,0.9,0.93
237,0.54,0.9,0.93
238,0.54,0.9,0.93
239,0.54,0.9,0.93
240,0.53,0.9,0.93
241,0.54,0.9,0.93
242,0.54,0.9,0.93
243,0.54,0.9,0.93
244,0.54,0.9,0.93
245,0.53,0.9,0.93
246,0.55,0.9,0.93
247,0.53,0.9,0.93
248,0.54,0.89,0.93
249,0.53,0.9,0.93
250,0.53,0.9,0.93
251,0.53,0.9,0.93
252,0.54,0.9,0.93
253,0.52,0.9,0.93
254,0.53,0.9,0.92
255,0.54,0.9,0.93
256,0.52,0.9,0.93
257,0.53,0.9,0.93
258,0.55,0.9,0.92
259,0.53,0.9,0.92
260,0.53,0.9,0.93
261,0.54,0.9,0.93
262,0.53,0.9,0.93
263,0.54,0.9,0.93
264,0.54,0.9,0.93
265,0.54,0.9,0.92
266,0.53,0.9,0.92
267,0.53,0.9,0.93
268,0.53,0.9,0.93
269,0.54,0.9,0.92
270,0.54,0.9,0.92
271,0.54,0.9,0.92
272,0.54,0.9,0.92
273,0.54,0.9,0.93
274,0.55,0.9,0.93
275,0.55,0.9,0.92
276,0.53,0.9,0.93
277,0.52,0.9,0.93
278,0.53,0.9,0.92
279,0.53,0.9,0.93
280,0.54,0.9,0.93
281,0.54,0.9,0.93
282,0.55,0.9,0.93
283,0.55,0.9,0.93
284,0.54,0.9,0.93
285,0.54,0.9,0.93
286,0.56,0.9,0.93
287,0.55,0.9,0.93
288,0.54,0.9,0.93
289,0.55,0.9,0.93
290,0.55,0.9,0.93
291,0.54,0.9,0.93
292,0.55,0.9,0.93
293,0.56,0.9,0.93
294,0.55,0.9,0.93
295,0.57,0.9,0.93
296,0.56,0.9,0.93
297,0.56,0.9,0.93
298,0.57,0.9,0.93
299,0.56,0.9,0.93
300,0.55,0.9,0.93
301,0.56,0.9,0.93
302,0.57,0.9,0.93
303,0.55,0.9,0.93
304,0.56,0.9,0.93
305,0.56,0.9,0.93
306,0.57,0.9,0.93
307,0.54,0.9,0.93
308,0.55,0.9,0.93
309,0.56,0.9,0.93
310,0.57,0.9,0.93
311,0.56,0.9,0.93
312,0.56,0.9,0.93
313,0.56,0.9,0.93
314,0.56,0.9,0.93
315,0.56,0.9,0.93
316,0.56,0.9,0.93
317,0.56,0.9,0.93
318,0.56,0.9,0.93
319,0.55,0.9,0.93
320,0.56,0.9,0.93
321,0.55,0.9,0.93
322,0.57,0.9,0.93
323,0.55,0.9,0.93
324,0.55,0.9,0.93
325,0.55,0.9,0.93
326,0.54,0.9,0.93
327,0.57,0.9,0.93
328,0.56,0.9,0.93
329,0.55,0.9,0.93
330,0.56,0.9,0.93
331,0.55,0.9,0.93
332,0.57,0.9,0.93
333,0.55,0.9,0.93
334,0.56,0.9,0.93
335,0.56,0.9,0.93
336,0.56,0.9,0.93
337,0.56,0.9,0.93
338,0.55,0.9,0.93
339,0.54,0.9,0.93
340,0.56,0.9,0.92
341,0.55,0.9,0.93
342,0.56,0.9,0.93
343,0.57,0.9,0.93
344,0.56,0.9,0.93
345,0.55,0.9,0.93
346,0.57,0.9,0.93
347,0.56,0.9,0.93
348,0.56,0.9,0.93
349,0.56,0.9,0.92
350,0.56,0.9,0.93
351,0.57,0.9,0.93
352,0.57,0.9,0.93
353,0.56,0.9,0.93
354,0.57,0.9,0.93
355,0.57,0.9,0.93
356,0.56,0.9,0.93
357,0.56,0.9,0.93
358,0.58,0.9,0.93
359,0.57,0.9,0.93
360,0.57,0.9,0.93
361,0.57,0.9,0.93
362,0.57,0.9,0.93
363,0.56,0.9,0.93
364,0.57,0.9,0.93
365,0.57,0.9,0.93
366,0.57,0.9,0.93
367,0.57,0.9,0.93
368,0.57,0.9,0.93
369,0.57,0.9,0.93
370,0.57,0.9,0.93
371,0.57,0.9,0.93
372,0.56,0.9,0.93
373,0.56,0.9,0.93
374,0.56,0.9,0.93
375,0.57,0.9,0.93
376,0.58,0.9,0.93
377,0.58,0.9,0.93
378,0.57,0.9,0.93
379,0.57,0.9,0.93
380,0.57,0.9,0.93
381,0.57,0.9,0.92
382,0.57,0.9,0.93
383,0.57,0.9,0.92
384,0.57,0.9,0.93
385,0.56,0.9,0.92
386,0.57,0.9,0.92
387,0.56,0.9,0.92
388,0.56,0.89,0.93
389,0.56,0.9,0.92
390,0.57,0.9,0.92
391,0.58,0.9,0.93
392,0.58,0.9,0.93
393,0.59,0.89,0.93
394,0.58,0.89,0.92
395,0.57,0.89,0.93
396,0.58,0.89,0.93
397,0.59,0.9,0.93
398,0.57,0.89,0.93
399,0.57,0.9,0.93
400,0.59,0.9,0.92
401,0.57,0.9,0.93
402,0.57,0.9,0.93
403,0.57,0.9,0.93
404,0.57,0.9,0.92
405,0.58,0.89,0.93
406,0.59,0.89,0.93
407,0.58,0.89,0.93
408,0.58,0.89,0.93
409,0.58,0.89,0.93
410,0.58,0.89,0.93
411,0.58,0.89,0.93
412,0.59,0.89,0.93
413,0.57,0.89,0.93
414,0.58,0.89,0.93
415,0.59,0.89,0.93
416,0.57,0.89,0.93
417,0.58,0.89,0.93
418,0.57,0.89,0.93
419,0.58,0.89,0.93
420,0.58,0.89,0.93
421,0.58,0.89,0.93
422,0.58,0.89,0.93
423,0.58,0.89,0.93
424,0.58,0.89,0.93
425,0.58,0.89,0.93
426,0.58,0.89,0.93
427,0.57,0.89,0.93
428,0.58,0.89,0.93
429,0.58,0.89,0.93
430,0.58,0.89,0.93
431,0.58,0.89,0.93
432,0.57,0.89,0.93
433,0.58,0.89,0.93
434,0.57,0.89,0.93
435,0.56,0.89,0.93
436,0.56,0.89,0.93
437,0.57,0.89,0.93
438,0.57,0.89,0.93
439,0.56,0.89,0.93
440,0.58,0.89,0.93
441,0.57,0.89,0.93
442,0.56,0.89,0.93
443,0.57,0.9,0.93
444,0.57,0.89,0.93
445,0.57,0.89,0.93
446,0.56,0.89,0.93
447,0.57,0.89,0.93
448,0.57,0.9,0.93
449,0.57,0.89,0.93
450,0.59,0.89,0.93
451,0.58,0.9,0.93
452,0.58,0.89,0.93
453,0.58,0.89,0.93
454,0.58,0.89,0.93
455,0.58,0.9,0.93
456,0.58,0.89,0.93
457,0.59,0.9,0.93
458,0.57,0.9,0.93
459,0.58,0.89,0.93
460,0.58,0.89,0.93
461,0.58,0.9,0.93
462,0.59,0.89,0.93
463,0.57,0.89,0.93
464,0.58,0.9,0.93
465,0.58,0.9,0.93
466,0.57,0.89,0.93
467,0.57,0.9,0.93
468,0.57,0.89,0.93
469,0.56,0.89,0.93
470,0.58,0.9,0.93
471,0.57,0.89,0.93
472,0.58,0.9,0.93
473,0.57,0.9,0.93
474,0.57,0.89,0.93
475,0.57,0.89,0.93
476,0.58,0.89,0.93
477,0.57,0.9,0.93
478,0.57,0.9,0.93
479,0.56,0.9,0.93
480,0.57,0.9,0.93
481,0.57,0.9,0.93
482,0.56,0.9,0.93
483,0.57,0.89,0.93
484,0.57,0.89,0.93
485,0.56,0.89,0.93
486,0.56,0.9,0.93
487,0.56,0.9,0.93
488,0.57,0.9,0.93
489,0.56,0.89,0.93
490,0.56,0.89,0.93
491,0.56,0.9,0.93
492,0.57,0.9,0.93
493,0.57,0.89,0.93
494,0.57,0.9,0.93
495,0.57,0.9,0.93
496,0.57,0.9,0.93
497,0.57,0.9,0.93
498,0.56,0.9,0.93
499,0.55,0.9,0.93
