Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
1,0.06,0.52,0.68,0.95,0.01,0.26,0.1988,0.0877,0.0088,0.12,0.02,0.38
2,0.08,0.67,0.75,0.42,0.35,0.75,0.5189,0.0752,0.224,0.14,0.46,0.75
3,0.17,0.69,0.81,0.82,0.6,0.57,0.476,0.3051,0.3675,0.28,0.64,0.67
4,0.23,0.71,0.8,0.84,0.57,0.72,0.556,0.39,0.3734,0.36,0.63,0.75
5,0.23,0.76,0.77,0.84,0.53,0.78,0.5652,0.3899,0.4,0.37,0.62,0.77
6,0.24,0.75,0.77,0.84,0.53,0.78,0.5675,0.3954,0.3968,0.37,0.62,0.77
7,0.24,0.75,0.76,0.84,0.53,0.78,0.562,0.3999,0.3959,0.38,0.62,0.77
8,0.24,0.75,0.77,0.84,0.54,0.78,0.5645,0.4005,0.3972,0.38,0.63,0.77
9,0.24,0.75,0.77,0.84,0.53,0.78,0.5638,0.403,0.3958,0.38,0.62,0.77
10,0.25,0.75,0.76,0.84,0.53,0.78,0.5609,0.411,0.3886,0.39,0.62,0.77
11,0.25,0.76,0.77,0.84,0.54,0.79,0.5758,0.4099,0.406,0.39,0.63,0.78
12,0.26,0.77,0.77,0.84,0.55,0.8,0.5837,0.4165,0.4182,0.4,0.64,0.78
13,0.26,0.77,0.77,0.82,0.55,0.79,0.5807,0.4088,0.4215,0.39,0.64,0.78
14,0.25,0.77,0.78,0.82,0.55,0.79,0.5861,0.4047,0.4224,0.39,0.64,0.78
15,0.26,0.77,0.77,0.82,0.56,0.79,0.5848,0.4127,0.4272,0.39,0.65,0.78
16,0.26,0.77,0.77,0.82,0.56,0.79,0.5848,0.4138,0.4256,0.39,0.65,0.78
17,0.26,0.77,0.77,0.82,0.56,0.8,0.5871,0.4184,0.4279,0.4,0.65,0.79
18,0.27,0.77,0.78,0.83,0.57,0.8,0.5921,0.4279,0.4377,0.41,0.65,0.79
19,0.27,0.77,0.77,0.83,0.57,0.8,0.5895,0.4309,0.4342,0.41,0.65,0.79
20,0.27,0.76,0.77,0.81,0.56,0.8,0.586,0.4194,0.4245,0.4,0.65,0.79
21,0.27,0.77,0.77,0.8,0.57,0.8,0.5848,0.4187,0.4293,0.41,0.65,0.79
22,0.27,0.77,0.78,0.79,0.58,0.8,0.5937,0.4175,0.4404,0.41,0.66,0.79
23,0.27,0.78,0.78,0.79,0.58,0.81,0.5988,0.4181,0.4495,0.41,0.66,0.79
24,0.28,0.78,0.78,0.79,0.59,0.81,0.5994,0.4231,0.451,0.41,0.67,0.79
25,0.28,0.77,0.77,0.78,0.58,0.81,0.5939,0.4188,0.4453,0.41,0.66,0.79
26,0.28,0.77,0.78,0.78,0.58,0.81,0.5952,0.4175,0.4452,0.41,0.66,0.79
27,0.28,0.78,0.77,0.79,0.58,0.81,0.5934,0.4277,0.4513,0.42,0.67,0.79
28,0.27,0.77,0.77,0.74,0.58,0.81,0.5965,0.4,0.4476,0.4,0.66,0.79
