Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
1,0.06,0.52,0.68,0.95,0.01,0.26,0.1988,0.0877,0.0088,0.12,0.02,0.38,0.5554815109328732,0.06406363623484089,0.517037929145437
2,0.08,0.67,0.75,0.42,0.35,0.75,0.5189,0.0752,0.224,0.14,0.46,0.75,0.7258254263227466,0.08199474749646411,0.6406689717497909
3,0.17,0.69,0.81,0.82,0.6,0.57,0.476,0.3051,0.3675,0.28,0.64,0.67,0.7361874075844659,0.23216443532417705,0.6678515211888216
4,0.23,0.71,0.8,0.84,0.57,0.72,0.556,0.39,0.3734,0.36,0.63,0.75,0.8095391131926621,0.30327754910779964,0.6841415019802701
5,0.23,0.76,0.77,0.84,0.53,0.78,0.5652,0.3899,0.4,0.37,0.62,0.77,0.8432577262593371,0.32474400421359534,0.7781296166094689
6,0.24,0.75,0.77,0.84,0.53,0.78,0.5675,0.3954,0.3968,0.37,0.62,0.77,0.8473779500290755,0.3222568685847135,0.7781047408226293
7,0.24,0.75,0.76,0.84,0.53,0.78,0.562,0.3999,0.3959,0.38,0.62,0.77,0.8472009472342594,0.3219392366982225,0.781094645024301
8,0.24,0.75,0.77,0.84,0.54,0.78,0.5645,0.4005,0.3972,0.38,0.63,0.77,0.8474910516671994,0.32504726067743395,0.7811750180619496
9,0.24,0.75,0.77,0.84,0.53,0.78,0.5638,0.403,0.3958,0.38,0.62,0.77,0.8468149476052633,0.32102052078623483,0.7800606844712926
10,0.25,0.75,0.76,0.84,0.53,0.78,0.5609,0.411,0.3886,0.39,0.62,0.77,0.8473739166934637,0.3553784775456345,0.7800485819412944
11,0.25,0.76,0.77,0.84,0.54,0.79,0.5758,0.4099,0.406,0.39,0.63,0.78,0.8484750099652656,0.3682641362410899,0.7813944861651005
12,0.26,0.77,0.77,0.84,0.55,0.8,0.5837,0.4165,0.4182,0.4,0.64,0.78,0.8520439218557376,0.3585290464477358,0.7882228834126193
13,0.26,0.77,0.77,0.82,0.55,0.79,0.5807,0.4088,0.4215,0.39,0.64,0.78,0.8525314297291576,0.34901012719492774,0.7908385759323473
14,0.25,0.77,0.78,0.82,0.55,0.79,0.5861,0.4047,0.4224,0.39,0.64,0.78,0.8534120365414244,0.3428054449110085,0.7888720753879593
15,0.26,0.77,0.77,0.82,0.56,0.79,0.5848,0.4127,0.4272,0.39,0.65,0.78,0.8557935421055141,0.34064355282323716,0.7874048427539956
16,0.26,0.77,0.77,0.82,0.56,0.79,0.5848,0.4138,0.4256,0.39,0.65,0.78,0.8558069989994201,0.34491225593646946,0.7875505814899518
17,0.26,0.77,0.77,0.82,0.56,0.8,0.5871,0.4184,0.4279,0.4,0.65,0.79,0.8556429288317838,0.3534985884720445,0.7897410051881011
18,0.27,0.77,0.78,0.83,0.57,0.8,0.5921,0.4279,0.4377,0.41,0.65,0.79,0.8570111887300706,0.3381749145816379,0.7915850459297661
19,0.27,0.77,0.77,0.83,0.57,0.8,0.5895,0.4309,0.4342,0.41,0.65,0.79,0.8590278749635099,0.3512507398616796,0.7939360723644546
20,0.27,0.76,0.77,0.81,0.56,0.8,0.586,0.4194,0.4245,0.4,0.65,0.79,0.8588172260019946,0.33665345524873086,0.7930885973336654
21,0.27,0.77,0.77,0.8,0.57,0.8,0.5848,0.4187,0.4293,0.41,0.65,0.79,0.8589721246874461,0.34852358989464827,0.7943727369170142
22,0.27,0.77,0.78,0.79,0.58,0.8,0.5937,0.4175,0.4404,0.41,0.66,0.79,0.8589220796114552,0.3430452545166754,0.8010406659543745
23,0.27,0.78,0.78,0.79,0.58,0.81,0.5988,0.4181,0.4495,0.41,0.66,0.79,0.858579499424218,0.35453299219683915,0.8017167022224913
24,0.28,0.78,0.78,0.79,0.59,0.81,0.5994,0.4231,0.451,0.41,0.67,0.79,0.8590146236531544,0.3453962571480346,0.8023048466388019
25,0.28,0.77,0.77,0.78,0.58,0.81,0.5939,0.4188,0.4453,0.41,0.66,0.79,0.8585643151114923,0.33872494498322214,0.8027768242422507
26,0.28,0.77,0.78,0.78,0.58,0.81,0.5952,0.4175,0.4452,0.41,0.66,0.79,0.8582360925029715,0.34062236770312654,0.8020769804700147
27,0.28,0.78,0.77,0.79,0.58,0.81,0.5934,0.4277,0.4513,0.42,0.67,0.79,0.8572843939416832,0.335435941044507,0.8013935058597785
28,0.27,0.77,0.77,0.74,0.58,0.81,0.5965,0.4,0.4476,0.4,0.66,0.79,0.8567283755017123,0.33013500350926955,0.8018788561449011
29,0.27,0.78,0.78,0.75,0.59,0.81,0.6012,0.4064,0.4559,0.4,0.67,0.79,0.8571421132823127,0.3397652854243688,0.8025665145210814
30,0.28,0.78,0.77,0.75,0.59,0.81,0.5971,0.4083,0.4537,0.4,0.67,0.79,0.8566070375145632,0.33500056857024496,0.8021170681828058
