Model,Neutral MCC,GOF MCC,LOF MCC
392,0.8483,0.6499,0.7874
397,0.8483,0.6487,0.7888
358,0.854,0.6444,0.791
391,0.849,0.6438,0.7881
310,0.8533,0.6427,0.7896
369,0.854,0.6427,0.7903
365,0.8512,0.6427,0.7874
393,0.8455,0.6425,0.786
450,0.8498,0.6425,0.7916
377,0.8519,0.642,0.7888
376,0.8512,0.642,0.7895
359,0.8533,0.6409,0.7903
302,0.8519,0.6409,0.7889
327,0.8519,0.6409,0.7903
354,0.8498,0.6409,0.7867
352,0.8526,0.6409,0.7896
362,0.8533,0.6409,0.7889
364,0.8498,0.6402,0.7874
400,0.8483,0.64,0.7888
396,0.8491,0.6395,0.7874
366,0.8526,0.6391,0.7874
351,0.8533,0.6391,0.7896
298,0.8512,0.6391,0.7889
440,0.8477,0.6388,0.7909
381,0.8462,0.6384,0.7846
457,0.8526,0.6381,0.7938
406,0.8498,0.6381,0.7895
462,0.8519,0.6381,0.7916
412,0.8491,0.6375,0.7924
361,0.8526,0.6374,0.7882
360,0.8512,0.6374,0.7882
367,0.8526,0.6374,0.7867
355,0.8519,0.6374,0.7889
371,0.8533,0.6374,0.7889
368,0.8533,0.6374,0.7874
346,0.8512,0.6374,0.7882
306,0.8533,0.6374,0.7917
295,0.8526,0.6374,0.791
394,0.8434,0.637,0.7831
343,0.8533,0.6366,0.791
379,0.8505,0.6366,0.7882
464,0.8526,0.6363,0.7945
459,0.8505,0.6363,0.7923
378,0.849,0.6359,0.7874
372,0.8533,0.6357,0.7881
415,0.8484,0.6357,0.7909
317,0.8554,0.6357,0.7903
356,0.854,0.6357,0.7903
350,0.8533,0.6357,0.7882
349,0.849,0.6357,0.7853
348,0.8512,0.6357,0.7875
334,0.8505,0.6357,0.7867
322,0.8547,0.6348,0.7903
332,0.8526,0.6348,0.7896
370,0.8519,0.6348,0.7875
375,0.8512,0.6348,0.7881
386,0.8441,0.6348,0.781
384,0.8491,0.6348,0.786
382,0.8519,0.6348,0.7889
425,0.8484,0.6344,0.7895
455,0.8512,0.6344,0.7923
451,0.8519,0.6344,0.7916
452,0.8491,0.6344,0.7888
410,0.8491,0.6344,0.7902
380,0.8547,0.6341,0.7924
299,0.8526,0.6339,0.7896
316,0.8554,0.6339,0.7896
293,0.8519,0.6339,0.7875
312,0.8554,0.6339,0.7896
335,0.8526,0.6339,0.7867
328,0.8498,0.6339,0.7839
336,0.8512,0.6339,0.7839
342,0.854,0.6339,0.7882
347,0.8519,0.6339,0.7875
363,0.8519,0.6339,0.786
374,0.8512,0.6339,0.7853
454,0.8498,0.6338,0.7916
407,0.8491,0.6338,0.7909
408,0.8491,0.6338,0.7909
311,0.8519,0.6331,0.7881
357,0.8512,0.6331,0.786
309,0.8554,0.6331,0.7903
433,0.8484,0.6326,0.7888
423,0.8477,0.6326,0.7895
465,0.8505,0.6326,0.7909
456,0.8519,0.6326,0.7909
453,0.8505,0.6326,0.7909
472,0.8512,0.6326,0.7902
429,0.8441,0.6326,0.7874
409,0.8477,0.6326,0.7867
460,0.8526,0.6326,0.7902
383,0.8483,0.6323,0.7853
390,0.8462,0.6323,0.7832
320,0.854,0.6322,0.7875
353,0.8519,0.6322,0.7867
330,0.8505,0.6322,0.7853
297,0.8533,0.6322,0.7882
305,0.854,0.6322,0.7903
296,0.8505,0.6322,0.7839
344,0.8519,0.6322,0.7868
313,0.8533,0.6322,0.7868
461,0.8526,0.6319,0.7938
431,0.8491,0.6319,0.7902
420,0.8477,0.6319,0.7888
421,0.8477,0.6319,0.7888
405,0.8463,0.6319,0.7888
403,0.8519,0.6315,0.791
373,0.8526,0.6314,0.7867
340,0.8498,0.6314,0.7853
385,0.849,0.6314,0.7846
422,0.8477,0.6313,0.7909
432,0.8498,0.6308,0.7881
467,0.8534,0.6308,0.7916
401,0.849,0.6308,0.7874
402,0.8498,0.6308,0.7909
338,0.8526,0.6305,0.7853
341,0.8526,0.6305,0.7867
329,0.8526,0.6305,0.7853
389,0.8462,0.6305,0.7824
324,0.8561,0.6305,0.7889
476,0.8519,0.6301,0.7909
419,0.8484,0.6301,0.7888
414,0.8477,0.6301,0.7895
430,0.8484,0.6301,0.7874
411,0.8477,0.6301,0.7895
417,0.8477,0.6301,0.7881
426,0.8491,0.6301,0.7895
448,0.8533,0.6298,0.7902
337,0.8526,0.6296,0.7875
301,0.854,0.6296,0.7917
318,0.8533,0.6296,0.7882
399,0.849,0.629,0.7853
471,0.8519,0.629,0.7909
441,0.8498,0.629,0.7902
395,0.8462,0.629,0.7852
325,0.8554,0.6288,0.7875
304,0.8519,0.6288,0.7917
