Model,GOF Recall,LOF Recall,Neutral Recall
1,0.95,0.01,0.26
7,0.84,0.53,0.78
11,0.84,0.54,0.79
10,0.84,0.53,0.78
9,0.84,0.53,0.78
8,0.84,0.54,0.78
12,0.84,0.55,0.8
6,0.84,0.53,0.78
5,0.84,0.53,0.78
4,0.84,0.57,0.72
18,0.83,0.57,0.8
19,0.83,0.57,0.8
3,0.82,0.6,0.57
13,0.82,0.55,0.79
14,0.82,0.55,0.79
15,0.82,0.56,0.79
16,0.82,0.56,0.79
17,0.82,0.56,0.8
20,0.81,0.56,0.8
21,0.8,0.57,0.8
24,0.79,0.59,0.81
27,0.79,0.58,0.81
22,0.79,0.58,0.8
23,0.79,0.58,0.81
26,0.78,0.58,0.81
163,0.78,0.85,0.92
164,0.78,0.85,0.92
162,0.78,0.85,0.92
160,0.78,0.85,0.91
25,0.78,0.58,0.81
167,0.78,0.85,0.91
320,0.77,0.87,0.92
177,0.77,0.86,0.92
176,0.77,0.86,0.91
174,0.77,0.86,0.92
175,0.77,0.86,0.92
317,0.77,0.87,0.92
316,0.77,0.87,0.92
173,0.77,0.86,0.92
172,0.77,0.86,0.92
324,0.77,0.87,0.92
231,0.77,0.87,0.91
335,0.77,0.87,0.92
325,0.77,0.87,0.92
326,0.77,0.87,0.91
327,0.77,0.88,0.92
328,0.77,0.87,0.92
329,0.77,0.87,0.92
330,0.77,0.87,0.91
331,0.77,0.87,0.92
179,0.77,0.86,0.91
333,0.77,0.87,0.91
334,0.77,0.87,0.91
312,0.77,0.87,0.92
336,0.77,0.87,0.92
313,0.77,0.87,0.92
296,0.77,0.87,0.92
310,0.77,0.87,0.92
295,0.77,0.88,0.92
245,0.77,0.87,0.91
152,0.77,0.85,0.91
238,0.77,0.87,0.91
234,0.77,0.87,0.91
287,0.77,0.87,0.92
288,0.77,0.87,0.92
289,0.77,0.87,0.92
290,0.77,0.87,0.91
161,0.77,0.85,0.92
293,0.77,0.87,0.92
338,0.77,0.87,0.92
170,0.77,0.85,0.92
297,0.77,0.87,0.92
298,0.77,0.87,0.92
299,0.77,0.87,0.92
165,0.77,0.85,0.92
302,0.77,0.87,0.92
166,0.77,0.85,0.92
305,0.77,0.87,0.92
306,0.77,0.87,0.92
168,0.77,0.85,0.92
169,0.77,0.85,0.92
180,0.77,0.86,0.92
347,0.77,0.87,0.92
339,0.77,0.87,0.92
362,0.77,0.87,0.92
184,0.77,0.86,0.92
365,0.77,0.87,0.92
366,0.77,0.87,0.92
367,0.77,0.87,0.92
368,0.77,0.87,0.92
369,0.77,0.88,0.92
181,0.77,0.86,0.92
371,0.77,0.87,0.92
372,0.77,0.87,0.92
228,0.77,0.87,0.91
374,0.77,0.87,0.91
226,0.77,0.87,0.91
225,0.77,0.87,0.91
217,0.77,0.87,0.92
216,0.77,0.87,0.91
