Model,micro_recall,macro_recall,confusion_matrix
1,0.5118,0.3644,"[[290, 49, 1000], [4, 2, 146], [113, 70, 1157]]"
2,0.5433,0.4800,"[[962, 192, 185], [10, 50, 92], [293, 521, 526]]"
3,0.6687,0.7024,"[[967, 73, 299], [12, 119, 21], [267, 266, 807]]"
4,0.6867,0.6937,"[[969, 52, 318], [12, 108, 32], [255, 218, 867]]"
5,0.6884,0.6658,"[[1067, 47, 225], [15, 93, 44], [338, 213, 789]]"
6,0.6839,0.6568,"[[1058, 39, 242], [14, 90, 48], [346, 206, 788]]"
7,0.7022,0.6561,"[[1073, 34, 232], [14, 83, 55], [332, 176, 832]]"
8,0.7036,0.6629,"[[1074, 32, 233], [13, 86, 53], [334, 174, 832]]"
9,0.7022,0.6561,"[[1065, 27, 247], [14, 83, 55], [331, 169, 840]]"
10,0.7167,0.6605,"[[1090, 24, 225], [13, 80, 59], [348, 133, 859]]"
11,0.7185,0.6656,"[[1088, 27, 224], [13, 82, 57], [343, 133, 864]]"
12,0.7220,0.6564,"[[1084, 24, 231], [14, 76, 62], [328, 128, 884]]"
13,0.7259,0.6630,"[[1091, 21, 227], [15, 78, 59], [329, 125, 886]]"
14,0.7294,0.6578,"[[1099, 18, 222], [16, 74, 62], [318, 130, 892]]"
15,0.7273,0.6368,"[[1098, 21, 220], [13, 64, 75], [329, 114, 897]]"
16,0.7305,0.6391,"[[1098, 20, 221], [14, 64, 74], [322, 112, 906]]"
17,0.7344,0.6457,"[[1092, 22, 225], [14, 66, 72], [325, 94, 921]]"
18,0.7330,0.6447,"[[1089, 22, 228], [15, 66, 71], [320, 100, 920]]"
19,0.7351,0.6423,"[[1097, 20, 222], [13, 64, 75], [334, 86, 920]]"
20,0.7344,0.6340,"[[1104, 18, 217], [13, 60, 79], [329, 96, 915]]"
21,0.7330,0.6369,"[[1105, 17, 217], [12, 62, 78], [335, 97, 908]]"
22,0.7404,0.6635,"[[1106, 18, 215], [13, 73, 66], [331, 92, 917]]"
23,0.7400,0.6749,"[[1110, 18, 211], [12, 79, 61], [338, 96, 906]]"
24,0.7347,0.6362,"[[1106, 16, 217], [13, 61, 78], [336, 91, 913]]"
25,0.7354,0.6445,"[[1108, 19, 212], [12, 65, 75], [336, 95, 909]]"
26,0.7308,0.6374,"[[1106, 19, 214], [12, 63, 77], [342, 98, 900]]"
27,0.7361,0.6236,"[[1116, 15, 208], [13, 54, 85], [336, 90, 914]]"
28,0.7333,0.6216,"[[1115, 14, 210], [14, 54, 84], [341, 92, 907]]"
29,0.7375,0.6343,"[[1117, 13, 209], [14, 59, 79], [342, 86, 912]]"
30,0.7390,0.6392,"[[1115, 11, 213], [13, 61, 78], [341, 83, 916]]"
31,0.8093,0.6926,"[[1228, 18, 93], [12, 63, 77], [262, 78, 1000]]"
32,0.8050,0.6799,"[[1219, 19, 101], [11, 58, 83], [256, 82, 1002]]"
33,0.8248,0.6997,"[[1217, 20, 102], [10, 61, 81], [191, 92, 1057]]"
34,0.8294,0.7068,"[[1219, 18, 102], [10, 63, 79], [186, 88, 1066]]"
35,0.8276,0.6997,"[[1218, 18, 103], [10, 60, 82], [190, 85, 1065]]"
36,0.8326,0.7071,"[[1221, 18, 100], [9, 62, 81], [187, 79, 1074]]"
37,0.8259,0.6926,"[[1224, 20, 95], [11, 57, 84], [183, 100, 1057]]"
38,0.8244,0.6294,"[[1221, 16, 102], [11, 25, 116], [184, 68, 1088]]"
39,0.8266,0.6329,"[[1222, 17, 100], [11, 26, 115], [185, 63, 1092]]"
40,0.8259,0.6304,"[[1218, 16, 105], [11, 25, 116], [182, 63, 1095]]"
41,0.8280,0.6241,"[[1224, 14, 101], [11, 21, 120], [181, 60, 1099]]"
42,0.8252,0.6222,"[[1224, 14, 101], [11, 21, 120], [182, 67, 1091]]"
43,0.8552,0.6433,"[[1215, 13, 111], [10, 21, 121], [91, 64, 1185]]"
44,0.8548,0.6430,"[[1217, 13, 109], [9, 21, 122], [92, 66, 1182]]"
