Model,GOF Recall,LOF Recall,Neutral Recall
1,0.01,0.86,0.22
2,0.33,0.39,0.72
3,0.78,0.6,0.72
4,0.71,0.65,0.72
5,0.61,0.59,0.8
6,0.59,0.59,0.79
7,0.55,0.62,0.8
8,0.57,0.62,0.8
9,0.55,0.63,0.8
10,0.53,0.64,0.81
11,0.54,0.64,0.81
12,0.5,0.66,0.81
13,0.51,0.66,0.81
14,0.49,0.67,0.82
15,0.42,0.67,0.82
16,0.42,0.68,0.82
17,0.43,0.69,0.82
18,0.43,0.69,0.81
19,0.42,0.69,0.82
20,0.39,0.68,0.82
21,0.41,0.68,0.83
22,0.48,0.68,0.83
23,0.52,0.68,0.83
24,0.4,0.68,0.83
25,0.43,0.68,0.83
26,0.41,0.67,0.83
27,0.36,0.68,0.83
28,0.36,0.68,0.83
29,0.39,0.68,0.83
30,0.4,0.68,0.83
31,0.41,0.75,0.92
32,0.38,0.75,0.91
33,0.4,0.79,0.91
34,0.41,0.8,0.91
35,0.39,0.79,0.91
36,0.41,0.8,0.91
37,0.38,0.79,0.91
38,0.16,0.81,0.91
39,0.17,0.81,0.91
40,0.16,0.82,0.91
41,0.14,0.82,0.91
42,0.14,0.81,0.91
43,0.14,0.88,0.91
44,0.14,0.88,0.91
45,0.17,0.88,0.91
46,0.16,0.88,0.91
47,0.15,0.88,0.91
48,0.12,0.87,0.91
49,0.12,0.88,0.91
50,0.14,0.88,0.91
51,0.13,0.88,0.91
52,0.14,0.88,0.91
53,0.16,0.89,0.91
54,0.16,0.89,0.91
55,0.17,0.89,0.91
56,0.18,0.89,0.91
57,0.12,0.89,0.91
58,0.12,0.9,0.91
59,0.14,0.9,0.91
60,0.16,0.91,0.91
61,0.18,0.9,0.91
62,0.18,0.9,0.91
63,0.18,0.9,0.91
64,0.26,0.91,0.91
65,0.22,0.9,0.91
66,0.21,0.91,0.91
67,0.19,0.92,0.91
68,0.2,0.91,0.91
69,0.13,0.92,0.91
70,0.22,0.91,0.91
71,0.22,0.91,0.91
72,0.24,0.92,0.91
73,0.42,0.91,0.91
74,0.43,0.91,0.91
75,0.4,0.91,0.91
76,0.47,0.91,0.91
77,0.47,0.91,0.91
78,0.49,0.91,0.91
79,0.53,0.91,0.91
80,0.48,0.91,0.91
81,0.44,0.92,0.91
82,0.48,0.92,0.91
83,0.53,0.92,0.91
84,0.45,0.92,0.91
85,0.41,0.92,0.91
86,0.41,0.92,0.91
87,0.43,0.91,0.91
88,0.4,0.92,0.91
89,0.41,0.92,0.91
90,0.44,0.92,0.91
91,0.44,0.92,0.91
92,0.44,0.92,0.91
93,0.45,0.92,0.91
94,0.42,0.92,0.91
95,0.47,0.92,0.91
96,0.43,0.92,0.91
97,0.45,0.92,0.91
98,0.46,0.91,0.91
99,0.45,0.91,0.91
100,0.44,0.91,0.91
101,0.46,0.91,0.91
102,0.49,0.91,0.91
103,0.48,0.91,0.91
104,0.48,0.91,0.92
105,0.53,0.92,0.92
106,0.51,0.91,0.91
107,0.55,0.92,0.92
108,0.55,0.92,0.91
109,0.58,0.92,0.92
110,0.57,0.92,0.91
111,0.59,0.92,0.92
112,0.61,0.92,0.92
113,0.62,0.92,0.92
114,0.57,0.92,0.91
115,0.6,0.91,0.91
116,0.6,0.91,0.91
117,0.53,0.92,0.92
118,0.56,0.91,0.92
119,0.62,0.92,0.92
120,0.61,0.91,0.92
121,0.59,0.91,0.92
122,0.62,0.91,0.92
123,0.61,0.92,0.92
124,0.62,0.91,0.92
125,0.62,0.91,0.92
126,0.66,0.91,0.92
127,0.64,0.91,0.92
128,0.65,0.91,0.92
129,0.62,0.91,0.92
130,0.62,0.91,0.92
131,0.64,0.91,0.91
132,0.66,0.91,0.92
133,0.65,0.91,0.92
134,0.66,0.91,0.92
135,0.66,0.91,0.92
136,0.64,0.91,0.92
137,0.64,0.91,0.92
138,0.65,0.91,0.92
139,0.65,0.91,0.92
140,0.66,0.91,0.91
141,0.66,0.91,0.92
142,0.66,0.91,0.92
143,0.63,0.91,0.92
144,0.63,0.91,0.92
145,0.64,0.91,0.92
146,0.65,0.91,0.92
147,0.64,0.91,0.92
148,0.68,0.91,0.92
149,0.61,0.92,0.92
150,0.62,0.91,0.92
151,0.6,0.91,0.92
152,0.59,0.92,0.92
153,0.59,0.91,0.92
