Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy,rank_sorted_roc
256,1,5.8,2.0,2.0,2.0,2.0,21.0
269,2,10.2,1.0,1.0,1.0,1.0,47.0
294,3,13.0,3.0,2.0,5.0,2.0,53.0
258,4,21.0,20.0,18.0,18.0,18.0,31.0
293,5,22.2,4.0,2.0,4.0,2.0,99.0
266,6,22.2,13.0,8.0,6.0,8.0,76.0
255,7,25.8,10.0,8.0,12.0,8.0,91.0
302,8,27.0,8.0,8.0,13.0,8.0,98.0
254,9,27.2,34.0,28.0,31.0,28.0,15.0
270,10,27.6,5.0,2.0,3.0,2.0,126.0
305,11,28.6,25.0,24.0,24.0,24.0,46.0
290,12,28.8,11.0,8.0,14.0,8.0,103.0
263,13,29.0,12.0,8.0,9.0,8.0,108.0
271,14,30.4,17.0,14.0,10.0,14.0,97.0
260,15,30.4,15.0,14.0,15.0,14.0,94.0
265,16,31.6,22.0,18.0,21.0,18.0,79.0
280,17,32.8,32.0,28.0,36.0,28.0,40.0
261,18,40.6,16.0,14.0,16.0,14.0,143.0
299,19,41.2,33.0,28.0,34.0,28.0,83.0
300,20,42.2,6.0,6.0,7.0,6.0,186.0
267,21,42.2,37.0,28.0,33.0,28.0,85.0
276,22,43.2,9.0,8.0,11.0,8.0,180.0
251,23,44.2,19.0,18.0,22.0,18.0,144.0
253,24,45.8,35.0,28.0,29.0,28.0,109.0
295,25,46.6,44.0,39.0,47.0,39.0,64.0
268,26,48.8,49.0,46.0,43.0,46.0,60.0
250,27,49.0,53.0,50.0,50.0,50.0,42.0
283,28,52.2,14.0,14.0,17.0,14.0,202.0
275,29,53.0,7.0,6.0,8.0,6.0,238.0
361,30,55.2,67.0,57.0,60.0,57.0,35.0
230,31,55.2,24.0,24.0,25.0,24.0,179.0
272,32,57.2,40.0,28.0,26.0,28.0,164.0
324,33,57.8,27.0,24.0,23.0,24.0,191.0
274,34,60.0,23.0,18.0,19.0,18.0,222.0
288,35,60.4,56.0,50.0,54.0,50.0,92.0
262,36,61.2,26.0,24.0,28.0,24.0,204.0
369,37,62.8,81.0,67.0,71.0,67.0,28.0
277,38,62.8,21.0,18.0,20.0,18.0,237.0
278,39,63.0,66.0,57.0,63.0,57.0,72.0
257,40,64.4,70.0,67.0,68.0,67.0,50.0
220,41,64.6,52.0,50.0,51.0,50.0,120.0
231,42,67.4,30.0,28.0,39.0,28.0,212.0
291,43,67.8,45.0,39.0,41.0,39.0,175.0
242,44,67.8,43.0,39.0,40.0,39.0,178.0
306,45,68.8,72.0,67.0,70.0,67.0,68.0
273,46,72.4,38.0,28.0,32.0,28.0,236.0
303,47,73.8,70.0,67.0,76.0,67.0,89.0
141,48,73.8,18.0,18.0,27.0,18.0,288.0
228,49,75.8,31.0,28.0,37.0,28.0,255.0
240,50,76.2,28.0,28.0,30.0,28.0,267.0
234,51,76.6,39.0,39.0,35.0,39.0,231.0
259,52,77.6,82.0,77.0,75.0,77.0,77.0
237,53,79.0,41.0,39.0,42.0,39.0,234.0
229,54,79.2,29.0,28.0,38.0,28.0,273.0
345,55,79.6,84.0,77.0,87.0,77.0,73.0
304,56,80.8,83.0,77.0,77.0,77.0,90.0
243,57,82.4,42.0,39.0,44.0,39.0,248.0
252,58,83.8,63.0,57.0,57.0,57.0,185.0
286,59,84.4,76.0,67.0,72.0,67.0,140.0
264,60,86.2,77.0,67.0,65.0,67.0,155.0
296,61,86.8,54.0,50.0,52.0,50.0,228.0
248,62,87.0,60.0,57.0,56.0,57.0,205.0
227,63,90.0,62.0,57.0,59.0,57.0,215.0
287,64,91.0,86.0,77.0,79.0,77.0,136.0
225,65,91.2,59.0,57.0,66.0,57.0,217.0
238,66,91.8,48.0,46.0,45.0,46.0,274.0
233,67,93.6,47.0,46.0,48.0,46.0,281.0
310,68,94.4,73.0,67.0,78.0,67.0,187.0
292,69,94.6,100.0,90.0,93.0,90.0,100.0
247,70,95.4,94.0,90.0,82.0,90.0,121.0
368,71,95.8,129.0,119.0,109.0,119.0,3.0
148,72,96.0,36.0,39.0,46.0,39.0,320.0
137,73,98.2,51.0,50.0,58.0,50.0,282.0
235,74,98.6,61.0,57.0,61.0,57.0,257.0
142,75,99.2,46.0,46.0,49.0,46.0,309.0
279,76,99.8,89.0,77.0,84.0,77.0,172.0
224,77,100.4,80.0,77.0,80.0,77.0,188.0
134,78,101.6,50.0,50.0,55.0,50.0,303.0
113,79,104.6,55.0,50.0,53.0,50.0,315.0
354,80,105.4,119.0,102.0,102.0,102.0,102.0
232,81,105.4,69.0,67.0,73.0,67.0,251.0
307,82,106.4,115.0,102.0,101.0,102.0,112.0
360,83,106.8,123.0,102.0,91.0,102.0,116.0
132,84,107.4,58.0,57.0,64.0,57.0,301.0
249,85,107.6,104.0,102.0,97.0,102.0,133.0
135,86,108.0,57.0,57.0,69.0,57.0,300.0
226,87,108.2,79.0,77.0,81.0,77.0,227.0
236,88,109.8,68.0,67.0,67.0,67.0,280.0
311,89,112.2,87.0,77.0,96.0,77.0,224.0
323,90,113.4,85.0,77.0,95.0,77.0,233.0
112,91,114.0,65.0,57.0,62.0,57.0,329.0
246,92,114.6,91.0,90.0,88.0,90.0,214.0
331,93,117.0,109.0,102.0,118.0,102.0,154.0
371,94,118.0,139.0,131.0,119.0,131.0,70.0
126,95,118.6,64.0,67.0,74.0,67.0,321.0
139,96,123.2,75.0,77.0,89.0,77.0,298.0
221,97,123.6,97.0,90.0,98.0,90.0,243.0
241,98,123.6,96.0,90.0,83.0,90.0,259.0
330,99,124.2,144.0,137.0,147.0,137.0,56.0
316,100,124.4,102.0,90.0,100.0,90.0,240.0
284,101,124.4,118.0,102.0,105.0,102.0,195.0
219,102,125.0,95.0,90.0,92.0,90.0,258.0
211,103,125.4,98.0,90.0,103.0,90.0,246.0
298,104,126.2,113.0,102.0,117.0,102.0,197.0
218,105,126.2,103.0,102.0,111.0,102.0,213.0
147,106,126.2,78.0,77.0,86.0,77.0,313.0
366,107,127.6,164.0,151.0,145.0,151.0,27.0
223,108,130.2,105.0,102.0,107.0,102.0,235.0
146,109,131.2,74.0,77.0,90.0,77.0,338.0
373,110,132.4,166.0,151.0,153.0,151.0,41.0
239,111,133.2,99.0,90.0,85.0,90.0,302.0
364,112,134.0,169.0,151.0,142.0,151.0,57.0
470,113,134.4,170.0,151.0,134.0,151.0,66.0
140,114,134.4,92.0,90.0,94.0,90.0,306.0
133,115,135.4,90.0,90.0,99.0,90.0,308.0
301,116,137.0,116.0,102.0,123.0,102.0,242.0
343,117,138.4,135.0,131.0,133.0,131.0,162.0
394,118,141.0,184.0,167.0,167.0,167.0,20.0
297,119,141.2,111.0,102.0,114.0,102.0,277.0
441,120,141.6,153.0,137.0,151.0,137.0,130.0
206,121,142.8,106.0,102.0,108.0,102.0,296.0
119,122,145.0,93.0,90.0,106.0,90.0,346.0
127,123,145.0,101.0,102.0,115.0,102.0,305.0
152,124,145.0,88.0,77.0,104.0,77.0,379.0
320,125,146.6,130.0,119.0,121.0,119.0,244.0
322,126,148.0,146.0,137.0,154.0,137.0,166.0
332,127,148.8,151.0,137.0,158.0,137.0,161.0
212,128,149.6,125.0,119.0,125.0,119.0,260.0
136,129,149.6,120.0,119.0,122.0,119.0,268.0
456,130,150.0,182.0,167.0,148.0,167.0,86.0
158,131,150.6,107.0,102.0,112.0,102.0,330.0
111,132,150.6,111.0,102.0,110.0,102.0,328.0
189,133,152.0,110.0,102.0,113.0,102.0,333.0
375,134,152.2,194.0,185.0,174.0,185.0,23.0
138,135,152.2,117.0,119.0,120.0,119.0,286.0
244,136,153.8,122.0,119.0,116.0,119.0,293.0
453,137,154.0,183.0,167.0,160.0,167.0,93.0
357,138,154.6,195.0,185.0,170.0,185.0,38.0
333,139,154.8,156.0,151.0,164.0,151.0,152.0
204,140,155.6,133.0,131.0,130.0,131.0,253.0
205,141,157.0,124.0,119.0,124.0,119.0,299.0
325,142,157.8,145.0,137.0,144.0,137.0,226.0
289,143,158.6,171.0,167.0,183.0,167.0,105.0
128,144,159.0,108.0,119.0,126.0,119.0,323.0
351,145,160.4,181.0,167.0,172.0,167.0,115.0
222,146,160.4,137.0,137.0,139.0,137.0,252.0
