Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
269,1,1.0,1.0,1.0,1.0,1.0
256,2,2.0,2.0,2.0,2.0,2.0
294,3,3.0,3.0,2.0,5.0,2.0
270,4,3.0,5.0,2.0,3.0,2.0
293,5,3.0,4.0,2.0,4.0,2.0
300,6,6.25,6.0,6.0,7.0,6.0
275,7,6.75,7.0,6.0,8.0,6.0
266,8,8.75,13.0,8.0,6.0,8.0
276,9,9.0,9.0,8.0,11.0,8.0
302,10,9.25,8.0,8.0,13.0,8.0
263,11,9.25,12.0,8.0,9.0,8.0
255,12,9.5,10.0,8.0,12.0,8.0
290,13,10.25,11.0,8.0,14.0,8.0
271,14,13.75,17.0,14.0,10.0,14.0
260,15,14.5,15.0,14.0,15.0,14.0
283,16,14.75,14.0,14.0,17.0,14.0
261,17,15.0,16.0,14.0,16.0,14.0
258,18,18.5,20.0,18.0,18.0,18.0
277,19,19.25,21.0,18.0,20.0,18.0
251,20,19.25,19.0,18.0,22.0,18.0
274,21,19.5,23.0,18.0,19.0,18.0
265,22,19.75,22.0,18.0,21.0,18.0
141,23,20.25,18.0,18.0,27.0,18.0
230,24,24.25,24.0,24.0,25.0,24.0
305,25,24.25,25.0,24.0,24.0,24.0
324,26,24.5,27.0,24.0,23.0,24.0
262,27,25.5,26.0,24.0,28.0,24.0
240,28,28.5,28.0,28.0,30.0,28.0
253,29,30.0,35.0,28.0,29.0,28.0
254,30,30.25,34.0,28.0,31.0,28.0
272,31,30.5,40.0,28.0,26.0,28.0
229,32,30.75,29.0,28.0,38.0,28.0
299,33,30.75,33.0,28.0,34.0,28.0
280,34,31.0,32.0,28.0,36.0,28.0
228,35,31.0,31.0,28.0,37.0,28.0
231,36,31.25,30.0,28.0,39.0,28.0
267,37,31.5,37.0,28.0,33.0,28.0
273,38,31.5,38.0,28.0,32.0,28.0
234,39,38.0,39.0,39.0,35.0,39.0
148,40,40.0,36.0,39.0,46.0,39.0
237,41,40.25,41.0,39.0,42.0,39.0
242,42,40.25,43.0,39.0,40.0,39.0
243,43,41.0,42.0,39.0,44.0,39.0
291,44,41.0,45.0,39.0,41.0,39.0
295,45,42.25,44.0,39.0,47.0,39.0
268,46,46.0,49.0,46.0,43.0,46.0
238,47,46.25,48.0,46.0,45.0,46.0
142,48,46.75,46.0,46.0,49.0,46.0
233,49,46.75,47.0,46.0,48.0,46.0
250,50,50.75,53.0,50.0,50.0,50.0
220,51,50.75,52.0,50.0,51.0,50.0
134,52,51.25,50.0,50.0,55.0,50.0
296,53,51.5,54.0,50.0,52.0,50.0
113,54,52.0,55.0,50.0,53.0,50.0
137,55,52.25,51.0,50.0,58.0,50.0
288,56,52.5,56.0,50.0,54.0,50.0
248,57,57.5,60.0,57.0,56.0,57.0
252,58,58.5,63.0,57.0,57.0,57.0
227,59,58.75,62.0,57.0,59.0,57.0
235,60,59.0,61.0,57.0,61.0,57.0
132,61,59.0,58.0,57.0,64.0,57.0
225,62,59.75,59.0,57.0,66.0,57.0
135,63,60.0,57.0,57.0,69.0,57.0
112,64,60.25,65.0,57.0,62.0,57.0
361,65,60.25,67.0,57.0,60.0,57.0
278,66,60.75,66.0,57.0,63.0,57.0
236,67,67.25,68.0,67.0,67.0,67.0
257,68,68.0,70.0,67.0,68.0,67.0
