Model,Neutral MCC,GOF MCC,LOF MCC
1,0.1966,-0.0348,0.1215
2,0.5175,0.0319,0.229
3,0.5383,0.4018,0.3954
4,0.5484,0.4041,0.4158
5,0.5595,0.3512,0.4215
6,0.5481,0.3494,0.4047
7,0.5686,0.3461,0.4375
8,0.5687,0.3623,0.4383
9,0.5633,0.3576,0.4319
10,0.5714,0.3807,0.4585
11,0.5732,0.3868,0.4642
12,0.5795,0.3672,0.4692
13,0.5834,0.383,0.4758
14,0.5961,0.3619,0.4815
15,0.59,0.3268,0.4769
16,0.594,0.3301,0.4832
17,0.5875,0.3593,0.4922
18,0.5879,0.3519,0.4901
19,0.586,0.3619,0.4915
20,0.5945,0.3305,0.4887
21,0.592,0.3411,0.4846
22,0.5947,0.4026,0.5011
23,0.5938,0.4268,0.5001
24,0.5914,0.3448,0.4881
25,0.5936,0.3567,0.4911
26,0.5882,0.3425,0.4819
27,0.599,0.3094,0.4902
28,0.5943,0.3082,0.4846
29,0.5952,0.3449,0.4925
30,0.595,0.3629,0.4931
31,0.7338,0.3707,0.6411
32,0.7313,0.3367,0.6318
33,0.773,0.3383,0.6703
34,0.7779,0.3567,0.678
35,0.7745,0.3448,0.6744
36,0.7794,0.3639,0.6835
37,0.7829,0.3074,0.6732
38,0.78,0.156,0.6668
39,0.7801,0.1676,0.6717
40,0.7791,0.1617,0.6696
41,0.7843,0.1384,0.6725
42,0.7836,0.1305,0.6668
43,0.8406,0.1349,0.7277
44,0.842,0.1327,0.7261
45,0.8405,0.1713,0.731
46,0.8399,0.1558,0.7269
47,0.8434,0.1418,0.725
48,0.8398,0.1071,0.7173
49,0.8377,0.108,0.7175
50,0.8391,0.1254,0.7196
51,0.8406,0.1297,0.7229
52,0.8377,0.1338,0.7199
53,0.842,0.188,0.7401
54,0.8398,0.1831,0.7343
55,0.8405,0.1937,0.7369
56,0.8356,0.2129,0.7377
57,0.8363,0.1476,0.7355
58,0.8405,0.1538,0.7413
59,0.8455,0.174,0.7476
60,0.8469,0.2084,0.7514
61,0.8483,0.2223,0.7492
62,0.8427,0.2222,0.7516
63,0.8462,0.2299,0.7518
64,0.8391,0.3455,0.7588
65,0.8405,0.2925,0.7559
66,0.842,0.2825,0.7548
67,0.8462,0.2749,0.7646
68,0.842,0.3006,0.7598
69,0.8434,0.2173,0.7529
70,0.8448,0.3177,0.7599
71,0.8483,0.3284,0.7635
72,0.8469,0.3532,0.7672
73,0.8476,0.5035,0.7826
74,0.849,0.5364,0.7877
75,0.8469,0.5082,0.7809
76,0.8455,0.5533,0.7872
77,0.8441,0.5474,0.7859
78,0.8462,0.5762,0.7883
79,0.8441,0.6028,0.7901
80,0.8462,0.5647,0.7902
81,0.8491,0.5355,0.7887
82,0.847,0.5678,0.7894
83,0.8498,0.6089,0.796
84,0.8441,0.5573,0.7882
85,0.8462,0.5262,0.7849
86,0.8484,0.5366,0.7879
87,0.8441,0.5396,0.7824
88,0.8469,0.5217,0.7842
89,0.8469,0.5262,0.7884
90,0.8469,0.5451,0.7889
91,0.8455,0.5485,0.7879
92,0.8455,0.5519,0.7872
93,0.8441,0.5696,0.7886
94,0.8455,0.5531,0.7874
95,0.8469,0.5769,0.7905
96,0.849,0.5569,0.7909
97,0.849,0.5661,0.7914
98,0.8469,0.5614,0.7877
99,0.8469,0.5627,0.7884
100,0.849,0.5386,0.7877
