Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
1,0.02,0.5,0.71,0.01,0.86,0.22,0.1966,-0.0348,0.1215,0.01,0.64,0.33
2,0.07,0.66,0.76,0.33,0.39,0.72,0.5175,0.0319,0.229,0.11,0.49,0.74
3,0.26,0.72,0.78,0.78,0.6,0.72,0.5383,0.4018,0.3954,0.39,0.65,0.75
4,0.29,0.71,0.78,0.71,0.65,0.72,0.5484,0.4041,0.4158,0.41,0.68,0.75
5,0.26,0.75,0.75,0.61,0.59,0.8,0.5595,0.3512,0.4215,0.37,0.66,0.77
6,0.27,0.73,0.75,0.59,0.59,0.79,0.5481,0.3494,0.4047,0.37,0.65,0.77
7,0.28,0.74,0.76,0.55,0.62,0.8,0.5686,0.3461,0.4375,0.37,0.68,0.78
8,0.29,0.74,0.76,0.57,0.62,0.8,0.5687,0.3623,0.4383,0.39,0.68,0.78
9,0.3,0.74,0.76,0.55,0.63,0.8,0.5633,0.3576,0.4319,0.39,0.68,0.77
10,0.34,0.75,0.75,0.53,0.64,0.81,0.5714,0.3807,0.4585,0.41,0.69,0.78
11,0.34,0.75,0.75,0.54,0.64,0.81,0.5732,0.3868,0.4642,0.42,0.7,0.78
12,0.33,0.75,0.76,0.5,0.66,0.81,0.5795,0.3672,0.4692,0.4,0.7,0.78
13,0.35,0.76,0.76,0.51,0.66,0.81,0.5834,0.383,0.4758,0.41,0.71,0.79
14,0.33,0.76,0.77,0.49,0.67,0.82,0.5961,0.3619,0.4815,0.4,0.71,0.79
15,0.32,0.75,0.76,0.42,0.67,0.82,0.59,0.3268,0.4769,0.36,0.71,0.79
16,0.33,0.75,0.77,0.42,0.68,0.82,0.594,0.3301,0.4832,0.37,0.71,0.79
17,0.36,0.76,0.76,0.43,0.69,0.82,0.5875,0.3593,0.4922,0.4,0.72,0.79
18,0.35,0.75,0.76,0.43,0.69,0.81,0.5879,0.3519,0.4901,0.39,0.72,0.79
19,0.38,0.76,0.76,0.42,0.69,0.82,0.586,0.3619,0.4915,0.4,0.72,0.79
20,0.34,0.76,0.76,0.39,0.68,0.82,0.5945,0.3305,0.4887,0.37,0.72,0.79
21,0.35,0.75,0.76,0.41,0.68,0.83,0.592,0.3411,0.4846,0.38,0.71,0.79
22,0.4,0.77,0.76,0.48,0.68,0.83,0.5947,0.4026,0.5011,0.44,0.72,0.79
23,0.41,0.77,0.76,0.52,0.68,0.83,0.5938,0.4268,0.5001,0.46,0.72,0.79
24,0.36,0.76,0.76,0.4,0.68,0.83,0.5914,0.3448,0.4881,0.38,0.72,0.79
25,0.36,0.76,0.76,0.43,0.68,0.83,0.5936,0.3567,0.4911,0.39,0.72,0.79
26,0.35,0.76,0.76,0.41,0.67,0.83,0.5882,0.3425,0.4819,0.38,0.71,0.79
27,0.34,0.76,0.76,0.36,0.68,0.83,0.599,0.3094,0.4902,0.35,0.72,0.8
28,0.34,0.76,0.76,0.36,0.68,0.83,0.5943,0.3082,0.4846,0.35,0.71,0.79
29,0.37,0.76,0.76,0.39,0.68,0.83,0.5952,0.3449,0.4925,0.38,0.72,0.79
