Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
1,0.02,0.5,0.71,0.01,0.86,0.22,0.1966,-0.0348,0.1215,0.01,0.64,0.33,0.5519279396926686,0.06139758899560973,0.5107359755182749
2,0.07,0.66,0.76,0.33,0.39,0.72,0.5175,0.0319,0.229,0.11,0.49,0.74,0.7367858977105541,0.07548241505735771,0.6227231154461366
3,0.26,0.72,0.78,0.78,0.6,0.72,0.5383,0.4018,0.3954,0.39,0.65,0.75,0.7705841247350347,0.270400727581667,0.6816381424901706
4,0.29,0.71,0.78,0.71,0.65,0.72,0.5484,0.4041,0.4158,0.41,0.68,0.75,0.8116360962351962,0.2569669860383376,0.7081997511975782
5,0.26,0.75,0.75,0.61,0.59,0.8,0.5595,0.3512,0.4215,0.37,0.66,0.77,0.8416037406698827,0.2721360365428195,0.7824366232088602
6,0.27,0.73,0.75,0.59,0.59,0.79,0.5481,0.3494,0.4047,0.37,0.65,0.77,0.8437852619094982,0.26020389908285657,0.7781250955993431
7,0.28,0.74,0.76,0.55,0.62,0.8,0.5686,0.3461,0.4375,0.37,0.68,0.78,0.8461927202929702,0.26245380968038284,0.7905356659133556
8,0.29,0.74,0.76,0.57,0.62,0.8,0.5687,0.3623,0.4383,0.39,0.68,0.78,0.8467451387481623,0.27181547559816793,0.7925003394475252
9,0.3,0.74,0.76,0.55,0.63,0.8,0.5633,0.3576,0.4319,0.39,0.68,0.77,0.8456385465792972,0.2845374497488155,0.7941856721006202
10,0.34,0.75,0.75,0.53,0.64,0.81,0.5714,0.3807,0.4585,0.41,0.69,0.78,0.8459856122917957,0.29819817625169803,0.7996909963885727
11,0.34,0.75,0.75,0.54,0.64,0.81,0.5732,0.3868,0.4642,0.42,0.7,0.78,0.848430030090248,0.30873223374637965,0.8025651620009451
12,0.33,0.75,0.76,0.5,0.66,0.81,0.5795,0.3672,0.4692,0.4,0.7,0.78,0.8501701233317163,0.30576799864564547,0.808651239109639
13,0.35,0.76,0.76,0.51,0.66,0.81,0.5834,0.383,0.4758,0.41,0.71,0.79,0.8487456278196704,0.31642907493436284,0.8100214417234806
14,0.33,0.76,0.77,0.49,0.67,0.82,0.5961,0.3619,0.4815,0.4,0.71,0.79,0.8507812924873449,0.31370835018823345,0.8108089533458642
15,0.32,0.75,0.76,0.42,0.67,0.82,0.59,0.3268,0.4769,0.36,0.71,0.79,0.8531119165565075,0.2980008865818545,0.8091216010196134
16,0.33,0.75,0.77,0.42,0.68,0.82,0.594,0.3301,0.4832,0.37,0.71,0.79,0.8526061959113447,0.3055555754316085,0.8089931237770185
17,0.36,0.76,0.76,0.43,0.69,0.82,0.5875,0.3593,0.4922,0.4,0.72,0.79,0.8528778295444727,0.3031720176529472,0.8078822235009485
18,0.35,0.75,0.76,0.43,0.69,0.81,0.5879,0.3519,0.4901,0.39,0.72,0.79,0.8534744935219575,0.31276170570374645,0.8086782791323723
19,0.38,0.76,0.76,0.42,0.69,0.82,0.586,0.3619,0.4915,0.4,0.72,0.79,0.8562820088063278,0.3185364020092162,0.8100393515694232
20,0.34,0.76,0.76,0.39,0.68,0.82,0.5945,0.3305,0.4887,0.37,0.72,0.79,0.8561244734776765,0.3072885627583439,0.8120827541436136
21,0.35,0.75,0.76,0.41,0.68,0.83,0.592,0.3411,0.4846,0.38,0.71,0.79,0.8573683580160165,0.3047189718849375,0.8150678126912148
22,0.4,0.77,0.76,0.48,0.68,0.83,0.5947,0.4026,0.5011,0.44,0.72,0.79,0.8559628092013132,0.32267639090665134,0.8220054098140195
23,0.41,0.77,0.76,0.52,0.68,0.83,0.5938,0.4268,0.5001,0.46,0.72,0.79,0.8545609237434648,0.32662510690493607,0.8210438511049674
