Model,GOF Precision,LOF Precision,Neutral Precision
269,0.89,0.89,0.93
266,0.88,0.88,0.93
271,0.88,0.88,0.93
272,0.87,0.88,0.93
270,0.87,0.89,0.93
256,0.87,0.89,0.93
274,0.87,0.89,0.93
268,0.86,0.88,0.93
324,0.86,0.88,0.93
277,0.86,0.89,0.93
263,0.86,0.88,0.93
260,0.86,0.89,0.93
258,0.86,0.89,0.93
253,0.86,0.89,0.93
305,0.85,0.88,0.93
293,0.85,0.89,0.93
254,0.85,0.89,0.93
360,0.85,0.88,0.93
470,0.85,0.87,0.93
364,0.85,0.88,0.93
368,0.85,0.88,0.93
276,0.85,0.89,0.93
370,0.85,0.87,0.93
255,0.85,0.89,0.93
261,0.85,0.89,0.93
371,0.85,0.88,0.93
264,0.85,0.88,0.93
265,0.85,0.89,0.93
273,0.85,0.88,0.93
369,0.84,0.88,0.93
291,0.84,0.88,0.93
361,0.84,0.88,0.93
357,0.84,0.88,0.92
378,0.84,0.87,0.92
381,0.84,0.88,0.93
456,0.84,0.87,0.93
283,0.84,0.88,0.93
262,0.84,0.89,0.93
275,0.84,0.89,0.93
267,0.84,0.89,0.93
251,0.84,0.89,0.93
465,0.84,0.87,0.93
234,0.84,0.89,0.93
259,0.83,0.88,0.93
366,0.83,0.88,0.93
252,0.83,0.88,0.93
257,0.83,0.88,0.93
290,0.83,0.88,0.93
278,0.83,0.88,0.93
113,0.83,0.88,0.93
112,0.83,0.89,0.93
372,0.83,0.87,0.93
375,0.83,0.88,0.93
363,0.83,0.88,0.93
242,0.83,0.88,0.93
286,0.83,0.88,0.93
239,0.83,0.88,0.93
354,0.83,0.88,0.93
238,0.83,0.88,0.93
320,0.83,0.88,0.93
307,0.83,0.88,0.93
302,0.83,0.89,0.93
300,0.83,0.89,0.93
299,0.83,0.89,0.93
294,0.83,0.89,0.93
408,0.83,0.87,0.93
284,0.83,0.88,0.93
292,0.83,0.88,0.93
394,0.83,0.87,0.93
250,0.83,0.89,0.93
349,0.83,0.88,0.93
453,0.83,0.87,0.93
419,0.83,0.87,0.93
451,0.83,0.87,0.93
463,0.83,0.87,0.93
249,0.82,0.88,0.93
154,0.82,0.88,0.92
296,0.82,0.88,0.93
477,0.82,0.87,0.93
478,0.82,0.87,0.93
304,0.82,0.88,0.93
191,0.82,0.88,0.93
306,0.82,0.88,0.93
316,0.82,0.88,0.93
443,0.82,0.87,0.93
343,0.82,0.88,0.93
248,0.82,0.88,0.93
348,0.82,0.87,0.92
350,0.82,0.87,0.92
351,0.82,0.88,0.93
489,0.82,0.87,0.93
353,0.82,0.88,0.92
356,0.82,0.87,0.93
358,0.82,0.87,0.93
429,0.82,0.87,0.93
295,0.82,0.89,0.93
460,0.82,0.87,0.93
288,0.82,0.88,0.93
287,0.82,0.88,0.93
247,0.82,0.88,0.93
279,0.82,0.88,0.93
243,0.82,0.88,0.93
241,0.82,0.88,0.93
240,0.82,0.88,0.93
468,0.82,0.87,0.93
237,0.82,0.89,0.93
236,0.82,0.88,0.93
464,0.82,0.87,0.93
233,0.82,0.89,0.93
231,0.82,0.89,0.93
230,0.82,0.89,0.93
228,0.82,0.89,0.93
280,0.82,0.89,0.93
220,0.82,0.88,0.93
282,0.82,0.88,0.93
367,0.82,0.87,0.93
365,0.82,0.88,0.93
174,0.82,0.88,0.93
377,0.82,0.87,0.92
416,0.82,0.87,0.93
390,0.82,0.87,0.93
109,0.82,0.88,0.93
392,0.82,0.87,0.93
110,0.82,0.88,0.92
111,0.82,0.88,0.93
422,0.82,0.87,0.93
412,0.82,0.87,0.93
387,0.82,0.87,0.93
373,0.82,0.88,0.93
414,0.82,0.87,0.93
402,0.82,0.87,0.93
315,0.81,0.88,0.93
312,0.81,0.87,0.92
229,0.81,0.89,0.93
466,0.81,0.87,0.93
170,0.81,0.88,0.92
317,0.81,0.88,0.93
374,0.81,0.87,0.93
232,0.81,0.88,0.93
393,0.81,0.87,0.93
227,0.81,0.88,0.93
395,0.81,0.87,0.93
235,0.81,0.88,0.93
400,0.81,0.87,0.93
224,0.81,0.88,0.93
310,0.81,0.88,0.93
303,0.81,0.88,0.93
462,0.81,0.87,0.93
386,0.81,0.87,0.93
204,0.81,0.88,0.93
297,0.81,0.88,0.93
298,0.81,0.88,0.93
219,0.81,0.88,0.93
281,0.81,0.88,0.93
309,0.81,0.88,0.93
223,0.81,0.88,0.93
190,0.81,0.88,0.93
189,0.81,0.88,0.93
417,0.81,0.87,0.93
398,0.81,0.87,0.93
185,0.81,0.88,0.92
321,0.81,0.88,0.92
385,0.81,0.87,0.93
141,0.81,0.89,0.93
362,0.81,0.87,0.93
434,0.81,0.87,0.93
485,0.81,0.87,0.93
352,0.81,0.88,0.92
483,0.81,0.87,0.93
441,0.81,0.87,0.93
347,0.81,0.87,0.93
359,0.81,0.87,0.93
345,0.81,0.88,0.93
476,0.81,0.86,0.93
432,0.81,0.87,0.93
475,0.81,0.87,0.93
158,0.81,0.88,0.93
498,0.81,0.87,0.93
492,0.81,0.87,0.93
107,0.81,0.88,0.93
325,0.81,0.88,0.93
401,0.81,0.87,0.93
334,0.81,0.88,0.93
461,0.8,0.87,0.93
221,0.8,0.88,0.93
285,0.8,0.88,0.93
217,0.8,0.88,0.93
388,0.8,0.87,0.92
496,0.8,0.87,0.93
494,0.8,0.87,0.93
490,0.8,0.87,0.93
491,0.8,0.87,0.93
409,0.8,0.87,0.93
384,0.8,0.87,0.92
486,0.8,0.87,0.93
484,0.8,0.87,0.93
226,0.8,0.88,0.93
482,0.8,0.87,0.93
481,0.8,0.87,0.93
406,0.8,0.87,0.92
474,0.8,0.87,0.93
473,0.8,0.87,0.93
472,0.8,0.87,0.93
404,0.8,0.87,0.93
403,0.8,0.87,0.93
246,0.8,0.88,0.93
396,0.8,0.87,0.92
244,0.8,0.88,0.93
379,0.8,0.88,0.93
411,0.8,0.87,0.93
382,0.8,0.88,0.92
323,0.8,0.88,0.93
341,0.8,0.88,0.93
173,0.8,0.88,0.93
171,0.8,0.88,0.93
319,0.8,0.88,0.92
421,0.8,0.87,0.93
137,0.8,0.89,0.93
437,0.8,0.86,0.93
346,0.8,0.87,0.93
314,0.8,0.88,0.93
328,0.8,0.88,0.93
344,0.8,0.88,0.93
330,0.8,0.88,0.92
331,0.8,0.88,0.93
332,0.8,0.88,0.93
335,0.8,0.88,0.93
418,0.8,0.87,0.93
175,0.8,0.88,0.93
410,0.8,0.87,0.93
115,0.8,0.88,0.92
376,0.8,0.87,0.92
455,0.8,0.87,0.93
206,0.8,0.88,0.93
202,0.8,0.88,0.93
423,0.8,0.87,0.93
424,0.8,0.87,0.93
452,0.8,0.87,0.93
431,0.8,0.87,0.93
450,0.8,0.87,0.93
428,0.8,0.87,0.93
449,0.8,0.87,0.93
116,0.8,0.88,0.92
311,0.8,0.89,0.93
180,0.8,0.88,0.93
342,0.8,0.88,0.92
355,0.79,0.88,0.93
