feature0,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.7495857,0.0014904881,0.24892382
25547,Neutral,0.7668227,0.0015541108,0.23162316
25548,Neutral,0.6927103,0.0016674157,0.30562228
25549,LOF,0.47033465,0.0027889055,0.5268764
25550,LOF,0.48161072,0.0061699795,0.5122193
25551,LOF,0.42809138,0.00560337,0.5663053
25552,Neutral,0.51366746,0.0039591724,0.48237336
25553,Neutral,0.9430817,0.00079630665,0.056122
25554,Neutral,0.67445725,0.0029060985,0.32263666
25555,LOF,0.45655888,0.0041844784,0.53925663
25556,Neutral,0.7783188,0.0018330103,0.21984817
25557,LOF,0.34313014,0.004420731,0.65244913
25558,Neutral,0.7406224,0.0026597313,0.25671783
25559,LOF,0.032828115,0.0051145125,0.96205735
25560,LOF,0.010435626,0.0053995145,0.9841649
25561,LOF,0.029734388,0.011143558,0.95912206
25562,LOF,0.005987459,0.0020013077,0.99201125
25563,LOF,0.013697206,0.0017630173,0.9845398
25564,LOF,0.0887156,0.009477311,0.9018071
25565,LOF,0.047924083,0.03040325,0.9216727
25566,GOF,0.015846984,0.67437786,0.30977517
25567,LOF,0.009959092,0.015061015,0.9749799
25568,LOF,0.025833419,0.0028964418,0.9712702
25569,LOF,0.011982391,0.0016551048,0.9863625
25570,LOF,0.0055326065,0.0050240667,0.9894433
25571,LOF,0.0039924956,0.0041513643,0.9918561
25572,LOF,0.0061297594,0.015498459,0.9783718
25573,LOF,0.002101643,0.0040019294,0.9938964
25574,LOF,0.0016808335,0.014479787,0.9838394
25575,LOF,0.005478817,0.0064427517,0.9880784
25576,LOF,0.002069125,0.01612696,0.9818039
25577,LOF,0.0020221532,0.020743622,0.97723424
25578,LOF,0.24282032,0.0044892356,0.75269043
25579,LOF,0.07691969,0.0030886855,0.9199917
25580,LOF,0.0043111425,0.0016685248,0.99402034
25581,LOF,0.006360305,0.0030913188,0.99054843
25582,LOF,0.0067196805,0.0022128988,0.99106747
25583,LOF,0.010708747,0.0066913455,0.9825999
25584,Neutral,0.77795213,0.0075603896,0.21448751
25585,LOF,0.0015766347,0.01973501,0.97868836
25586,LOF,0.00440117,0.0067236735,0.98887515
25587,LOF,0.0032794827,0.0025862188,0.99413437
25588,LOF,0.0037420436,0.003883943,0.992374
25589,Neutral,0.9426861,0.011740132,0.045573745
25590,LOF,0.00213615,0.015451296,0.9824126
25591,LOF,0.051481575,0.003891201,0.9446272
25592,LOF,0.03231422,0.032985833,0.93469995
25593,LOF,0.006335733,0.03834776,0.9553165
25594,LOF,0.005648603,0.0042679915,0.99008334
25595,LOF,0.05859324,0.0041433442,0.9372634
25596,LOF,0.006646327,0.0022345704,0.9911191
25597,LOF,0.0030360997,0.0023536517,0.9946102
25598,LOF,0.024120875,0.0026915236,0.9731876
25599,LOF,0.002755339,0.12885304,0.8683916
25600,LOF,0.026158296,0.24527429,0.7285674
25601,LOF,0.0022461333,0.032851603,0.96490234
25602,LOF,0.0054987953,0.009399644,0.9851016
25603,LOF,0.07165236,0.009951987,0.9183957
25604,LOF,0.0034239625,0.019067775,0.97750825
25605,LOF,0.005140391,0.04084953,0.9540101
25606,LOF,0.1088211,0.17206737,0.7191115
25607,LOF,0.0008363723,0.017542982,0.9816206
25608,LOF,0.015208278,0.027434357,0.95735735
25609,LOF,0.073570006,0.08057054,0.84585947
25610,LOF,0.0022689125,0.001482458,0.99624866
25611,LOF,0.0013013388,0.002038281,0.99666035
25612,LOF,0.005268618,0.00214172,0.9925896
25613,LOF,0.005556132,0.0041096113,0.9903342
25614,LOF,0.0076044733,0.0062103085,0.98618525
25615,LOF,0.002582304,0.007510917,0.98990685
25616,LOF,0.027518319,0.010742454,0.96173924
25617,LOF,0.026973804,0.006527025,0.9664992
25618,LOF,0.05076303,0.048892234,0.9003447
