feature0,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.75228405,0.0040064133,0.24370953
25547,Neutral,0.7123021,0.00430033,0.28339756
25548,Neutral,0.72661704,0.0030591136,0.27032384
25549,Neutral,0.6736303,0.003150319,0.32321942
25550,Neutral,0.4960852,0.014800053,0.4891147
25551,LOF,0.4013091,0.013431153,0.5852598
25552,LOF,0.20928098,0.010544219,0.7801748
25553,Neutral,0.93403924,0.0024002274,0.063560665
25554,LOF,0.20466104,0.009900804,0.7854381
25555,LOF,0.11294715,0.005943538,0.8811093
25556,Neutral,0.57274544,0.0059670145,0.4212875
25557,LOF,0.10446805,0.0060130744,0.8895189
25558,LOF,0.2215149,0.010842829,0.7676423
25559,LOF,0.12747231,0.006238835,0.8662889
25560,LOF,0.013327689,0.013177688,0.9734946
25561,LOF,0.053947862,0.026348408,0.9197038
25562,LOF,0.018162366,0.008323501,0.97351414
25563,LOF,0.040834885,0.0073916013,0.9517735
25564,LOF,0.16179167,0.031680226,0.80652803
25565,LOF,0.09936151,0.03800025,0.86263824
25566,LOF,0.021214923,0.46360207,0.51518303
25567,LOF,0.0026535855,0.003034873,0.9943116
25568,LOF,0.014946803,0.0039649266,0.9810883
25569,LOF,0.008253892,0.0019838898,0.98976225
25570,LOF,0.04013013,0.009147735,0.9507221
25571,LOF,0.039620932,0.007048019,0.95333105
25572,LOF,0.01822718,0.017421557,0.96435124
25573,LOF,0.0014483547,0.004250939,0.9943007
25574,LOF,0.0012550915,0.0036352363,0.9951096
25575,LOF,0.054339096,0.008364527,0.9372964
25576,LOF,0.004015083,0.0074136895,0.9885712
25577,LOF,0.0029414352,0.015580029,0.9814786
25578,LOF,0.18502244,0.009441055,0.8055365
25579,LOF,0.18120623,0.007894441,0.8108994
25580,LOF,0.03289027,0.0071601644,0.9599496
25581,LOF,0.007257911,0.0030241653,0.98971796
25582,LOF,0.0063318186,0.0020104218,0.9916578
25583,LOF,0.06742542,0.0075903144,0.9249842
25584,Neutral,0.7059461,0.0062450673,0.2878088
25585,LOF,0.0029190448,0.010570088,0.9865109
25586,LOF,0.015600809,0.00345863,0.9809405
25587,LOF,0.015770392,0.0031149366,0.9811147
25588,LOF,0.028334536,0.0066418336,0.96502364
25589,Neutral,0.8192109,0.011618089,0.16917095
25590,LOF,0.0051822406,0.015524809,0.979293
25591,LOF,0.042196516,0.0024993059,0.95530415
25592,LOF,0.08537386,0.034808625,0.87981755
25593,LOF,0.00909468,0.045841943,0.94506335
25594,LOF,0.008110146,0.024151824,0.96773803
25595,LOF,0.052091625,0.05029796,0.89761037
25596,LOF,0.021217689,0.05342309,0.9253592
25597,LOF,0.008108156,0.017897444,0.97399443
25598,LOF,0.015837546,0.024941655,0.95922077
25599,GOF,0.0071110968,0.50497276,0.48791614
25600,LOF,0.004977352,0.24374652,0.75127614
25601,LOF,0.0020081098,0.12617067,0.8718212
25602,LOF,0.019033797,0.029067732,0.95189846
25603,LOF,0.024857469,0.008019505,0.967123
25604,LOF,0.0041725636,0.024686329,0.9711411
25605,LOF,0.0038604946,0.056374144,0.9397654
25606,GOF,0.040635012,0.48486486,0.47450012
25607,LOF,0.000318112,0.024842888,0.97483903
25608,LOF,0.18652947,0.027306555,0.7861639
25609,LOF,0.09365309,0.13075227,0.7755946
25610,LOF,0.01936491,0.0018068879,0.97882825
25611,LOF,0.02603702,0.0016452816,0.97231776
25612,LOF,0.043064404,0.004175603,0.95276004
25613,LOF,0.022909252,0.007371649,0.96971905
25614,LOF,0.021120206,0.0022615108,0.9766183
25615,LOF,0.0076186806,0.0043743057,0.98800695
25616,LOF,0.016826693,0.003502587,0.97967076
25617,LOF,0.019233368,0.004251221,0.9765154
25618,LOF,0.3673216,0.014975548,0.6177028
25619,LOF,0.011545114,0.0014441359,0.9870107
25620,LOF,0.017192282,0.003327853,0.97947985
25621,LOF,0.011029838,0.0042225537,0.9847476
25622,LOF,0.00747818,0.007796241,0.98472553
25623,LOF,0.0137230605,0.00615151,0.98012537
25624,LOF,0.021274399,0.0030422227,0.97568345
25625,LOF,0.01694195,0.008629215,0.9744288
25626,LOF,0.047266062,0.004229701,0.94850427
25627,Neutral,0.6978303,0.008237673,0.293932
25628,LOF,0.05067483,0.0012990192,0.9480261
25629,LOF,0.026180025,0.010149048,0.9636709
25630,LOF,0.23157938,0.0029256106,0.765495
25631,Neutral,0.7135846,0.0034628124,0.28295267
25632,LOF,0.0038999356,0.00559373,0.99050635
25633,LOF,0.07462402,0.010324567,0.91505146
25634,LOF,0.0046997224,0.007904426,0.9873958
25635,LOF,0.033377573,0.005189485,0.96143293
25636,LOF,0.0010995102,0.49506828,0.5038322
25637,LOF,0.0012912804,0.2763855,0.72232324
25638,LOF,0.0023843057,0.13292325,0.86469245
25639,LOF,0.0010822392,0.20515935,0.7937584
25640,Neutral,0.8857257,0.08432725,0.029947013
25641,LOF,0.0037844751,0.2791238,0.7170917
25642,LOF,0.093769945,0.02889491,0.87733513
25643,LOF,0.20429315,0.19333039,0.60237646
25644,GOF,0.016830554,0.5223827,0.46078682
25645,LOF,0.006972238,0.4088849,0.58414286
25646,LOF,0.009965926,0.25531253,0.73472154
25647,LOF,0.0020234317,0.059000418,0.9389761
25648,LOF,0.001832434,0.15732165,0.8408459
25649,LOF,0.00162525,0.051121682,0.94725305
25650,LOF,0.018033277,0.23186201,0.75010467
25651,LOF,0.0012674485,0.034354407,0.9643782
25652,LOF,0.0069561033,0.21643071,0.77661324
25653,LOF,0.06780096,0.44483015,0.48736882
25654,LOF,0.0033806397,0.24404156,0.7525778
25655,LOF,0.111932516,0.38650265,0.5015648
25656,LOF,0.014645721,0.007910729,0.9774435
