feature0,prediction,LoGoFunc_Neutral,LoGoFunc_GOF,LoGoFunc_LOF
25546,Neutral,0.75257134,0.0040671127,0.2433616
25547,Neutral,0.74252397,0.004716372,0.2527596
25548,Neutral,0.6097786,0.0038221427,0.38639927
25549,LOF,0.41566882,0.0052542267,0.57907695
25550,LOF,0.37382856,0.020101575,0.60606986
25551,LOF,0.39845204,0.022084981,0.579463
25552,LOF,0.30503386,0.014674822,0.6802913
25553,Neutral,0.8990116,0.0021219293,0.09886638
25554,Neutral,0.49861595,0.011912926,0.48947108
25555,LOF,0.23600058,0.012265832,0.75173354
25556,Neutral,0.6040225,0.0072562927,0.38872117
25557,LOF,0.18984061,0.013361527,0.7967979
25558,LOF,0.46452636,0.009974391,0.5254992
25559,LOF,0.062243506,0.008224018,0.9295325
25560,LOF,0.01455241,0.0016500414,0.9837976
25561,LOF,0.028717056,0.003864512,0.96741843
25562,LOF,0.0076276143,0.0017280068,0.99064434
25563,LOF,0.013285564,0.001815478,0.984899
25564,LOF,0.22448984,0.007838886,0.7676713
25565,LOF,0.0880724,0.027589973,0.8843376
25566,GOF,0.017797315,0.5337656,0.4484371
25567,LOF,0.00444421,0.009726799,0.985829
25568,LOF,0.016446758,0.0017851654,0.981768
25569,LOF,0.0077901925,0.0016085233,0.9906013
25570,LOF,0.0059000007,0.0018014839,0.99229854
25571,LOF,0.0036358812,0.0012583034,0.99510586
25572,LOF,0.0047730273,0.003949367,0.9912776
25573,LOF,0.0015159035,0.0024108328,0.99607325
25574,LOF,0.0008731337,0.005373983,0.9937529
25575,LOF,0.0029055038,0.0018938966,0.99520063
25576,LOF,0.0014250358,0.0048068156,0.9937682
25577,LOF,0.0015138756,0.010550931,0.9879352
25578,LOF,0.19867674,0.002772107,0.79855114
25579,LOF,0.023815196,0.001706088,0.9744787
25580,LOF,0.0022830968,0.00096085755,0.996756
25581,LOF,0.0044614146,0.0016284514,0.9939101
25582,LOF,0.0055135554,0.0013988587,0.9930876
25583,LOF,0.002743205,0.0014878875,0.9957689
25584,Neutral,0.60523134,0.0055786623,0.38919002
25585,LOF,0.00059390045,0.002958663,0.99644744
25586,LOF,0.002121697,0.0015303333,0.99634796
25587,LOF,0.002142013,0.0009409428,0.996917
25588,LOF,0.0015809953,0.0010851254,0.9973339
25589,Neutral,0.9043438,0.012909512,0.08274673
25590,LOF,0.0024411324,0.0081804395,0.9893784
25591,LOF,0.054560453,0.0024917417,0.9429478
25592,LOF,0.012569314,0.012905559,0.97452515
25593,LOF,0.007384588,0.036055896,0.95655954
25594,LOF,0.012506339,0.014388861,0.9731048
25595,LOF,0.052448027,0.015193725,0.93235826
25596,LOF,0.008325964,0.009493508,0.9821805
25597,LOF,0.004288453,0.0075986707,0.98811287
25598,LOF,0.022775128,0.007032172,0.9701927
25599,LOF,0.0038638334,0.204084,0.79205215
25600,LOF,0.022529356,0.16741014,0.8100605
25601,LOF,0.0023186714,0.058708858,0.9389725
25602,LOF,0.010416685,0.010942275,0.9786411
25603,LOF,0.016590571,0.0033644065,0.980045
25604,LOF,0.0018896001,0.0038483853,0.994262
25605,LOF,0.002661905,0.02268182,0.9746562
25606,LOF,0.14210817,0.08687007,0.7710218
25607,LOF,0.00067763095,0.018801868,0.98052055
25608,LOF,0.008991198,0.020633304,0.9703755
25609,LOF,0.12866212,0.16074738,0.7105905
25610,LOF,0.0022037982,0.0011391806,0.996657
25611,LOF,0.0030710313,0.0014117161,0.9955173
25612,LOF,0.007157889,0.0011854063,0.9916568
25613,LOF,0.006712082,0.0027405461,0.99054736
25614,LOF,0.0050773667,0.0028719038,0.9920507
25615,LOF,0.0019029323,0.0031955554,0.99490154
25616,LOF,0.019350514,0.002366544,0.9782829
25617,LOF,0.014379742,0.0020473774,0.9835729
25618,LOF,0.027534142,0.007993643,0.96447223
25619,LOF,0.0015859456,0.0009935683,0.99742055
25620,LOF,0.030961994,0.003192509,0.9658455
25621,LOF,0.0010944727,0.0014272404,0.9974783
25622,LOF,0.00209447,0.0024959918,0.99540955
25623,LOF,0.003491291,0.0027785443,0.9937302
25624,LOF,0.0037015597,0.003607299,0.9926911
25625,LOF,0.002405944,0.0042401166,0.99335396
25626,LOF,0.019887254,0.001722448,0.97839034
25627,Neutral,0.8628685,0.006265886,0.13086571
25628,LOF,0.08272371,0.0014140303,0.91586226
25629,LOF,0.025461005,0.0016012028,0.97293776
25630,LOF,0.19386497,0.0040312046,0.8021038
25631,Neutral,0.8466495,0.0030905495,0.15025993
25632,LOF,0.000836726,0.0030915213,0.9960718
25633,LOF,0.08894369,0.0060990867,0.90495723
25634,LOF,0.004041931,0.008492669,0.9874653
25635,LOF,0.009889651,0.005052469,0.9850579
25636,LOF,0.0018145135,0.26029545,0.73789006
25637,LOF,0.006187477,0.33138278,0.66242975
25638,LOF,0.0037065437,0.078940414,0.91735303
25639,LOF,0.002087642,0.123461075,0.87445134
25640,Neutral,0.8242393,0.10965362,0.066107064
25641,LOF,0.0069644945,0.20626143,0.7867741
25642,LOF,0.12164857,0.014159108,0.86419237
25643,LOF,0.1014954,0.07446592,0.8240386
25644,LOF,0.002547818,0.07408477,0.9233674
25645,LOF,0.0014955722,0.043962196,0.9545423
25646,LOF,0.0048426166,0.035348065,0.95980936
25647,LOF,0.001145675,0.0144606745,0.98439366
25648,LOF,0.00077871646,0.011310803,0.9879105
25649,LOF,0.00057061634,0.0068893796,0.99254006
25650,LOF,0.0039359555,0.043396983,0.95266706
25651,LOF,0.00055713527,0.019221213,0.98022157
25652,LOF,0.0014112573,0.019231353,0.97935736
25653,LOF,0.009554921,0.05480941,0.9356356
25654,LOF,0.00058288424,0.007921591,0.9914955
25655,LOF,0.03327059,0.10279328,0.8639361
25656,LOF,0.12686023,0.004972997,0.8681668
25657,LOF,0.13254277,0.0015532548,0.86590403
25658,LOF,0.02418919,0.0065460447,0.9692648
25659,LOF,0.15721981,0.005922265,0.836858
25660,LOF,0.0029764348,0.0034468374,0.9935767
25661,LOF,0.025697436,0.0018651274,0.97243744
25662,LOF,0.0033619127,0.0012711087,0.99536693
25663,LOF,0.005198422,0.0031860534,0.9916155
25664,LOF,0.0040940098,0.003769928,0.9921361
25665,LOF,0.008270303,0.0016973256,0.99003243
25666,LOF,0.006673028,0.014964603,0.9783624
25667,LOF,0.013276349,0.001651465,0.9850722
25668,LOF,0.0066169365,0.0030899507,0.99029315
25669,LOF,0.0061601815,0.0047017313,0.98913807
25670,LOF,0.00504234,0.0049514594,0.99000627
25671,LOF,0.016741533,0.0010139738,0.98224455
25672,LOF,0.007756703,0.0014136599,0.9908296
25673,LOF,0.0025653094,0.0024942786,0.9949404
25674,LOF,0.0027652355,0.0028329664,0.99440175
25675,LOF,0.004428555,0.0037949055,0.9917766
25676,LOF,0.0015618425,0.0012160231,0.9972222
25677,LOF,0.005197116,0.0027020369,0.9921009
25678,LOF,0.12072292,0.0073646647,0.87191236
25679,LOF,0.019596776,0.009844494,0.9705587
25680,LOF,0.004994347,0.0083941,0.9866116
25681,LOF,0.016183028,0.009808911,0.974008
25682,LOF,0.116314374,0.011308024,0.87237763
25683,LOF,0.014311901,0.012773436,0.97291464
25684,LOF,0.007839148,0.004219319,0.98794156
25685,LOF,0.024497235,0.0036825084,0.9718203
25686,LOF,0.009841404,0.0034463275,0.9867122
25687,LOF,0.01916123,0.002560263,0.9782785
25688,LOF,0.06024231,0.01058676,0.9291709
25689,LOF,0.016521212,0.005842207,0.97763664
25690,LOF,0.036171056,0.0034676425,0.9603613
25691,LOF,0.4663556,0.0062532583,0.5273911
25692,LOF,0.16966368,0.00051520416,0.82982117
25693,LOF,0.02642782,0.1370735,0.8364987
25694,LOF,0.02800311,0.00039360215,0.9716033
25695,LOF,0.006021031,0.00042626928,0.9935527
25696,LOF,0.013787793,0.0010497655,0.98516244
25697,LOF,0.120159,0.010224019,0.869617
25698,LOF,0.05079467,0.12829907,0.8209063
25699,LOF,0.086391896,0.018229371,0.8953787
25700,LOF,0.016680524,0.0007280064,0.98259145
25701,LOF,0.015284364,0.012619749,0.97209585
25702,LOF,0.07022212,0.3373399,0.592438
25703,LOF,0.0009760978,0.0073489803,0.99167496
25704,LOF,0.021823775,0.005422097,0.97275406
25705,LOF,0.018994069,0.030575057,0.9504308
25706,LOF,0.03760606,0.13763341,0.82476056
25707,LOF,0.028292742,0.11530166,0.8564056
25708,LOF,0.0064528207,0.08150221,0.91204494
25709,LOF,0.015403319,0.0023414325,0.9822552
25710,LOF,0.0008072798,0.010060691,0.989132
25711,LOF,0.0038066613,0.0070283045,0.989165
25712,LOF,0.0016594328,0.04251087,0.9558297
25713,LOF,0.0024495826,0.005806573,0.99174386
25714,LOF,0.042886026,0.016881263,0.94023275
25715,LOF,0.0018844957,0.0052808104,0.9928347
25716,LOF,0.0009334955,0.013430028,0.9856365
25717,LOF,0.00062281074,0.008813166,0.990564
25718,LOF,0.0024998349,0.006507101,0.9909931
25719,LOF,0.0026109845,0.0043865955,0.99300236
25720,LOF,0.002387328,0.003425083,0.9941876
25721,LOF,0.002272453,0.006181652,0.99154586
25722,LOF,0.003254385,0.010422095,0.9863236
25723,LOF,0.0042720567,0.0055830358,0.99014497
25724,LOF,0.0047406876,0.006496408,0.9887629
25725,LOF,0.0016643882,0.0032244073,0.99511117
25726,LOF,0.00187123,0.0067379475,0.9913908
25727,LOF,0.001192575,0.0030353724,0.99577206
25728,LOF,0.002354293,0.0053703017,0.9922754
25729,LOF,0.0023927242,0.0055928244,0.9920144
25730,LOF,0.0032400389,0.0062351204,0.9905248
25731,LOF,0.0017708025,0.010241061,0.9879881
25732,LOF,0.003326899,0.0034322015,0.99324095
25733,LOF,0.0032171046,0.003977194,0.9928058
25734,LOF,0.0006914379,0.01203752,0.987271
25735,LOF,0.0015071264,0.0026797778,0.9958131
25736,LOF,0.0018579355,0.0038480726,0.994294
25737,LOF,0.0041723265,0.0055963253,0.99023134
25738,LOF,0.0016427021,0.0070667984,0.99129057
25739,LOF,0.0035332923,0.0076892977,0.98877746
25740,LOF,0.011281735,0.01035443,0.9783638
25741,LOF,0.0022287956,0.005416818,0.9923544
25742,LOF,0.047560025,0.0070976876,0.94534224
25743,LOF,0.003465765,0.003081961,0.9934523
25744,LOF,0.25260788,0.18698522,0.56040686
25745,LOF,0.0035019098,0.0035462875,0.9929518
25746,LOF,0.0013159493,0.0059131146,0.99277097
25747,LOF,0.0043895496,0.0038142926,0.99179614
25748,LOF,0.028933745,0.019251408,0.95181483
25749,LOF,0.0011285295,0.0028852345,0.99598616
25750,LOF,0.0027331826,0.0035216324,0.9937452
25751,LOF,0.04033321,0.010970097,0.94869673
25752,LOF,0.05771988,0.242624,0.6996561
25753,LOF,0.003077636,0.04774359,0.9491787
25754,GOF,0.0010726932,0.71241385,0.28651348
25755,LOF,0.0027904925,0.054601386,0.9426081
25756,LOF,0.018003117,0.18104838,0.80094856
25757,GOF,0.0011353678,0.823544,0.17532054
25758,GOF,0.005741777,0.61733985,0.3769184
25759,LOF,0.0011355852,0.10868141,0.89018303
25760,LOF,0.0017805663,0.02150536,0.976714
25761,GOF,0.0682358,0.5679057,0.36385846
25762,LOF,0.01549496,0.15737844,0.8271266
25763,LOF,0.0014061099,0.015289504,0.9833044
25764,LOF,0.20822814,0.16217542,0.6295964
25765,GOF,0.006166762,0.71732724,0.276506
25766,GOF,0.015894517,0.70005,0.28405544
25767,LOF,0.032029923,0.16886802,0.799102
25768,LOF,0.038476568,0.004437417,0.95708597
25769,LOF,0.05039241,0.008023134,0.94158447
25770,LOF,0.22572336,0.022162596,0.75211406
25771,LOF,0.002198905,0.008517879,0.9892832
25772,LOF,0.0031160808,0.0051154383,0.9917685
25773,LOF,0.003838694,0.015684118,0.9804772
25774,LOF,0.0041656513,0.013108954,0.98272544
25775,LOF,0.0018999256,0.0035221106,0.994578
25776,LOF,0.03448944,0.0028274583,0.96268314
25777,Neutral,0.5891169,0.027510623,0.38337252
25778,LOF,0.027811185,0.009270158,0.96291864
25779,GOF,0.13726176,0.73477215,0.12796609
25780,GOF,0.04531852,0.7631327,0.19154882
25781,GOF,0.02684856,0.7688168,0.20433469
25782,GOF,0.06252888,0.74327135,0.19419973
25783,LOF,0.009378163,0.41829637,0.5723254
25784,GOF,0.33854595,0.54403967,0.11741436
25785,GOF,0.111515105,0.6512695,0.23721541
25786,GOF,0.0053130006,0.59167063,0.4030164
25787,GOF,0.22220299,0.6005016,0.17729539
25788,LOF,0.03166771,0.01167356,0.9566588
25789,GOF,0.08211912,0.6220815,0.2957994
25790,GOF,0.09823608,0.6631215,0.2386424
25791,GOF,0.049931884,0.49811935,0.45194873
25792,GOF,0.107091494,0.4876502,0.40525833
25793,GOF,0.06429271,0.4929371,0.44277024
25794,GOF,0.09932919,0.5251211,0.37554973
25795,LOF,0.018245667,0.39417896,0.5875754
25796,GOF,0.15874648,0.61381376,0.22743978
25797,LOF,0.013088463,0.3090758,0.6778357
25798,LOF,0.0013940904,0.23461738,0.76398855
25799,LOF,0.0005269408,0.12215442,0.87731856
25800,LOF,0.0070679397,0.4097928,0.5831393
25801,GOF,0.04551093,0.6712483,0.2832407
25802,GOF,0.016406389,0.5327254,0.4508682
25803,LOF,0.005465647,0.30169466,0.6928397
25804,LOF,0.0075267623,0.21823673,0.7742365
25805,LOF,0.03044193,0.2992494,0.6703086
25806,LOF,0.018542187,0.3063091,0.6751487
25807,LOF,0.0038365899,0.3438623,0.65230113
25808,LOF,0.018159732,0.32711336,0.654727
25809,LOF,0.006360247,0.27485055,0.7187892
25810,LOF,0.0048428434,0.34550914,0.64964795
25811,GOF,0.16705115,0.55967665,0.27327216
25812,LOF,0.008131817,0.29317504,0.69869316
25813,GOF,0.13698743,0.488354,0.37465858
25814,LOF,0.06390699,0.41769567,0.51839733
25815,GOF,0.06558044,0.47564855,0.458771
25816,GOF,0.0066145784,0.6400299,0.35335547
25817,GOF,0.058545157,0.5326111,0.40884382
25818,LOF,0.027152766,0.29164675,0.6812005
25819,LOF,0.17314717,0.3937545,0.4330983
25820,LOF,0.056662753,0.34280625,0.60053104
25821,LOF,0.019119851,0.340634,0.64024615
25822,LOF,0.067452185,0.2856213,0.6469265
25823,LOF,0.011019696,0.16695295,0.8220273
25824,LOF,0.031706374,0.3200353,0.6482583
25825,LOF,0.012993224,0.30008164,0.6869251
25826,LOF,0.003779743,0.26136982,0.73485047
25827,LOF,0.0075001135,0.41240466,0.5800953
25828,LOF,0.0032884232,0.27758175,0.71912986
25829,LOF,0.00095010106,0.445787,0.5532629
25830,LOF,0.025620574,0.12358714,0.8507923
25831,GOF,0.03461992,0.78227633,0.18310373
25832,GOF,0.004463326,0.7517519,0.24378479
25833,GOF,0.026449472,0.75707066,0.21647994
25834,GOF,0.0048015947,0.72529864,0.26989982
25835,GOF,0.022036798,0.748384,0.22957918
25836,GOF,0.0054948796,0.735428,0.25907716
25837,GOF,0.0076222033,0.5968142,0.39556363
25838,GOF,0.029707367,0.74104154,0.22925109
25839,GOF,0.07335553,0.7187508,0.20789367
25840,GOF,0.06741166,0.7221788,0.2104095
25841,GOF,0.056618605,0.8098731,0.13350824
25842,GOF,0.025379388,0.8351789,0.13944167
25843,GOF,0.030681562,0.85433286,0.11498558
25844,GOF,0.015247681,0.77598375,0.20876849
25845,LOF,0.0029434445,0.45600715,0.5410494
25846,GOF,0.008603631,0.8867043,0.10469205
25847,GOF,0.018090295,0.8817054,0.10020435
25848,GOF,0.0069336235,0.80597603,0.18709044
25849,GOF,0.0016305172,0.64770746,0.35066202
25850,GOF,0.003243348,0.66245973,0.33429697
25851,LOF,0.002786968,0.33486325,0.66234976
25852,LOF,0.19986461,0.22348753,0.5766479
25853,GOF,0.093945846,0.7241696,0.18188454
25854,GOF,0.0047757123,0.55272794,0.4424964
25855,LOF,0.011012537,0.3075674,0.6814201
25856,GOF,0.062415563,0.5803631,0.35722128
25857,LOF,0.013852669,0.31408808,0.67205924
25858,LOF,0.0048712185,0.3298253,0.66530347
25859,LOF,0.002158751,0.2948248,0.70301646
25860,GOF,0.09666014,0.6744314,0.22890848
25861,GOF,0.112215474,0.6386286,0.24915588
25862,GOF,0.019663082,0.72700423,0.25333267
25863,GOF,0.014241075,0.8422014,0.14355749
25864,GOF,0.028562546,0.80635965,0.1650778
25865,GOF,0.018877449,0.7390535,0.24206905
25866,GOF,0.022877276,0.7129368,0.2641859
25867,GOF,0.02120195,0.82331085,0.15548718
25868,GOF,0.07327222,0.52657,0.40015778
25869,Neutral,0.5594941,0.2364689,0.20403704
25870,Neutral,0.46537605,0.139507,0.3951169
25871,GOF,0.053294893,0.632767,0.31393808
25872,GOF,0.02397267,0.6032922,0.37273517
25873,GOF,0.030209308,0.77938145,0.19040923
25874,LOF,0.0043171565,0.022957083,0.97272575
25875,LOF,0.018055499,0.013081557,0.96886295
25876,LOF,0.0029565552,0.004856745,0.99218667
25877,LOF,0.13135913,0.033055436,0.8355855
25878,LOF,0.06063475,0.06212419,0.8772411
25879,LOF,0.012596422,0.044904944,0.9424986
25880,LOF,0.006340077,0.0016775198,0.9919824
25881,LOF,0.4466989,0.004763656,0.5485374
25882,LOF,0.0026556368,0.0009075468,0.99643683
25883,LOF,0.026565133,0.0016897286,0.9717451
25884,LOF,0.0010670288,0.0010383009,0.9978947
25885,LOF,0.04157508,0.0004393967,0.9579855
25886,LOF,0.16038266,0.009453185,0.8301642
25887,LOF,0.0641039,0.0032494748,0.93264663
25888,LOF,0.00076494145,0.0028805584,0.99635446
25889,LOF,0.0015850295,0.0010694838,0.9973455
25890,LOF,0.12372831,0.02147431,0.85479736
25891,LOF,0.008648604,0.003136331,0.9882151
25892,LOF,0.0003964598,0.0010864098,0.9985171
25893,LOF,0.30399042,0.0013180025,0.6946916
25894,Neutral,0.5370748,0.0005690035,0.46235624
25895,LOF,0.32648462,0.0015648435,0.6719506
25896,LOF,0.004514453,0.0031994702,0.9922861
25897,LOF,0.072156355,0.0014626154,0.926381
25898,LOF,0.21503516,0.0030620308,0.7819028
25899,LOF,0.081976146,0.016742647,0.9012812
25900,LOF,0.08477065,0.001729641,0.91349965
25901,LOF,0.029600518,0.0024736952,0.9679258
25902,LOF,0.03931458,0.001590852,0.95909464
25903,LOF,0.40814027,0.0042795255,0.5875802
25904,LOF,0.19328965,0.015020664,0.7916897
25905,LOF,0.007066111,0.11765402,0.8752799
25906,LOF,0.0026406755,0.005539363,0.99182
25907,LOF,0.0011901463,0.04062747,0.9581824
25908,LOF,0.0007635761,0.023097416,0.97613907
25909,LOF,0.0029240109,0.0077863275,0.9892896
25910,LOF,0.0015750943,0.008031517,0.99039334
25911,LOF,0.28280583,0.0042433124,0.7129508
25912,LOF,0.017897783,0.0021736373,0.97992855
25913,LOF,0.05752142,0.0034447217,0.9390338
25914,LOF,0.0043621515,0.0041163615,0.9915215
25915,LOF,0.1498124,0.08064746,0.76954013
25916,LOF,0.006562669,0.02730831,0.96612895
25917,LOF,0.009787911,0.001393249,0.9888188
25918,LOF,0.016141372,0.0033832043,0.98047537
25919,LOF,0.011762229,0.0019889674,0.9862488
25920,LOF,0.027081741,0.061108228,0.9118101
25921,LOF,0.0012711611,0.0018831809,0.99684566
25922,LOF,0.0018219395,0.0015274857,0.99665064
25923,LOF,0.39852023,0.002634966,0.5988448
25924,LOF,0.0018499937,0.0022661865,0.99588376
25925,LOF,0.043638416,0.0022945085,0.95406705
25926,LOF,0.020248707,0.002277315,0.9774739
25927,LOF,0.00233989,0.009809801,0.98785037
25928,LOF,0.0005687203,0.0027536727,0.99667764
25929,Neutral,0.73060465,0.0024772964,0.266918
25930,LOF,0.014497685,0.0011229871,0.98437935
25931,LOF,0.00084594125,0.001623707,0.9975304
25932,LOF,0.0036245587,0.0005096139,0.9958658
25933,LOF,0.005551283,0.00041532086,0.9940334
25934,LOF,0.0037249613,0.0005101396,0.99576485
25935,LOF,0.035236232,0.004064116,0.9606996
25936,LOF,0.008463608,0.00055667467,0.99097973
25937,LOF,0.0008278295,0.0019661456,0.99720603
25938,LOF,0.0469329,0.0052114837,0.94785565
25939,LOF,0.004302762,0.00080761506,0.9948896
25940,LOF,0.0026295958,0.057196897,0.9401735
25941,Neutral,0.6975816,0.005247827,0.29717055
25942,LOF,0.00067674136,0.0033393968,0.99598384
25943,LOF,0.019046001,0.015964229,0.9649898
25944,LOF,0.05877345,0.011644228,0.92958236
25945,LOF,0.037697967,0.0046872785,0.9576148
25946,LOF,0.023762096,0.004782344,0.9714556
25947,Neutral,0.56501377,0.0101872785,0.4247989
25948,LOF,0.17321356,0.00077823544,0.8260082
25949,LOF,0.0673195,0.0025185307,0.93016195
25950,LOF,0.055023838,0.254975,0.6900012
25951,LOF,0.049918305,0.10419748,0.8458842
25952,LOF,0.2503977,0.08140184,0.66820043
25953,LOF,0.0031837265,0.04608853,0.9507277
25954,LOF,0.06934474,0.11664135,0.8140139
25955,LOF,0.0036468697,0.024640668,0.97171247
25956,LOF,0.005898614,0.0246411,0.9694603
25957,LOF,0.029727742,0.002368548,0.96790373
25958,LOF,0.012131049,0.002487439,0.9853815
25959,LOF,0.010471001,0.17666084,0.8128681
25960,LOF,0.0005264365,0.0020461031,0.9974274
25961,LOF,0.010498771,0.0019745147,0.9875267
25962,LOF,0.014045708,0.0049367156,0.9810176
25963,LOF,0.0016350239,0.013682916,0.9846821
25964,LOF,0.016133673,0.008272691,0.9755937
25965,LOF,0.14465398,0.0047618123,0.8505842
25966,LOF,0.48905745,0.016152546,0.49479
25967,LOF,0.0009848827,0.008387109,0.990628
25968,LOF,0.024832273,0.05693419,0.9182336
25969,LOF,0.050204232,0.00392259,0.9458732
25970,LOF,0.0028861312,0.007841893,0.989272
25971,LOF,0.022627113,0.0019246311,0.97544825
25972,LOF,0.012831222,0.003419167,0.9837496
25973,LOF,0.025174186,0.00088640465,0.97393936
25974,LOF,0.0039543854,0.0016712877,0.9943743
25975,LOF,0.010031983,0.0010744327,0.98889357
25976,LOF,0.025024964,0.0004830274,0.97449195
25977,LOF,0.050750528,0.003665206,0.94558424
25978,LOF,0.06027042,0.007567647,0.9321619
25979,LOF,0.020568246,0.0067287586,0.972703
25980,LOF,0.11483995,0.017262029,0.86789805
25981,LOF,0.12801163,0.017967962,0.8540204
25982,LOF,0.29247996,0.0055529,0.7019671
25983,LOF,0.21635133,0.0056516123,0.777997
25984,LOF,0.002587001,0.0026247336,0.9947883
25985,LOF,0.42038712,0.013954721,0.5656582
25986,LOF,0.005849449,0.09170568,0.9024449
25987,LOF,0.008859673,0.010296005,0.98084426
25988,LOF,0.22267905,0.01847357,0.75884736
25989,LOF,0.014151525,0.02389758,0.9619509
25990,LOF,0.021385983,0.044145636,0.9344684
25991,LOF,0.014338514,0.050464652,0.9351968
25992,LOF,0.019933853,0.038669925,0.9413963
25993,LOF,0.007295595,0.00253676,0.9901676
25994,LOF,0.0023505564,0.0026908505,0.9949586
25995,LOF,0.0054517034,0.010887094,0.98366123
25996,LOF,0.44242898,0.023834303,0.53373677
25997,LOF,0.048874095,0.04666999,0.9044559
25998,LOF,0.24440378,0.002897895,0.75269836
25999,LOF,0.013619796,0.03401057,0.95236963
26000,LOF,0.04260611,0.0016773546,0.95571655
26001,LOF,0.22218673,0.0017767894,0.77603644
26002,LOF,0.033998117,0.003420979,0.9625809
26003,LOF,0.0022481638,0.30459,0.6931618
26004,LOF,0.0067741633,0.37539297,0.61783284
26005,LOF,0.0007251197,0.16457196,0.8347029
26006,LOF,0.15227933,0.36219525,0.4855254
26007,LOF,0.0065084333,0.25212252,0.741369
26008,GOF,0.004426762,0.5453081,0.4502651
26009,GOF,0.006348718,0.5738623,0.419789
26010,LOF,0.0047612274,0.39108014,0.60415864
26011,LOF,0.00082119514,0.14928102,0.84989774
26012,LOF,0.0015026478,0.33859593,0.65990144
26013,LOF,0.0022628866,0.45511463,0.54262245
26014,LOF,0.00964848,0.0073373425,0.9830142
26015,LOF,0.19695841,0.003923996,0.7991176
26016,LOF,0.3819994,0.003464114,0.6145365
26017,LOF,0.048762612,0.025448188,0.9257892
26018,LOF,0.07382917,0.007150657,0.91902024
26019,LOF,0.054047905,0.00532735,0.9406247
26020,LOF,0.0053231795,0.028820354,0.96585643
26021,LOF,0.041347984,0.012026531,0.9466255
26022,LOF,0.0024824531,0.0011697746,0.99634784
26023,LOF,0.022452174,0.0017044259,0.9758435
26024,LOF,0.029673688,0.008973082,0.96135324
26025,LOF,0.061760575,0.018009745,0.92022973
